season,week,home_team,home_id,home_conference,home_points,home_pregame_elo,home_postgame_elo,away_team,away_id,away_conference,away_points,away_pregame_elo,away_postgame_elo,conference_game,margin
2019,1,The Citadel,2643,Southern,21,,,Towson,119,CAA,28,,,0,-7
2019,1,Washington,264,Pac-12,47,,,Eastern Washington,331,Big Sky,14,,,0,33
2019,1,Temple,218,American Athletic,56,,,Bucknell,2083,Patriot,12,,,0,44
2019,1,Merrimack,2771,FCS Independents,45,,,Virginia University Of Lynchburg,2355,,14,,,0,31
2019,1,North Carolina,153,ACC,24,1409.0,1424.0,South Carolina,2579,SEC,20,1532.0,1517.0,0,4
2019,1,Coastal Carolina,324,Sun Belt,23,1256.0,1259.0,Eastern Michigan,2199,Mid-American,30,1466.0,1463.0,0,-7
2019,1,Tennessee,2633,SEC,30,1399.0,1372.0,Georgia State,2247,Sun Belt,38,1265.0,1292.0,0,-8
2019,1,App State,2026,Sun Belt,42,,,East Tennessee State,2193,Southern,7,,,0,35
2019,1,Penn State,213,Big Ten,79,,,Idaho,70,Big Sky,7,,,0,72
2019,1,Navy,2426,American Athletic,45,,,Holy Cross,107,Patriot,7,,,0,38
2019,1,Alabama,333,SEC,42,2005.0,2064.0,Duke,150,ACC,3,1526.0,1467.0,0,39
2019,1,Air Force,2005,Mountain West,48,,,Colgate,2142,Patriot,7,,,0,41
2019,1,North Dakota State,2449,MVFC,57,,,Butler,2086,Pioneer,10,,,0,47
2019,1,Arkansas,8,SEC,20,,,Portland State,2502,Big Sky,13,,,0,7
2019,1,Stanford,24,Pac-12,17,1638.0,1653.0,Northwestern,77,Big Ten,7,1612.0,1597.0,0,10
2019,1,Texas Tech,2641,Big 12,45,,,Montana State,147,Big Sky,10,,,0,35
2019,1,Boston College,103,ACC,35,1591.0,1597.0,Virginia Tech,259,ACC,28,1520.0,1514.0,1,7
2019,1,North Dakota,155,FCS Independents,47,,,Drake,2181,Pioneer,7,,,0,40
2019,1,Cal Poly,13,Big Sky,52,,,San Diego,301,Pioneer,34,,,0,18
2019,1,Fordham,2230,Patriot,23,,,Central Connecticut,2115,NEC,26,,,0,-3
2019,1,Liberty,2335,FBS Independents,0,1311.0,1283.0,Syracuse,183,ACC,24,1629.0,1657.0,0,-24
2019,1,Hampton,2261,Big South,65,,,Elizabeth City State,2207,CIAA,7,,,0,58
2019,1,Kennesaw State,338,Big South,59,,,Point University,3179,,0,,,0,59
2019,1,Troy,2653,Sun Belt,43,,,Campbell,2097,Big South,14,,,0,29
2019,1,UTSA,2636,Conference USA,35,,,Incarnate Word,2916,Southland,7,,,0,28
2019,1,North Carolina A&T,2448,MEAC,24,,,Elon,2210,CAA,21,,,0,3
2019,1,New Mexico,167,Mountain West,39,,,Sam Houston,2534,Southland,31,,,0,8
2019,1,William & Mary,2729,CAA,30,,,Lafayette,322,Patriot,17,,,0,13
2019,1,South Carolina State,2569,MEAC,28,,,Wofford,2747,Southern,13,,,0,15
2019,1,Western Carolina,2717,Southern,27,,,Mercer,2382,Southern,49,,,1,-22
2019,1,Texas Southern,2640,SWAC,23,,,Prairie View A&M,2504,SWAC,44,,,1,-21
2019,1,Marshall,276,Conference USA,56,,,VMI,2678,Southern,17,,,0,39
2019,1,California,25,Pac-12,27,,,UC Davis,302,Big Sky,13,,,0,14
2019,1,Old Dominion,295,Conference USA,24,,,Norfolk State,2450,MEAC,21,,,0,3
2019,1,Western Michigan,2711,Mid-American,48,,,Monmouth,2405,Big South,13,,,0,35
2019,1,Tennessee State,2634,OVC,26,,,Mississippi Valley State,2400,SWAC,20,,,0,6
2019,1,Tennessee Tech,2635,OVC,59,,,Samford,2535,Southern,58,,,0,1
2019,1,McNeese,2377,Southland,34,,,Southern,2582,SWAC,28,,,0,6
2019,1,Arkansas State,2032,Sun Belt,30,1525.0,1502.0,SMU,2567,American Athletic,37,1402.0,1425.0,0,-7
2019,1,Northern Illinois,2459,Mid-American,24,,,Illinois State,2287,MVFC,10,,,0,14
2019,1,Baylor,239,Big 12,56,,,Stephen F. Austin,2617,Southland,17,,,0,39
2019,1,Southern Miss,2572,Conference USA,38,,,Alcorn State,2016,SWAC,10,,,0,28
2019,1,Kansas State,2306,Big 12,49,,,Nicholls,2447,Southland,14,,,0,35
2019,1,Vanderbilt,238,SEC,6,1534.0,1505.0,Georgia,61,SEC,30,1837.0,1866.0,1,-24
2019,1,LSU,99,SEC,55,1733.0,1857.0,Georgia Southern,290,Sun Belt,3,1485.0,1361.0,0,52
2019,1,Wyoming,2751,Mountain West,37,1493.0,1513.0,Missouri,142,SEC,31,1734.0,1714.0,0,6
2019,1,Auburn,2,SEC,27,1805.0,1805.0,Oregon,2483,Pac-12,21,1593.0,1593.0,0,6
2019,1,North Texas,249,Conference USA,51,,,Abilene Christian,2000,Southland,31,,,0,20
2019,1,Iowa,2294,Big Ten,38,1792.0,1816.0,Miami (OH),193,Mid-American,14,1458.0,1434.0,0,24
2019,1,Michigan,130,Big Ten,40,1744.0,1760.0,Middle Tennessee,2393,Conference USA,21,1461.0,1445.0,0,19
2019,1,Pittsburgh,221,ACC,14,1563.0,1529.0,Virginia,258,ACC,30,1602.0,1636.0,1,-16
2019,1,Texas,251,Big 12,45,1681.0,1734.0,Louisiana Tech,2348,Conference USA,14,1423.0,1370.0,0,31
2019,1,UTEP,2638,Conference USA,36,,,Houston Christian,2277,Southland,34,,,0,2
2019,1,TCU,2628,Big 12,39,,,Arkansas-Pine Bluff,2029,SWAC,7,,,0,32
2019,1,UL Monroe,2433,Sun Belt,31,,,Grambling,2755,SWAC,9,,,0,22
2019,1,San Diego State,21,Mountain West,6,,,Weber State,2692,Big Sky,0,,,0,6
2019,1,Sacramento State,16,Big Sky,77,,,Southern Oregon,2584,,19,,,0,58
2019,1,UNLV,2439,Mountain West,56,,,Southern Utah,253,Big Sky,23,,,0,33
2019,1,Washington State,265,Pac-12,58,1689.0,1772.0,New Mexico State,166,FBS Independents,7,1169.0,1086.0,0,51
2019,1,USC,30,Pac-12,31,1571.0,1591.0,Fresno State,278,Mountain West,23,1695.0,1675.0,0,8
2019,1,Jackson State,2296,SWAC,15,,,Bethune-Cookman,2065,MEAC,36,,,0,-21
2019,1,Alabama A&M,2010,SWAC,35,,,Morehouse College,60,SIAC,30,,,0,5
2019,1,Oklahoma,201,Big 12,49,1849.0,1854.0,Houston,248,American Athletic,31,1460.0,1455.0,0,18
2019,1,Louisville,97,ACC,17,1223.0,1232.0,Notre Dame,87,FBS Independents,35,1775.0,1766.0,0,-18
2019,2,Idaho State,304,Big Sky,38,,,Western Colorado,2714,Rocky Mountain,13,,,0,25
