GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401736310,20250810,Lynx,34,70,48.6,10,21,47.6,5,8,62.5,32,9,23,24,11,6,10,14,38,16,1,11,0,0,0,12,11
401736310,20250810,Liberty,28,66,42.4,8,24,33.3,7,9,77.8,33,9,24,21,5,4,18,4,30,8,2,20,1,1,0,22,8
401736311,20250810,Mystics,32,59,54.2,6,15,40.0,21,26,80.8,34,6,28,21,6,5,17,6,48,19,0,17,0,0,0,8,28
401736311,20250810,Wings,23,63,36.5,8,23,34.8,24,29,82.8,26,6,20,18,9,4,13,11,20,14,1,14,0,0,0,22,26
401736313,20250810,Dream,25,65,38.5,9,32,28.1,15,19,78.9,38,9,29,20,11,6,10,9,32,17,2,12,3,3,0,16,15
401736313,20250810,Mercury,24,69,34.8,6,23,26.1,12,14,85.7,34,9,25,16,6,3,12,7,30,3,0,12,0,0,0,13,19
401736312,20250810,Storm,37,78,47.4,9,24,37.5,8,9,88.9,32,12,20,23,13,1,14,12,46,16,0,14,1,1,0,16,17
401736312,20250810,Sparks,34,64,53.1,14,27,51.9,12,13,92.3,30,7,23,25,10,3,19,23,38,9,1,20,0,0,0,24,11
401736314,20250810,Sun,36,70,51.4,12,31,38.7,2,2,100.0,23,3,20,22,10,3,12,14,36,12,0,12,0,0,1,20,20
401736314,20250810,Aces,35,71,49.3,8,25,32.0,16,21,76.2,40,11,29,24,8,1,15,8,42,13,3,18,0,0,0,16,12
