GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401736196,20250622,Sky,27,64,42.2,4,15,26.7,22,24,91.7,38,7,31,19,7,5,9,7,26,4,0,9,0,0,0,15,20
401736196,20250622,Dream,28,66,42.4,16,33,48.5,21,30,70.0,36,7,29,21,7,6,9,9,20,13,0,9,0,0,0,7,15
401736197,20250622,Wings,27,72,37.5,8,25,32.0,26,32,81.3,38,12,26,16,8,6,17,7,22,10,2,19,1,1,0,22,33
401736197,20250622,Mystics,28,62,45.2,7,15,46.7,28,41,68.3,33,9,24,23,11,4,16,14,36,16,1,17,2,2,0,23,27
401736198,20250622,Fever,34,70,48.6,6,23,26.1,7,9,77.8,33,9,24,23,9,1,16,11,52,10,2,18,0,0,0,28,17
401736198,20250622,Aces,32,71,45.1,6,20,30.0,19,21,90.5,31,8,23,19,9,3,13,10,40,9,0,13,0,0,0,16,11
401736199,20250622,Liberty,28,63,44.4,8,24,33.3,15,16,93.8,39,7,32,21,7,7,20,8,36,5,1,21,0,0,0,22,14
401736199,20250622,Storm,35,82,42.7,8,26,30.8,11,15,73.3,32,9,23,24,13,6,10,15,42,10,0,10,1,1,0,13,14
401736200,20250622,Sun,20,66,30.3,7,24,29.2,16,21,76.2,35,10,25,14,4,10,13,5,12,1,1,14,1,1,0,10,23
401736200,20250622,Valkyries,28,78,35.9,9,31,29.0,22,29,75.9,51,19,32,18,9,3,9,12,32,30,1,10,1,1,0,6,16
