GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401736333,20250819,Lynx,29,71,40.8,6,22,27.3,11,14,78.6,33,12,21,10,7,4,10,10,38,1,1,11,0,0,1,9,16
401736333,20250819,Liberty,29,66,43.9,13,32,40.6,14,18,77.8,37,8,29,23,6,2,12,7,28,15,3,15,1,1,0,13,10
401736334,20250819,Sun,31,68,45.6,3,16,18.8,15,19,78.9,38,9,29,16,10,3,10,10,40,19,0,10,0,0,0,10,19
401736334,20250819,Mystics,27,62,43.5,5,17,29.4,10,14,71.4,33,6,27,21,6,1,14,6,38,10,1,15,1,1,0,21,12
401736335,20250819,Storm,34,68,50.0,8,22,36.4,18,23,78.3,32,6,26,21,8,10,12,21,44,19,0,12,1,1,0,11,12
401736335,20250819,Sky,36,77,46.8,8,16,50.0,8,10,80.0,30,7,23,30,7,7,12,13,48,4,0,12,0,0,1,17,17
401736336,20250819,Dream,26,65,40.0,8,29,27.6,12,14,85.7,29,9,20,16,8,2,10,4,32,10,5,15,0,0,0,12,14
401736336,20250819,Aces,29,64,45.3,7,20,35.0,9,11,81.8,32,9,23,20,6,6,13,8,30,4,1,14,0,0,0,22,15
401736337,20250819,Mercury,34,69,49.3,11,31,35.5,19,23,82.6,40,10,30,22,1,3,10,14,40,9,1,11,0,0,0,13,18
401736337,20250819,Valkyries,32,77,41.6,12,35,34.3,15,17,88.2,29,9,20,20,9,1,3,2,34,12,1,4,0,0,0,4,18
