GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401736215,20250629,Liberty,30,68,44.1,9,26,34.6,12,15,80.0,30,5,25,18,7,3,13,9,36,1,0,13,1,1,0,16,17
401736215,20250629,Dream,37,70,52.9,4,19,21.1,12,22,54.5,38,6,32,27,7,2,13,8,62,20,3,16,1,1,0,11,16
401736216,20250629,Sky,33,68,48.5,11,26,42.3,15,17,88.2,35,9,26,22,6,7,11,12,40,12,3,14,1,1,0,11,20
401736216,20250629,Sparks,30,72,41.7,9,28,32.1,16,22,72.7,35,12,23,22,7,5,13,19,42,7,1,14,0,0,0,18,16
401736217,20250629,Aces,26,60,43.3,9,24,37.5,23,26,88.5,36,5,31,20,5,3,12,4,28,9,1,13,1,1,0,18,19
401736217,20250629,Mercury,27,71,38.0,10,24,41.7,17,21,81.0,35,12,23,19,5,3,11,12,30,10,0,11,0,0,0,10,20
401736218,20250629,Sun,23,66,34.8,4,18,22.2,13,17,76.5,27,9,18,14,8,5,14,7,22,0,1,15,0,0,0,23,20
401736218,20250629,Lynx,36,71,50.7,10,34,29.4,20,24,83.3,41,11,30,27,8,5,13,18,36,41,0,13,0,0,0,16,19
401736219,20250629,Storm,20,74,27.0,6,28,21.4,11,14,78.6,38,13,25,13,8,4,11,4,18,0,2,13,2,2,0,15,17
401736219,20250629,Valkyries,31,64,48.4,8,27,29.6,14,18,77.8,41,6,35,20,5,4,16,20,46,30,1,17,1,1,0,12,10
