GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401736272,20250727,Valkyries,20,59,33.9,9,32,28.1,15,23,65.2,24,8,16,15,9,3,22,2,22,2,2,24,0,0,0,34,17
401736272,20250727,Sun,35,66,53.0,12,29,41.4,13,14,92.9,32,8,24,21,14,6,16,14,36,31,0,16,1,1,1,17,23
401736269,20250727,Fever,33,70,47.1,11,29,37.9,16,16,100.0,29,7,22,26,15,3,11,11,32,16,3,14,0,0,0,20,14
401736269,20250727,Sky,28,65,43.1,10,25,40.0,12,14,85.7,32,7,25,17,7,5,20,15,30,5,0,20,0,0,0,31,18
401736273,20250727,Aces,36,74,48.6,15,36,41.7,19,24,79.2,37,11,26,30,6,7,10,16,34,26,0,10,0,0,0,10,19
401736273,20250727,Wings,30,79,38.0,4,19,21.1,16,21,76.2,38,14,24,15,4,2,11,7,46,2,1,12,0,0,0,26,20
401736274,20250727,Mercury,35,68,51.5,5,21,23.8,13,14,92.9,33,6,27,22,10,5,13,11,50,17,1,14,0,0,0,14,19
401736274,20250727,Mystics,24,63,38.1,5,16,31.3,19,22,86.4,32,9,23,19,8,2,17,2,32,6,1,18,1,1,0,22,15
401736275,20250727,Dream,34,65,52.3,8,18,44.4,14,17,82.4,27,7,20,22,12,0,16,6,40,14,2,18,0,0,0,19,13
401736275,20250727,Lynx,37,66,56.1,7,18,38.9,5,8,62.5,22,4,18,28,9,5,16,4,48,4,0,16,0,0,0,15,19
