GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401736322,20250815,Mystics,29,55,52.7,8,17,47.1,22,26,84.6,29,4,25,20,6,6,13,5,30,9,1,14,0,0,0,18,18
401736322,20250815,Fever,33,73,45.2,7,21,33.3,11,16,68.8,24,7,17,21,7,1,9,9,46,13,1,10,0,0,0,13,21
401736323,20250815,Valkyries,27,56,48.2,14,27,51.9,22,25,88.0,31,6,25,19,12,2,8,8,22,31,0,8,2,2,0,11,13
401736323,20250815,Sky,23,65,35.4,7,27,25.9,6,6,100.0,28,9,19,20,5,2,14,7,28,7,1,15,0,0,1,16,19
401736324,20250815,Sparks,33,75,44.0,11,25,44.0,20,25,80.0,39,15,24,23,11,5,14,17,44,16,3,17,0,0,0,19,17
401736324,20250815,Wings,38,75,50.7,9,27,33.3,11,11,100.0,28,7,21,32,6,7,15,9,50,0,0,15,0,0,0,18,20
401736325,20250815,Storm,33,71,46.5,6,18,33.3,8,13,61.5,30,7,23,21,7,6,6,25,50,15,0,6,1,1,0,10,20
401736325,20250815,Dream,27,58,46.6,2,13,15.4,22,25,88.0,37,7,30,16,4,6,12,4,46,5,1,13,0,0,0,14,19
401736326,20250815,Aces,30,66,45.5,4,18,22.2,22,26,84.6,39,12,27,21,6,5,11,11,34,10,0,11,0,0,0,7,15
401736326,20250815,Mercury,31,68,45.6,10,27,37.0,11,14,78.6,30,7,23,23,7,3,12,13,38,7,0,12,1,1,0,14,19
