GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401736329,20250817,Fever,36,78,46.2,7,22,31.8,20,25,80.0,38,14,24,23,7,3,16,8,54,7,1,17,2,2,0,17,19
401736329,20250817,Sun,36,73,49.3,7,17,41.2,14,20,70.0,32,7,25,25,7,5,14,12,52,21,2,16,2,2,1,14,30
401736328,20250817,Sparks,35,70,50.0,8,24,33.3,8,11,72.7,15,4,11,23,8,4,7,5,46,0,1,8,1,1,0,8,14
401736328,20250817,Mystics,35,59,59.3,11,20,55.0,14,18,77.8,35,8,27,30,6,4,14,2,34,14,4,18,0,0,0,25,19
401736330,20250817,Wings,38,78,48.7,3,17,17.6,8,9,88.9,37,8,29,26,5,2,12,14,58,4,1,13,0,0,1,23,16
401736330,20250817,Aces,34,68,50.0,18,34,52.9,20,23,87.0,28,4,24,28,9,3,8,3,32,23,0,8,0,0,0,10,17
401736331,20250817,Mercury,31,64,48.4,8,26,30.8,15,18,83.3,34,3,31,21,6,3,17,10,38,9,2,19,0,0,0,22,19
401736331,20250817,Storm,34,72,47.2,4,22,18.2,10,13,76.9,30,3,27,19,9,3,12,14,56,1,0,12,0,0,0,0,16
401736332,20250817,Dream,28,68,41.2,9,35,25.7,14,16,87.5,38,9,29,24,6,3,9,7,38,22,1,10,0,0,0,9,16
401736332,20250817,Valkyries,21,60,35.0,7,29,24.1,14,16,87.5,27,5,22,14,6,4,8,2,26,5,1,9,0,0,0,12,16
