GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401736388,20250909,Mystics,27,62,43.5,5,16,31.3,7,13,53.8,29,2,27,24,4,4,8,4,38,2,2,10,0,0,0,15,14
401736388,20250909,Liberty,27,64,42.2,6,21,28.6,15,16,93.8,36,5,31,21,5,1,11,7,32,17,1,12,0,0,0,6,15
401736389,20250909,Lynx,33,74,44.6,2,20,10.0,4,9,44.4,35,13,22,21,8,6,11,8,58,0,1,12,0,0,0,13,15
401736389,20250909,Fever,31,64,48.4,9,19,47.4,12,14,85.7,34,8,26,19,6,1,13,8,34,24,2,15,0,0,0,12,12
401736390,20250909,Sky,19,58,32.8,4,22,18.2,19,20,95.0,27,7,20,12,6,5,12,4,26,2,3,15,0,0,0,26,15
401736390,20250909,Aces,34,62,54.8,15,29,51.7,9,12,75.0,27,4,23,26,8,8,7,12,28,35,1,8,0,0,0,7,17
401736391,20250909,Sparks,29,69,42.0,9,31,29.0,21,25,84.0,35,9,26,21,7,4,9,9,38,10,1,10,0,0,0,8,13
401736391,20250909,Mercury,30,72,41.7,10,30,33.3,13,17,76.5,39,11,28,20,7,3,12,0,32,8,0,12,0,0,0,13,18
401736392,20250909,Valkyries,26,65,40.0,10,29,34.5,11,14,78.6,35,10,25,18,9,4,9,2,30,10,2,11,0,0,0,12,16
401736392,20250909,Storm,26,64,40.6,7,17,41.2,15,20,75.0,37,13,24,18,4,7,13,14,30,3,0,13,0,0,0,12,16
