week,season,game_id,date,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,winner,point_differential,status,away_firstDowns,away_firstDownsPassing,away_firstDownsRushing,away_firstDownsPenalty,away_thirdDownConversions,away_thirdDownAttempts,away_fourthDownConversions,away_fourthDownAttempts,away_totalOffensivePlays,away_totalYards,away_yardsPerPlay,away_totalDrives,away_netPassingYards,away_completions,away_passAttempts,away_yardsPerPass,away_interceptions,away_sacks,away_sackYardsLost,away_rushingYards,away_rushingAttempts,away_yardsPerRushAttempt,away_redZoneAttempts,away_penalties,away_penaltyYards,away_turnovers,away_fumblesLost,away_defensiveTouchdowns,away_possessionTime,home_firstDowns,home_firstDownsPassing,home_firstDownsRushing,home_firstDownsPenalty,home_thirdDownConversions,home_thirdDownAttempts,home_fourthDownConversions,home_fourthDownAttempts,home_totalOffensivePlays,home_totalYards,home_yardsPerPlay,home_totalDrives,home_netPassingYards,home_completions,home_passAttempts,home_yardsPerPass,home_interceptions,home_sacks,home_sackYardsLost,home_rushingYards,home_rushingAttempts,home_yardsPerRushAttempt,home_redZoneAttempts,home_penalties,home_penaltyYards,home_turnovers,home_fumblesLost,home_defensiveTouchdowns,home_possessionTime,attendance,venue,venue_city,venue_state
4,2021,401326379,2021-10-01T00:20Z,Jacksonville Jaguars,JAX,21,Cincinnati Bengals,CIN,24,Cincinnati Bengals,3,Final,21,8,12,1,6,12,1,2,55,341,6.2,8,202,17,24,8.1,0,1,2,139,30,4.6,3-4,2,10,0,0,0,28:45,21,16,4,1,5,9,0,0,55,420,7.6,9,342,25,32,10.4,0,1,6,78,22,3.5,1-2,6,38,0,0,0,31:15,63198,Paycor Stadium,Cincinnati,OH
4,2021,401326380,2021-10-03T17:00Z,Washington,WSH,34,Atlanta Falcons,ATL,30,Washington,4,Final,26,16,8,2,4,9,1,2,62,412,6.6,10,290,23,33,8.5,0,1,0,122,28,4.4,2-3,6,85,0,0,1,29:18,24,15,6,3,10,16,0,0,71,374,5.3,10,275,25,42,6.4,0,1,8,99,28,3.5,3-4,7,36,0,0,0,30:42,68259,Mercedes-Benz Stadium,Atlanta,GA
4,2021,401326381,2021-10-03T17:00Z,Houston Texans,HOU,0,Buffalo Bills,BUF,40,Buffalo Bills,40,Final,6,4,2,0,1,9,1,2,42,109,2.6,12,61,11,21,2.5,4,3,26,48,18,2.7,0-1,10,100,5,1,0,21:45,26,12,12,2,5,12,1,2,72,450,6.2,12,251,21,31,7.8,1,1,5,199,40,5.0,3-7,3,30,1,0,0,38:15,68087,Highmark Stadium,Orchard Park,NY
4,2021,401326382,2021-10-03T17:00Z,Detroit Lions,DET,14,Chicago Bears,CHI,24,Chicago Bears,10,Final,23,15,4,4,4,11,1,3,67,351,5.2,9,261,24,38,6.2,0,4,38,90,25,3.6,1-5,4,26,2,2,0,31:17,20,5,13,2,1,8,1,1,57,373,6.5,10,185,11,17,10.3,1,1,24,188,39,4.8,3-4,7,61,1,0,0,28:43,61468,Soldier Field,Chicago,IL
4,2021,401326383,2021-10-03T17:00Z,Carolina Panthers,CAR,28,Dallas Cowboys,DAL,36,Dallas Cowboys,8,Final,24,13,9,2,4,13,3,3,68,379,5.6,11,266,26,39,6.0,2,5,35,113,24,4.7,4-4,6,32,2,0,0,33:36,24,10,12,2,3,9,1,1,56,433,7.7,11,188,14,22,8.5,0,0,0,245,34,7.2,3-3,7,50,0,0,0,26:24,93262,AT&T Stadium,Arlington,TX
4,2021,401326384,2021-10-03T17:00Z,Indianapolis Colts,IND,27,Miami Dolphins,MIA,17,Indianapolis Colts,10,Final,20,9,9,2,6,15,1,1,67,349,5.2,10,210,24,32,6.2,0,2,18,139,33,4.2,2-4,8,86,1,1,0,37:09,13,10,2,1,3,11,2,2,49,203,4.1,10,168,20,30,5.1,0,3,31,35,16,2.2,2-2,5,32,2,2,0,22:51,64571,Hard Rock Stadium,Miami Gardens,FL
4,2021,401326385,2021-10-03T17:00Z,Cleveland Browns,CLE,14,Minnesota Vikings,MIN,7,Cleveland Browns,7,Final,20,9,10,1,7,18,0,1,74,327,4.4,11,143,15,33,4.0,0,3,12,184,38,4.8,1-2,7,73,0,0,0,35:32,16,10,4,2,5,16,1,3,63,255,4.0,12,190,20,38,4.8,1,2,13,65,23,2.8,1-1,7,42,1,0,0,24:28,66703,U.S. Bank Stadium,Minneapolis,MN
4,2021,401326386,2021-10-03T17:00Z,New York Giants,NYG,27,New Orleans Saints,NO,21,New York Giants,6,Final,21,17,4,0,4,11,0,0,60,485,8.1,11,402,28,40,10.1,1,0,0,83,20,4.2,1-3,3,25,1,0,0,27:35,21,12,9,0,8,13,0,1,65,405,6.2,10,235,19,26,9.0,1,0,0,170,39,4.4,3-3,5,35,1,0,0,37:31,69170,Caesars Superdome,New Orleans,LA
4,2021,401326387,2021-10-03T17:00Z,Tennessee Titans,TEN,24,New York Jets,NYJ,27,New York Jets,3,Final,30,17,10,3,5,19,2,3,93,430,4.6,13,253,30,49,4.5,0,7,45,177,37,4.8,2-5,8,98,0,0,0,40:42,16,11,4,1,6,14,0,0,60,355,5.9,13,289,21,34,8.3,1,1,8,66,25,2.6,2-4,6,65,1,0,0,29:03,70232,MetLife Stadium,East Rutherford,NJ
4,2021,401326388,2021-10-03T17:00Z,Kansas City Chiefs,KC,42,Philadelphia Eagles,PHI,30,Kansas City Chiefs,12,Final,31,16,12,3,9,10,0,0,63,471,7.5,8,271,24,30,8.7,1,1,7,200,32,6.3,5-5,7,46,1,0,0,30:52,30,19,9,2,6,12,1,2,70,461,6.6,8,358,32,48,7.0,0,3,29,103,19,5.4,3-6,9,49,0,0,0,29:08,69796,Lincoln Financial Field,Philadelphia,PA
