game_id,season,week,neutral_site,conference_game,attendance,home_team,home_team_id,home_conference,home_points,away_team,away_team_id,away_conference,away_points
401426532,2022,1,False,False,13688.0,Western Kentucky,98,Conference USA,38,Austin Peay,2046,Atlantic Sun,27
401405059,2022,1,True,True,,Northwestern,77,Big Ten,31,Nebraska,158,Big Ten,28
401439512,2022,1,True,False,,Florida Memorial University,125762,,39,Edward Waters,2206,SIAC,34
401413256,2022,1,False,False,19579.0,UNLV,2439,Mountain West,52,Idaho State,304,Big Sky,21
401413213,2022,1,True,False,,Jacksonville State,55,Atlantic Sun,42,Stephen F. Austin,2617,Western Athletic,17
401404146,2022,1,False,False,19553.0,Utah State,328,Mountain West,31,UConn,41,FBS Independents,20
401405058,2022,1,False,False,37832.0,Illinois,356,Big Ten,38,Wyoming,2751,Mountain West,6
401411090,2022,1,False,False,51207.0,Florida State,52,ACC,47,Duquesne,2184,NEC,7
401422922,2022,1,False,False,,Mercer,2382,Southern,63,Morehead State,2413,Pioneer,13
401426530,2022,1,False,True,19571.0,Florida Atlantic,2226,Conference USA,43,Charlotte,2429,Conference USA,13
401423448,2022,1,True,False,,Alabama State,2011,SWAC,23,Howard,47,MEAC,13
401411091,2022,1,False,False,46130.0,North Carolina,153,ACC,56,Florida A&M,50,SWAC,24
401426531,2022,1,False,True,45971.0,UTEP,2638,Conference USA,13,North Texas,249,Conference USA,31
401409235,2022,1,False,False,,New Mexico State,166,FBS Independents,12,Nevada,2440,Mountain West,23
401403853,2022,1,False,False,9346.0,Hawai'i,62,Mountain West,10,Vanderbilt,238,SEC,63
401437007,2022,1,False,False,,New Mexico Highlands,2424,Rocky Mountain,18,Eastern New Mexico,2201,Lone Star,34
401433043,2022,1,False,False,,Southern Connecticut State,2583,Northeast 10,7,Shepherd,2974,Pennsylvania State Athletic,48
401416568,2022,1,False,False,8752.0,Akron,2006,Mid-American,30,St. Francis (PA),2598,NEC,23
401428480,2022,1,False,False,,Wagner,2681,NEC,31,Fordham,2230,Patriot,48
401431561,2022,1,False,False,,Saginaw Valley State,129,GLIAC,72,West Virginia Wesleyan,455,Mountain East,0
401432134,2022,1,False,False,,Clarion,2134,Pennsylvania State Athletic,14,West Liberty,2699,Mountain East,21
401431978,2022,1,False,False,,Chowan,2804,CIAA,3,Wilson,122666,South Atlantic,17
401421137,2022,1,False,False,,Campbell,2097,Big South,29,The Citadel,2643,Southern,10
401430716,2022,1,False,False,,Bluefield State,124180,Independent DII,35,Johnson C Smith,2304,CIAA,34
401418776,2022,1,False,False,,Indiana State,282,MVFC,17,North Alabama,2453,Atlantic Sun,14
401431571,2022,1,False,False,,Ashland,308,Great Midwest Athletic,31,Notre Dame College,587,Mountain East,14
401431542,2022,1,False,False,,Michigan Tech,2392,GLIAC,23,Wisconsin-Platteville,272,Wisconsin,13
401430722,2022,1,False,False,,Greeneville,2839,South Atlantic,70,St. Augustine's,395,CIAA,13
401432987,2022,1,False,False,,PennWest California,2858,Pennsylvania State Athletic,35,Fairmont State,2986,Mountain East,15
401418645,2022,1,False,False,,Samford,2535,Southern,27,Kennesaw State,338,Atlantic Sun,17
401403864,2022,1,False,False,92236.0,Tennessee,2633,SEC,59,Ball State,2050,Mid-American,10
401416569,2022,1,False,False,53808.0,Oklahoma State,197,Big 12,58,Central Michigan,2117,Mid-American,44
401441990,2022,1,False,False,21291.0,Toledo,2649,Mid-American,37,Long Island University,2341,NEC,0
401426533,2022,1,False,False,,Florida International,2229,Conference USA,38,Bryant,2803,Big South,37
401432383,2022,1,False,False,,St. Anselm,2830,Northeast 10,28,Millersville,210,Pennsylvania State Athletic,10
401455581,2022,1,False,False,,Pace,2487,Northeast 10,31,East Stroudsburg University,2188,Pennsylvania State Athletic,16
401415610,2022,1,False,False,43810.0,UCF,2116,American Athletic,56,South Carolina State,2569,MEAC,10
401431936,2022,1,False,True,,Washburn,2687,Mid America,45,Lincoln (MO),2876,Mid America,3
401432392,2022,1,False,True,,Bemidji State,132,Northern Sun,34,Minnesota State Mankato,2364,Northern Sun,37
401432403,2022,1,False,True,,Minnesota Duluth,134,Northern Sun,31,Southwest Minnesota State,2587,Northern Sun,21
401432429,2022,1,False,True,,Northern State,425,Northern Sun,30,Upper Iowa University,389,Northern Sun,0
401432412,2022,1,False,True,,Minnesota State Moorhead,2817,Northern Sun,14,Sioux Falls,2894,Northern Sun,27
401430702,2022,1,False,False,,Virginia Union,2676,CIAA,77,Virginia University Of Lynchburg,2355,,0
401431849,2022,1,False,False,,Valdosta State,2673,Gulf South,36,Keiser University,126110,,21
401431517,2022,1,False,False,,Quincy,2825,Great Lakes,15,Glenville State,2249,Mountain East,44
401431509,2022,1,False,False,,Missouri S&T,2402,Great Lakes,20,South Dakota Mines,613,Rocky Mountain,43
401432152,2022,1,False,False,,Wheeling,112335,Mountain East,25,Seton Hill,611,Pennsylvania State Athletic,11
401431484,2022,1,False,True,,Southern Nazarene,200,Great American,26,Arkansas-Monticello,2028,Great American,40
401431479,2022,1,False,True,,Southern Arkansas,2568,Great American,62,Northwestern Oklahoma State,2823,Great American,31
401431472,2022,1,False,True,,Southeastern Oklahoma State,199,Great American,41,Arkansas Tech,2033,Great American,34
401431465,2022,1,False,True,,Oklahoma Baptist,319,Great American,32,Ouachita Baptist,2888,Great American,42
401438595,2022,1,False,False,,Gannon,367,Pennsylvania State Athletic,47,University Of Charleston (WV),2128,Mountain East,13
401431408,2022,1,False,True,,East Central (OK),2191,Great American,12,Harding University,2264,Great American,29
401438660,2022,1,False,False,,Lakeland,6353,NACC,20,Illinois College,2286,Midwest,38
401431499,2022,1,False,False,,Northern Michigan,128,GLIAC,24,McKendree,2816,Great Lakes,31
401432239,2022,1,False,False,,Gardner-Webb,2241,Big South,56,Limestone,2336,South Atlantic,21
401431531,2022,1,False,False,,Grand Valley State University,125,GLIAC,25,Colorado School Of Mines,2146,Rocky Mountain,22
401424402,2022,1,False,True,,New Hampshire,160,CAA,31,Monmouth,2405,CAA,21
401424414,2022,1,False,True,,Stony Brook,2619,CAA,14,Rhode Island,227,CAA,35
401411092,2022,1,False,False,70622.0,Pittsburgh,221,ACC,38,West Virginia,277,Big 12,31
401432119,2022,1,False,False,,Frostburg State,341,Mountain East,21,American International,2022,Northeast 10,7
401430986,2022,1,False,False,,Millsaps,2398,Southern Athletic,21,Belhaven,2056,USA South,49
401431214,2022,1,False,False,,Trine University,2651,Michigan,38,Anderson (IN),2023,Heartland,0
401438604,2022,1,False,False,,UVA Wise,2842,South Atlantic,41,Ferrum,366,Old Dominion,9
401421156,2022,1,False,False,,Furman,231,Southern,52,North Greenville,2822,Gulf South,0
401420840,2022,1,False,False,,UT Martin,2630,OVC,42,Western Illinois,2710,MVFC,25
401431591,2022,1,False,False,,Ferris State,2222,GLIAC,36,Central Washington,2120,Lone Star,20
401432421,2022,1,False,True,,Concordia University St Paul,3066,Northern Sun,14,Augustana University (SD),2043,Northern Sun,28
401425510,2022,1,False,False,,East Tennessee State,2193,Southern,44,Mars Hill,2369,South Atlantic,7
401411093,2022,1,False,False,26013.0,Wake Forest,154,ACC,44,VMI,2678,Southern,10
401431457,2022,1,False,True,,Henderson State,2271,Great American,30,Southwestern Oklahoma State,2927,Great American,13
401426534,2022,1,False,False,32542.0,UAB,5,Conference USA,59,Alabama A&M,2010,SWAC,0
401431945,2022,1,False,True,,Missouri Southern State,2403,Mid America,7,Nebraska-Kearney,2438,Mid America,24
401432372,2022,1,False,True,,Emporia State University,2214,Mid America,42,Northeastern State,196,Mid America,17
401431886,2022,1,False,False,,Angelo State,2025,Lone Star,35,Chadron St,2123,Rocky Mountain,0
401433087,2022,1,False,False,,William Jewell,2911,Great Lakes,14,Colorado Mesa,11,Rocky Mountain,37
401405064,2022,1,False,True,,Purdue,2509,Big Ten,31,Penn State,213,Big Ten,35
401418782,2022,1,False,True,,Abilene Christian,2000,Western Athletic,28,Lamar,2320,Southland,14
401420877,2022,1,False,False,,Southern Utah,253,Western Athletic,44,St. Thomas (MN),2900,Pioneer,13
401420880,2022,1,False,False,,Tarleton State,2627,Western Athletic,29,Mississippi Valley State,2400,SWAC,13
401421125,2022,1,False,False,,East Texas A&M,2837,Southland,52,Lincoln (CA),124179,,7
401431610,2022,1,False,False,,Weber State,2692,Big Sky,41,Western Oregon,2848,Lone Star,5
401426537,2022,1,False,False,47653.0,Missouri,142,SEC,52,Louisiana Tech,2348,Conference USA,24
401433070,2022,1,True,False,,Dickinson State University,316,,2,Black Hills State,2069,Rocky Mountain,17
