GameID,Date,Season,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401857143,2026-08-14,2026,Wings,31,72,43,7,29,24,18,20,90,31,11,20,18,3,6,10,7,36,5,2,12,0,0,0,13,19,12,32
401857143,2026-08-14,2026,Fever,39,74,53,9,24,38,11,13,85,34,9,25,14,4,2,9,13,50,13,0,9,1,1,0,10,21,12,51
401857144,2026-08-14,2026,Fire,31,72,43,12,37,32,10,17,59,43,11,32,22,8,4,14,6,38,16,1,15,0,0,0,28,18,0,96
401857144,2026-08-14,2026,Storm,27,81,33,14,39,36,14,17,82,45,14,31,18,5,4,11,5,24,0,1,12,0,0,0,12,17,0,0
