GameID,Date,Season,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401857092,2026-07-28,2026,Sun,31,75,41,11,25,44,11,18,61,29,8,21,24,6,8,10,9,32,7,2,12,1,1,0,13,26,4,30
401857092,2026-07-28,2026,Mystics,29,67,43,6,12,50,28,33,85,41,14,27,20,5,7,14,5,44,18,0,14,0,0,0,13,17,4,63
401857093,2026-07-28,2026,Tempo,33,73,45,13,35,37,14,17,82,36,10,26,22,7,4,15,10,34,5,2,17,0,0,0,16,18,5,22
401857093,2026-07-28,2026,Lynx,37,72,51,14,25,56,12,16,75,31,7,24,26,8,4,11,14,42,17,0,11,0,0,0,13,20,5,72
401857094,2026-07-28,2026,Fever,33,64,52,13,24,54,26,26,100,36,6,30,16,3,3,11,8,36,20,2,13,0,0,0,13,21,2,97
401857094,2026-07-28,2026,Storm,32,79,41,11,34,32,20,27,74,36,16,20,17,6,2,4,10,40,1,1,5,0,0,0,8,22,2,0
401857095,2026-07-28,2026,Fire,27,68,40,9,31,29,20,25,80,33,12,21,18,5,1,13,7,34,0,0,13,1,1,0,19,23,0,0
401857095,2026-07-28,2026,Aces,33,57,58,9,22,41,23,26,88,30,2,28,21,7,3,12,19,44,18,0,12,0,0,0,12,21,0,99
401857096,2026-07-28,2026,Liberty,41,70,59,17,32,53,14,16,88,28,7,21,27,10,7,17,8,48,11,1,18,0,0,0,30,13,12,39
401857096,2026-07-28,2026,Sparks,44,73,60,16,31,52,5,7,71,21,2,19,35,10,1,15,9,46,9,0,15,0,0,0,21,17,12,53
