GameID,Date,Season,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401857190,2026-09-17,2026,Sun,23,65,35,3,20,15,10,12,83,28,2,26,16,3,6,14,6,30,0,0,14,0,0,0,18,19,0,0
401857190,2026-09-17,2026,Dream,39,76,51,9,30,30,16,21,76,42,10,32,30,9,3,4,10,56,45,0,4,0,0,0,2,13,0,97
401857191,2026-09-17,2026,Mystics,41,75,55,9,21,43,19,26,73,40,9,31,27,8,3,8,10,54,32,1,9,1,1,0,6,20,5,92
401857191,2026-09-17,2026,Sky,29,66,44,4,20,20,18,25,72,27,6,21,17,3,4,16,7,34,2,1,17,0,0,0,22,20,5,6
401857192,2026-09-17,2026,Sparks,29,78,37,7,25,28,12,19,63,27,7,20,22,13,6,13,11,38,6,1,14,0,0,0,7,12,12,20
401857192,2026-09-17,2026,Wings,38,75,51,10,30,33,11,14,79,46,10,36,31,9,11,18,20,46,25,2,20,0,0,0,22,16,12,67
401857193,2026-09-17,2026,Mercury,28,57,49,12,25,48,26,30,87,29,7,22,23,10,5,17,7,28,6,3,20,0,0,0,29,25,9,32
401857193,2026-09-17,2026,Fire,29,62,47,12,30,40,21,28,75,25,8,17,20,12,3,17,8,34,11,1,18,0,0,0,14,24,9,63
401857194,2026-09-17,2026,Aces,40,69,58,13,28,46,21,24,88,38,6,32,29,7,6,13,17,44,37,1,14,0,0,0,14,21,0,97
401857194,2026-09-17,2026,Storm,27,71,38,8,27,30,15,19,79,28,8,20,17,9,3,13,12,34,0,1,14,0,0,0,20,21,0,0
