GameID,Date,Season,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401857215,2026-09-24,2026,Tempo,25,74,34,5,29,17,26,30,87,40,14,26,13,8,1,12,4,38,5,1,13,1,1,0,19,17,11,17
401857215,2026-09-24,2026,Sun,37,74,50,7,22,32,14,17,82,36,10,26,19,7,2,12,11,54,17,0,12,1,1,0,11,22,11,66
401857216,2026-09-24,2026,Sky,36,74,49,8,24,33,13,20,65,27,6,21,26,9,3,7,11,52,0,3,10,0,0,0,15,24,0,0
401857216,2026-09-24,2026,Mystics,34,68,50,10,22,45,23,32,72,44,14,30,19,4,3,14,14,44,25,0,14,0,0,0,16,15,0,99
401857217,2026-09-24,2026,Fever,25,73,34,5,32,16,11,20,55,43,16,27,13,9,3,15,10,34,0,0,15,0,0,0,11,13,0,0
401857217,2026-09-24,2026,Lynx,33,75,44,15,40,38,5,6,83,44,10,34,28,4,3,13,6,30,36,1,14,0,0,0,8,18,0,97
401857218,2026-09-24,2026,Valkyries,27,69,39,5,18,28,17,21,81,35,9,26,13,5,3,9,8,42,6,1,10,0,0,0,7,20,4,23
401857218,2026-09-24,2026,Sparks,28,68,41,9,25,36,10,15,67,33,6,27,22,2,2,12,9,32,16,2,14,0,0,0,15,18,4,71
401857219,2026-09-24,2026,Aces,42,75,56,9,19,47,7,8,88,33,9,24,27,12,5,13,7,48,31,0,13,0,0,0,16,9,0,99
401857219,2026-09-24,2026,Mercury,31,70,44,8,26,31,12,15,80,33,10,23,21,12,4,18,17,40,0,0,18,1,1,0,20,13,0,0
