GameID,Date,Season,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401857097,2026-07-29,2026,Dream,31,70,44,1,16,6,19,25,76,37,12,25,22,11,4,15,4,58,2,1,16,2,2,0,22,20,7,3
401857097,2026-07-29,2026,Wings,34,69,49,4,15,27,9,14,64,32,8,24,19,9,5,16,15,40,15,2,18,0,0,1,15,19,7,88
401857098,2026-07-29,2026,Valkyries,31,76,41,12,33,36,15,19,79,33,13,20,24,7,1,7,2,38,13,2,9,1,1,0,12,34,4,45
401857098,2026-07-29,2026,Mercury,27,55,49,5,16,31,32,43,74,34,6,28,19,3,7,10,14,40,8,0,10,1,1,0,14,23,4,45
