GameID,Date,Season,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401857201,2026-09-20,2026,Lynx,36,72,50,4,21,19,25,27,93,32,10,22,20,12,2,11,4,50,20,0,11,0,0,0,13,19,0,99
401857201,2026-09-20,2026,Sun,31,59,53,15,28,54,12,19,63,27,5,22,22,9,2,17,14,32,0,3,20,1,1,0,25,23,0,0
401857202,2026-09-20,2026,Liberty,39,69,57,16,37,43,12,16,75,36,8,28,29,8,7,16,10,38,37,1,17,0,0,0,19,20,1,91
401857202,2026-09-20,2026,Tempo,27,72,38,2,22,9,13,15,87,26,11,15,15,9,1,13,7,38,2,3,16,0,0,0,13,21,1,3
401857203,2026-09-20,2026,Mystics,37,65,57,9,18,50,10,15,67,37,10,27,27,8,4,16,7,50,26,0,16,0,0,0,17,25,0,97
401857203,2026-09-20,2026,Fever,26,71,37,6,28,21,19,21,90,30,11,19,13,9,4,12,17,38,0,1,13,0,0,0,8,19,0,0
401857204,2026-09-20,2026,Fire,28,64,44,6,27,22,22,31,71,23,8,15,17,10,2,15,10,42,2,2,17,0,0,0,16,27,7,4
401857204,2026-09-20,2026,Sparks,33,62,53,14,29,48,25,29,86,29,9,20,24,6,3,16,7,28,24,0,16,1,1,1,18,26,7,94
401857205,2026-09-20,2026,Storm,28,71,39,7,26,27,14,19,74,35,11,24,19,9,3,18,8,36,5,2,20,1,1,0,25,23,1,12
401857205,2026-09-20,2026,Aces,32,63,51,11,26,42,23,28,82,28,3,25,20,13,5,13,27,30,21,0,13,0,0,0,15,17,1,86
