GameID,Date,Season,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401856996,2026-06-17,2026,Mystics,26,55,47,7,18,39,29,30,97,33,4,29,18,2,1,13,6,36,11,0,13,0,0,0,20,20,8,84
401856996,2026-06-17,2026,Sun,31,68,46,4,20,20,15,23,65,26,7,19,16,8,3,5,4,48,4,0,5,1,1,0,5,25,8,8
401856997,2026-06-17,2026,Liberty,33,66,50,9,27,33,21,23,91,34,10,24,20,7,5,13,8,46,6,1,14,0,0,0,7,12,15,49
401856997,2026-06-17,2026,Sky,35,71,49,12,23,52,13,15,87,28,7,21,23,10,4,10,12,42,15,1,11,1,1,0,10,22,15,42
401856998,2026-06-17,2026,Wings,30,64,47,9,22,41,11,16,69,25,2,23,19,10,3,8,9,32,12,0,8,0,0,0,10,20,1,31
401856998,2026-06-17,2026,Valkyries,29,63,46,12,25,48,21,27,78,41,9,32,20,4,3,13,6,32,12,0,13,0,0,0,21,14,1,65
401856999,2026-06-17,2026,Lynx,40,72,56,9,21,43,10,14,71,34,8,26,21,11,3,20,6,52,22,0,20,0,0,1,16,27,5,86
401856999,2026-06-17,2026,Sparks,25,60,42,7,26,27,26,32,81,26,5,21,20,8,1,18,4,36,4,1,19,1,1,0,25,18,5,9
401857000,2026-06-17,2026,Aces,31,68,46,5,21,24,19,25,76,29,9,20,25,18,6,9,18,42,10,0,9,0,0,0,17,13,12,44
401857000,2026-06-17,2026,Mercury,27,57,47,9,21,43,13,14,93,30,5,25,18,5,2,20,14,30,9,2,22,1,1,0,28,19,12,45
401857001,2026-06-17,2026,Storm,32,67,48,9,24,38,16,19,84,31,8,23,22,5,3,12,11,40,12,2,14,0,0,1,14,18,9,54
401857001,2026-06-17,2026,Fire,27,70,39,17,42,40,23,27,85,32,14,18,20,7,7,12,4,18,9,2,14,0,0,0,13,18,9,33
