GameID,Date,Season,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401857086,2026-07-22,2026,Mercury,35,74,47,7,27,26,9,13,69,33,7,26,28,10,5,12,20,54,8,0,12,0,0,0,11,23,8,78
401857086,2026-07-22,2026,Sparks,28,70,40,9,28,32,17,21,81,37,10,27,20,5,5,18,3,36,3,0,18,0,0,0,17,21,8,4
401857087,2026-07-22,2026,Lynx,31,79,39,9,23,39,15,17,88,36,15,21,23,13,3,11,6,42,11,0,11,0,0,0,10,13,7,52
401857087,2026-07-22,2026,Storm,30,74,41,5,32,16,11,15,73,41,11,30,18,7,7,18,15,48,6,1,19,0,0,0,19,12,7,37
401857088,2026-07-22,2026,Sky,34,71,48,7,21,33,19,21,90,30,4,26,27,8,6,9,14,42,12,1,10,2,2,0,16,20,10,80
401857088,2026-07-22,2026,Liberty,29,71,41,11,28,39,26,28,93,37,10,27,17,1,6,13,7,34,5,0,13,1,1,0,16,16,10,14
401857089,2026-07-22,2026,Aces,34,62,55,5,14,36,26,29,90,24,4,20,18,10,6,8,8,38,9,1,9,0,0,1,8,25,13,71
401857089,2026-07-22,2026,Mystics,35,71,49,7,13,54,23,31,74,34,12,22,24,3,1,13,4,48,6,0,13,0,0,0,12,22,13,24
401857090,2026-07-22,2026,Sun,35,79,44,8,20,40,10,15,67,28,11,17,21,8,4,14,8,50,2,1,15,2,2,1,24,25,1,1
401857090,2026-07-22,2026,Fever,45,73,62,11,22,50,22,27,81,35,8,27,29,7,7,13,11,64,36,2,15,1,1,0,18,18,1,99
401857091,2026-07-22,2026,Wings,35,72,49,12,30,40,19,24,79,35,9,26,28,7,2,13,11,32,12,0,13,0,0,0,22,18,7,69
401857091,2026-07-22,2026,Fire,37,65,57,10,26,38,13,17,76,22,3,19,24,6,2,11,9,48,8,0,11,2,2,1,10,21,7,25
