season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2025,1,regular,2025-08-23T16:00:00.000Z,Kansas State,Iowa State,Aviva Stadium,Big 12,Big 12,401756846
2025,1,regular,2025-08-23T17:00:00.000Z,Nicholls,Incarnate Word,Manning Field at John L. Guidry Stadium,Southland,Southland,401767476
2025,1,regular,2025-08-23T20:00:00.000Z,UNLV,Idaho State,Allegiant Stadium,Mountain West,Big Sky,401760371
2025,1,regular,2025-08-23T20:30:00.000Z,Portland State,Tarleton State,Hillsboro Stadium,Big Sky,UAC,401767126
2025,1,regular,2025-08-23T22:30:00.000Z,Kansas,Fresno State,Memorial Stadium,Big 12,Mountain West,401756847
2025,1,regular,2025-08-23T23:00:00.000Z,Western Kentucky,Sam Houston,Houchens Industries-L.T. Smith Stadium,Conference USA,Conference USA,401757218
2025,1,regular,2025-08-23T23:30:00.000Z,Hawai'i,Stanford,Clarence T.C. Ching Athletics Complex,Mountain West,ACC,401754516
2025,1,regular,2025-08-23T23:30:00.000Z,Southern,North Carolina Central,Center Parc Stadium,SWAC,MEAC,401767410
2025,1,regular,2025-08-28T20:00:00.000Z,Central Washington,Colorado Mesa,Tomlinson Stadium,Lone Star,Rocky Mountain,401773590
2025,1,regular,2025-08-28T21:30:00.000Z,South Florida,Boise State,Raymond James Stadium,American Athletic,Mountain West,401762522
2025,1,regular,2025-08-28T22:00:00.000Z,Ferris State,Pittsburg St,Top Taggart Field,GLIAC,Mid America,401773643
2025,1,regular,2025-08-28T22:00:00.000Z,Michigan Tech,Bemidji State,Sherman Field,GLIAC,Northern Sun,401773470
2025,1,regular,2025-08-28T22:00:00.000Z,Clarion,Wheeling,"Memorial Stadium (Clarion, PA)",Pennsylvania State Athletic,Mountain East,401773703
2025,1,regular,2025-08-28T22:00:00.000Z,Saginaw Valley State,Northeastern State,Harvey Randall Wickes Memorial Stadium,GLIAC,Independent DII,401773488
2025,1,regular,2025-08-28T22:00:00.000Z,Youngstown State,Mercyhurst,Stambaugh Stadium,MVFC,NEC,401767549
2025,1,regular,2025-08-28T22:00:00.000Z,Rutgers,Ohio,SHI Stadium,Big Ten,Mid-American,401752794
2025,1,regular,2025-08-28T22:00:00.000Z,Marian College,Indianapolis,St. Vincent Health Field,,Great Lakes,401773397
2025,1,regular,2025-08-28T22:00:00.000Z,Northern Michigan,Minnesota State Moorhead,Superior Dome,GLIAC,Northern Sun,401773478
2025,1,regular,2025-08-28T22:00:00.000Z,Bowling Green,Lafayette,Doyt L. Perry Stadium,Mid-American,Patriot,401762790
2025,1,regular,2025-08-28T22:00:00.000Z,Indiana State,McKendree,Memorial Stadium,MVFC,Great Lakes,401767446
2025,1,regular,2025-08-28T23:00:00.000Z,Delta State,Central Missouri,Parker Field at McCool Stadium,Gulf South,Mid America,401773514
2025,1,regular,2025-08-28T23:00:00.000Z,NC State,East Carolina,Carter-Finley Stadium,ACC,American Athletic,401754373
2025,1,regular,2025-08-28T23:00:00.000Z,University Of Charleston (WV),Livingstone,University of Charleston Stadium,Mountain East,CIAA,401773093
2025,1,regular,2025-08-28T23:00:00.000Z,Wayne State (NE),Nebraska-Kearney,"Memorial Stadium (Wayne, NE)",Northern Sun,Mid America,401773633
2025,1,regular,2025-08-28T23:00:00.000Z,Delaware,Delaware State,Delaware Stadium,Conference USA,MEAC,401757219
2025,1,regular,2025-08-28T23:00:00.000Z,Norfolk State,Towson,"William Dick"""" Price Stadium""""",MEAC,CAA,401767327
2025,1,regular,2025-08-28T23:00:00.000Z,UL Monroe,St. Francis (PA),Malone Stadium,Sun Belt,NEC,401761588
2025,1,regular,2025-08-28T23:00:00.000Z,UCF,Jacksonville State,FBC Mortgage Stadium,Big 12,Conference USA,401756848
2025,1,regular,2025-08-28T23:00:00.000Z,St. Thomas (MN),Lindenwood,O'Shaughnessy Stadium,Pioneer,Big South-OVC,401767209
2025,1,regular,2025-08-28T23:00:00.000Z,Walsh,West Liberty,Tom Benson Hall of Fame Stadium,Great Midwest Athletic,Mountain East,401773691
2025,1,regular,2025-08-28T23:00:00.000Z,Wilson,Virginia St,Electric Supply Company Field,Carolinas,CIAA,401773065
2025,1,regular,2025-08-28T23:00:00.000Z,Akron,Wyoming,InfoCision Stadium,Mid-American,Mountain West,401762789
2025,1,regular,2025-08-28T23:00:00.000Z,Eastern Illinois,Dayton,O'Brien Stadium,Big South-OVC,Pioneer,401767171
2025,1,regular,2025-08-28T23:00:00.000Z,Seton Hill,Fairmont State,Offutt Field,Pennsylvania State Athletic,Mountain East,401773667
2025,1,regular,2025-08-28T23:00:00.000Z,Minnesota State Mankato,Northwest Missouri St,Blakeslee Stadium,Northern Sun,Mid America,401773639
2025,1,regular,2025-08-28T23:05:00.000Z,East Stroudsburg University,Edinboro University,Eiler-Martin Stadium,Pennsylvania State Athletic,Pennsylvania State Athletic,401773827
2025,1,regular,2025-08-28T23:30:00.000Z,University of Mary,Midland Lutheran College,MDU Resources Community Bowl,Northern Sun,,401777556
2025,1,regular,2025-08-28T23:30:00.000Z,Duke,Elon,Wallace Wade Stadium,ACC,CAA,401754517
2025,1,regular,2025-08-28T23:30:00.000Z,Houston Christian,Little Rock,Husky Stadium,Southland,,401767468
2025,1,regular,2025-08-28T23:30:00.000Z,Oklahoma State,UT Martin,Boone Pickens Stadium,Big 12,Big South-OVC,401756876
2025,1,regular,2025-08-28T23:30:00.000Z,Samford,West Georgia,Seibert Stadium,Southern,UAC,401767298
2025,1,regular,2025-08-28T23:30:00.000Z,Missouri,Central Arkansas,Memorial Stadium,SEC,UAC,401752674
2025,1,regular,2025-08-28T23:30:00.000Z,Quincy,Concordia University St Paul,QU Stadium,Great Lakes,Northern Sun,401773431
2025,1,regular,2025-08-28T23:30:00.000Z,Drake,Upper Iowa University,Drake Stadium,Pioneer,Great Lakes,401767620
