season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2014,1,regular,2014-08-23T19:30:00.000Z,Eastern Washington,Sam Houston,Roos Field,Big Sky,Southland,400548974
2014,1,regular,2014-08-27T23:00:00.000Z,Georgia State,Abilene Christian,Georgia Dome,Sun Belt,Southland,400548403
2014,1,regular,2014-08-28T22:00:00.000Z,South Carolina,Texas A&M,Williams-Brice Stadium,SEC,SEC,400548402
2014,1,regular,2014-08-28T23:00:00.000Z,UL Monroe,Wake Forest,Malone Stadium,Sun Belt,ACC,400547829
2014,1,regular,2014-08-28T23:00:00.000Z,Mercer,Reinhardt University,Five Star Stadium at the Moye Complex,Southern,,400558134
2014,1,regular,2014-08-28T23:00:00.000Z,Northwestern State,Missouri State,Harry Turpin Stadium,Southland,MVFC,400557454
2014,1,regular,2014-08-28T23:00:00.000Z,Northern Illinois,Presbyterian,Huskie Stadium,Mid-American,Big South,400548091
2014,1,regular,2014-08-28T23:00:00.000Z,Akron,Howard,InfoCision Stadium,Mid-American,MEAC,400548090
2014,1,regular,2014-08-28T23:00:00.000Z,Central Michigan,Chattanooga,Kelly/Shorts Stadium,Mid-American,Southern,400548092
2014,1,regular,2014-08-28T23:00:00.000Z,Campbell,Charlotte,Barker-Lane Stadium,Pioneer,FCS Independents,400558114
2014,1,regular,2014-08-28T23:00:00.000Z,Charleston Southern,Point University,Buccaneer Field,Big South,,400557394
2014,1,regular,2014-08-28T23:00:00.000Z,Minnesota,Eastern Illinois,Huntington Bank Stadium,Big Ten,OVC,400547960
2014,1,regular,2014-08-28T23:00:00.000Z,Robert Morris,Eastern Kentucky,Joe Walton Stadium,NEC,OVC,400558474
2014,1,regular,2014-08-28T23:00:00.000Z,Stony Brook,Bryant,Kenneth P. LaValle Stadium,CAA,NEC,400558005
2014,1,regular,2014-08-28T23:30:00.000Z,Southeast Missouri State,St. Louis,Houck Stadium,OVC,,400559171
2014,1,regular,2014-08-28T23:30:00.000Z,Utah,Idaho State,Rice-Eccles Stadium,Pac-12,Big Sky,400548256
2014,1,regular,2014-08-28T23:32:00.000Z,Western Illinois,Valparaiso,Hanson Field,MVFC,Pioneer,400557455
2014,1,regular,2014-08-29T00:00:00.000Z,Ole Miss,Boise State,Georgia Dome,SEC,Mountain West,400548169
2014,1,regular,2014-08-29T00:00:00.000Z,New Mexico State,Cal Poly,Aggie Memorial Stadium,Sun Belt,Big Sky,400548404
2014,1,regular,2014-08-29T00:00:00.000Z,Southern Illinois,Taylor,Saluki Stadium,MVFC,,400577465
2014,1,regular,2014-08-29T00:00:00.000Z,Tennessee Tech,Kentucky Christian,Tucker Stadium,OVC,,400561376
2014,1,regular,2014-08-29T00:00:00.000Z,Murray State,Union College,Roy Stewart Stadium,OVC,,400559170
2014,1,regular,2014-08-29T00:00:00.000Z,Tulsa,Tulane,Chapman Stadium,American Athletic,American Athletic,400547647
2014,1,regular,2014-08-29T02:00:00.000Z,Washington State,Rutgers,Lumen Field,Pac-12,Big Ten,400547993
2014,1,regular,2014-08-29T02:00:00.000Z,San José State,North Dakota,CEFCU Stadium,Mountain West,Big Sky,400553383
2014,1,regular,2014-08-29T02:30:00.000Z,Arizona State,Weber State,Mountain America Stadium,Pac-12,Big Sky,400548255
2014,1,regular,2014-08-29T02:50:00.000Z,Vanderbilt,Temple,FirstBank Stadium,SEC,American Athletic,400547640
2014,1,regular,2014-08-29T23:00:00.000Z,UConn,BYU,Pratt & Whitney Stadium,American Athletic,FBS Independents,400547641
2014,1,regular,2014-08-29T23:30:00.000Z,Syracuse,Villanova,JMA Wireless Dome,ACC,CAA,400547815
2014,1,regular,2014-08-29T23:30:00.000Z,Western Kentucky,Bowling Green,Houchens Industries-L.T. Smith Stadium,Conference USA,Mid-American,400548003
2014,1,regular,2014-08-29T23:30:00.000Z,Michigan State,Jacksonville State,Spartan Stadium,Big Ten,OVC,400547952
2014,1,regular,2014-08-30T01:00:00.000Z,Colorado,Colorado State,Sports Authority Field at Mile High,Pac-12,Mountain West,400548171
2014,1,regular,2014-08-30T01:00:00.000Z,Houston,UTSA,TDECU Stadium,American Athletic,Conference USA,400547644
2014,1,regular,2014-08-30T02:30:00.000Z,Arizona,UNLV,Arizona Stadium,Pac-12,Mountain West,400548177
2014,1,regular,2014-08-30T12:30:00.000Z,UCF,Penn State,Croke Park Stadium,American Athletic,Big Ten,400547642
2014,1,regular,2014-08-30T16:00:00.000Z,UAB,Troy,Legion Field,Conference USA,Sun Belt,400548010
2014,1,regular,2014-08-30T16:00:00.000Z,Georgetown,Wagner,Cooper Field,Patriot,NEC,400558476
2014,1,regular,2014-08-30T16:00:00.000Z,Michigan,App State,Michigan Stadium,Big Ten,Sun Belt,400547943
2014,1,regular,2014-08-30T16:00:00.000Z,Indiana,Indiana State,"Memorial Stadium (Bloomington, IN)",Big Ten,MVFC,400547916
2014,1,regular,2014-08-30T16:00:00.000Z,Purdue,Western Michigan,Ross-Ade Stadium,Big Ten,Mid-American,400547988
2014,1,regular,2014-08-30T16:00:00.000Z,Navy,Ohio State,M&T Bank Stadium,FBS Independents,Big Ten,400547982
2014,1,regular,2014-08-30T16:00:00.000Z,Virginia,UCLA,Scott Stadium,ACC,Pac-12,400547820
2014,1,regular,2014-08-30T16:00:00.000Z,Pittsburgh,Delaware,Acrisure Stadium,ACC,CAA,400547808
2014,1,regular,2014-08-30T16:00:00.000Z,Illinois,Youngstown State,"Memorial Stadium (Champaign, IL)",Big Ten,MVFC,400547904
2014,1,regular,2014-08-30T16:00:00.000Z,Kentucky,UT Martin,Kroger Field,SEC,OVC,400548400
2014,1,regular,2014-08-30T16:00:00.000Z,Iowa State,North Dakota State,Jack Trice Stadium,Big 12,MVFC,400547840
2014,1,regular,2014-08-30T16:00:00.000Z,Iowa,Northern Iowa,Kinnick Stadium,Big Ten,MVFC,400547928
2014,1,regular,2014-08-30T16:30:00.000Z,Georgia Tech,Wofford,Bobby Dodd Stadium,ACC,Southern,400547772
2014,1,regular,2014-08-30T16:30:00.000Z,NC State,Georgia Southern,Carter-Finley Stadium,ACC,Sun Belt,400547802
2014,1,regular,2014-08-30T17:00:00.000Z,Monmouth,Delaware State,Kessler Field,Big South,MEAC,400557395
2014,1,regular,2014-08-30T18:00:00.000Z,Air Force,Nicholls,Falcon Stadium,Mountain West,Southland,400548170
2014,1,regular,2014-08-30T18:00:00.000Z,Ball State,Colgate,Scheumann Stadium,Mid-American,Patriot,400548093
2014,1,regular,2014-08-30T19:00:00.000Z,Nevada,Southern Utah,Mackay Stadium,Mountain West,Big Sky,400548174
2014,1,regular,2014-08-30T19:00:00.000Z,Massachusetts,Boston College,Gillette Stadium,Mid-American,ACC,400547728
2014,1,regular,2014-08-30T19:30:00.000Z,Maryland,James Madison,SECU Stadium,Big Ten,CAA,400547936
2014,1,regular,2014-08-30T19:30:00.000Z,Nebraska,Florida Atlantic,"Memorial Stadium (Lincoln, NE)",Big Ten,Conference USA,400547968
2014,1,regular,2014-08-30T19:30:00.000Z,Miami (OH),Marshall,Yager Stadium,Mid-American,Conference USA,400548005
2014,1,regular,2014-08-30T19:30:00.000Z,Buffalo,Duquesne,UB Stadium,Mid-American,NEC,400548094
2014,1,regular,2014-08-30T19:30:00.000Z,Alabama,West Virginia,Georgia Dome,SEC,Big 12,400547835
2014,1,regular,2014-08-30T19:30:00.000Z,Northwestern,California,Ryan Field,Big Ten,Pac-12,400547975
2014,1,regular,2014-08-30T19:30:00.000Z,Missouri,South Dakota State,Memorial Stadium,SEC,MVFC,400548401
2014,1,regular,2014-08-30T19:30:00.000Z,Notre Dame,Rice,Notre Dame Stadium,FBS Independents,Conference USA,400548008
2014,1,regular,2014-08-30T19:30:00.000Z,Old Dominion,Hampton,S.B. Ballard Stadium,Conference USA,MEAC,400548007
2014,1,regular,2014-08-30T20:00:00.000Z,Oregon State,Portland State,Reser Stadium,Pac-12,Big Sky,400548258
2014,1,regular,2014-08-30T20:00:00.000Z,Stanford,UC Davis,Stanford Stadium,Pac-12,Big Sky,400548259
2014,1,regular,2014-08-30T20:00:00.000Z,Virginia Tech,William & Mary,Lane Stadium,ACC,CAA,400547825
2014,1,regular,2014-08-30T20:00:00.000Z,Wyoming,Montana,War Memorial Stadium,Mountain West,Big Sky,400548179
2014,1,regular,2014-08-30T20:00:00.000Z,Auburn,Arkansas,Jordan-Hare Stadium,SEC,SEC,400548398
2014,1,regular,2014-08-30T21:00:00.000Z,Alcorn State,Virginia University Of Lynchburg,Jack Spinks Stadium,SWAC,,400558675
2014,1,regular,2014-08-30T21:00:00.000Z,Benedict College,South Carolina State,Oliver C. Dawson Stadium,SIAC,MEAC,400558902
2014,1,regular,2014-08-30T21:00:00.000Z,Mississippi Valley State,St. Petersburg,Rice-Totten Field,SWAC,,400558843
2014,1,regular,2014-08-30T21:30:00.000Z,Georgia,Clemson,Sanford Stadium,SEC,ACC,400547740
2014,1,regular,2014-08-30T22:00:00.000Z,Eastern Michigan,Morgan State,Rynearson Stadium,Mid-American,MEAC,400548095
2014,1,regular,2014-08-30T22:00:00.000Z,Bucknell,VMI,Christy Mathewson-Memorial Stadium,Patriot,Southern,400558135
2014,1,regular,2014-08-30T22:00:00.000Z,Sacred Heart,Marist,Campus Field,NEC,Pioneer,400558477
2014,1,regular,2014-08-30T22:00:00.000Z,Kent State,Ohio,Dix Stadium,Mid-American,Mid-American,400548097
2014,1,regular,2014-08-30T22:00:00.000Z,Duke,Elon,Wallace Wade Stadium,ACC,CAA,400547751
2014,1,regular,2014-08-30T22:00:00.000Z,UAlbany,Holy Cross,Bob Ford Field,CAA,Patriot,400558009
2014,1,regular,2014-08-30T22:00:00.000Z,Fordham,St. Francis (PA),Coffey Field,Patriot,NEC,400558475
2014,1,regular,2014-08-30T22:00:00.000Z,Maine,Norfolk State,Alfond Stadium,CAA,MEAC,400558007
2014,1,regular,2014-08-30T22:00:00.000Z,North Carolina,Liberty,Kenan Stadium,ACC,Big South,400547795
2014,1,regular,2014-08-30T22:00:00.000Z,Towson,Central Connecticut,Johnny Unitas Stadium,CAA,NEC,400558008
2014,1,regular,2014-08-30T22:00:00.000Z,Richmond,Morehead State,E. Claiborne Robins Stadium,CAA,Pioneer,400558006
2014,1,regular,2014-08-30T22:00:00.000Z,The Citadel,Coastal Carolina,Johnson Hagood Stadium,Southern,Big South,400557396
2014,1,regular,2014-08-30T23:00:00.000Z,Drake,Des Moines,Drake Stadium,Pioneer,,400559274
2014,1,regular,2014-08-30T23:00:00.000Z,Oklahoma,Louisiana Tech,"Memorial Stadium (Norman, OK)",Big 12,Conference USA,400547834
2014,1,regular,2014-08-30T23:00:00.000Z,Tennessee State,Edward Waters,Nissan Stadium,OVC,SIAC,400559172
