season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2023,1,regular,2023-08-26T18:30:00.000Z,Notre Dame,Navy,Aviva Stadium,FBS Independents,American Athletic,401525434
2023,1,regular,2023-08-26T19:30:00.000Z,Mercer,North Alabama,Cramton Bowl,Southern,UAC,401540199
2023,1,regular,2023-08-26T21:30:00.000Z,Jacksonville State,UTEP,AmFirst Stadium,Conference USA,Conference USA,401520145
2023,1,regular,2023-08-26T23:00:00.000Z,New Mexico State,Massachusetts,Aggie Memorial Stadium,Conference USA,FBS Independents,401525450
2023,1,regular,2023-08-26T23:00:00.000Z,UAlbany,Fordham,Bob Ford Field,CAA,Patriot,401540628
2023,1,regular,2023-08-26T23:00:00.000Z,San Diego State,Ohio,Snapdragon Stadium,Mountain West,Mid-American,401532392
2023,1,regular,2023-08-26T23:30:00.000Z,Jackson State,South Carolina State,Center Parc Stadium,SWAC,MEAC,401539999
2023,1,regular,2023-08-26T23:30:00.000Z,Vanderbilt,Hawai'i,FirstBank Stadium,SEC,Mountain West,401520147
2023,1,regular,2023-08-27T00:00:00.000Z,USC,San José State,Los Angeles Memorial Coliseum,Pac-12,Mountain West,401523986
2023,1,regular,2023-08-27T01:00:00.000Z,Louisiana Tech,Florida International,Joe Aillet Stadium,Conference USA,Conference USA,401520146
2023,1,regular,2023-08-31T04:00:00.000Z,Hiram College,Heidelberg,Charles A. Henry Field,North Coast,Ohio,401550265
2023,1,regular,2023-08-31T04:00:00.000Z,Lamar,Idaho,Provost Umphrey Stadium,Southland,Big Sky,401540244
2023,1,regular,2023-08-31T04:00:00.000Z,Kennesaw State,Greeneville,Fifth Third Stadium,FCS Independents,South Atlantic,401540607
2023,1,regular,2023-08-31T04:00:00.000Z,Morehead State,West Virginia State,Jayne Stadium,Pioneer,Mountain East,401540527
2023,1,regular,2023-08-31T04:00:00.000Z,East Texas A&M,UC Davis,Memorial Stadium (Commerce TX),Southland,Big Sky,401540288
2023,1,regular,2023-08-31T04:00:00.000Z,New Haven,Frostburg State,Ralph F. DellaCamera Stadium,Northeast 10,Mountain East,401545743
2023,1,regular,2023-08-31T18:00:00.000Z,Northwood (MI),Glenville State,Hantz Stadium,Great Midwest Athletic,Mountain East,401553950
2023,1,regular,2023-08-31T22:00:00.000Z,Keiser University,Mississippi College,Keiser Multi-Purpose Field,,Gulf South,401549697
2023,1,regular,2023-08-31T22:00:00.000Z,Rowan,Stevenson,Richard Wackar Stadium,New Jersey,Mid Atlantic,401550193
2023,1,regular,2023-08-31T22:00:00.000Z,Saginaw Valley State,Winona State,Harvey Randall Wickes Memorial Stadium,GLIAC,Northern Sun,401540802
