season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2021,1,regular,2021-08-28T17:20:00.000Z,Illinois,Nebraska,"Memorial Stadium (Champaign, IL)",Big Ten,Big Ten,401282714
2021,1,regular,2021-08-28T18:00:00.000Z,Fresno State,UConn,Valley Children's Stadium,Mountain West,FBS Independents,401286187
2021,1,regular,2021-08-28T19:00:00.000Z,Central State (OH),Kentucky State,Ohio Stadium,SIAC,SIAC,401329133
2021,1,regular,2021-08-28T19:30:00.000Z,UCLA,Hawai'i,Rose Bowl,Pac-12,Mountain West,401309833
2021,1,regular,2021-08-28T22:00:00.000Z,Indiana State,Eastern Illinois,Memorial Stadium,MVFC,OVC,401328337
2021,1,regular,2021-08-28T23:00:00.000Z,North Carolina Central,Alcorn State,Center Parc Stadium,MEAC,SWAC,401327539
2021,1,regular,2021-08-29T01:30:00.000Z,New Mexico State,UTEP,Aggie Memorial Stadium,FBS Independents,Conference USA,401282049
2021,1,regular,2021-08-29T02:00:00.000Z,San José State,Southern Utah,CEFCU Stadium,Mountain West,Big Sky,401310693
2021,1,regular,2021-09-01T23:30:00.000Z,Jacksonville State,UAB,Cramton Bowl,AWC,Conference USA,401282050
2021,1,regular,2021-09-02T22:00:00.000Z,Stony Brook,New Hampshire,Kenneth P. LaValle Stadium,CAA,CAA,401328204
2021,1,regular,2021-09-02T22:00:00.000Z,Wayne State (MI),Slippery Rock,Tom Adams Field,GLIAC,Pennsylvania State Athletic,401328989
2021,1,regular,2021-09-02T22:00:00.000Z,Wingate,Shaw,Irwin Belk Stadium,South Atlantic,CIAA,401328215
2021,1,regular,2021-09-02T23:00:00.000Z,Carson-Newman College,West Georgia,Burke-Tarr Stadium,South Atlantic,Gulf South,401329056
2021,1,regular,2021-09-02T23:00:00.000Z,Upper Iowa University,Minnesota Duluth,Harms-Eischeid Stadium,Northern Sun,Northern Sun,401329689
2021,1,regular,2021-09-02T23:00:00.000Z,Mars Hill,Chowan,Meares Stadium,South Atlantic,CIAA,401329651
2021,1,regular,2021-09-02T23:00:00.000Z,Sioux Falls,Bemidji State,Bob Young Field,Northern Sun,Northern Sun,401329503
2021,1,regular,2021-09-02T23:00:00.000Z,Minnesota State Mankato,Northern State,Blakeslee Stadium,Northern Sun,Northern Sun,401329491
2021,1,regular,2021-09-02T23:00:00.000Z,Lincoln (MO),Washburn,Dwight T. Reed Stadium,Mid America,Mid America,401329443
2021,1,regular,2021-09-02T23:00:00.000Z,Millersville,American International,Chryst Field at Biemesderfer Stadium,Pennsylvania State Athletic,Northeast 10,401329425
2021,1,regular,2021-09-02T23:00:00.000Z,Ohio Dominican,Shepherd,Panther Stadium (OH),Great Midwest Athletic,Pennsylvania State Athletic,401329357
2021,1,regular,2021-09-02T23:00:00.000Z,Seton Hill,Wheeling,Offutt Field,Pennsylvania State Athletic,Mountain East,401329270
2021,1,regular,2021-09-02T23:00:00.000Z,Mississippi College,Albany State GA,Robinson-Hale Stadium,Gulf South,SIAC,401329020
2021,1,regular,2021-09-02T23:00:00.000Z,Delta State,Bethel University Tennessee,Parker Field at McCool Stadium,Gulf South,,401329015
2021,1,regular,2021-09-02T23:00:00.000Z,Northwood (MI),Gannon,Hantz Stadium,GLIAC,Pennsylvania State Athletic,401328973
2021,1,regular,2021-09-02T23:00:00.000Z,Lindenwood,Angelo State,Hunter Stadium,Great Lakes,Lone Star,401328605
2021,1,regular,2021-09-02T23:00:00.000Z,Ouachita Baptist,Oklahoma Baptist,Cliff Harris Stadium,Great American,Great American,401328466
2021,1,regular,2021-09-02T23:00:00.000Z,Northwestern Oklahoma State,Southern Arkansas,Ranger Field,Great American,Great American,401328432
2021,1,regular,2021-09-02T23:00:00.000Z,Southwestern Oklahoma State,Henderson State,Milam Stadium,Great American,Great American,401328397
2021,1,regular,2021-09-02T23:00:00.000Z,Kentucky Wesleyan,Frostburg State,Steele Stadium,Great Midwest Athletic,Mountain East,401334756
2021,1,regular,2021-09-02T23:00:00.000Z,Arkansas-Monticello,Southern Nazarene,Convoy Leslie Cotton Boll Stadium,Great American,Great American,401328309
2021,1,regular,2021-09-02T23:00:00.000Z,Arkansas Tech,Southeastern Oklahoma State,Thone Stadium at Buerkle Field,Great American,Great American,401328276
2021,1,regular,2021-09-02T23:00:00.000Z,Buffalo,Wagner,UB Stadium,Mid-American,NEC,401309542
2021,1,regular,2021-09-02T23:00:00.000Z,Coastal Carolina,The Citadel,Brooks Stadium (SC),Sun Belt,Southern,401328545
2021,1,regular,2021-09-02T23:00:00.000Z,Wayne State (NE),University of Mary,"Memorial Stadium (Wayne, NE)",Northern Sun,Northern Sun,401334786
2021,1,regular,2021-09-02T23:00:00.000Z,Fairmont State,PennWest California,Duvall-Rosier Field,Mountain East,Pennsylvania State Athletic,401334787
2021,1,regular,2021-09-02T23:00:00.000Z,West Liberty,Walsh,West Family Stadium,Mountain East,Great Midwest Athletic,401337471
2021,1,regular,2021-09-02T23:00:00.000Z,UCF,Boise State,FBC Mortgage Stadium,American Athletic,Mountain West,401300995
2021,1,regular,2021-09-02T23:00:00.000Z,Ball State,Western Illinois,Scheumann Stadium,Mid-American,MVFC,401309540
2021,1,regular,2021-09-02T23:00:00.000Z,Maine,Delaware,Alfond Stadium,CAA,CAA,401328175
2021,1,regular,2021-09-02T23:00:00.000Z,Youngstown State,Incarnate Word,Stambaugh Stadium,MVFC,Southland,401328388
2021,1,regular,2021-09-02T23:00:00.000Z,Samford,Tennessee Tech,Seibert Stadium,Southern,OVC,401328458
2021,1,regular,2021-09-02T23:00:00.000Z,Drake,West Virginia Wesleyan,Drake Stadium,Pioneer,Mountain East,401332315
2021,1,regular,2021-09-02T23:00:00.000Z,Mercer,Point University,Five Star Stadium at the Moye Complex,Southern,,401357797
2021,1,regular,2021-09-02T23:05:00.000Z,East Stroudsburg University,Pace,Eiler-Martin Stadium,Pennsylvania State Athletic,Northeast 10,401329660
2021,1,regular,2021-09-02T23:30:00.000Z,Southeast Missouri State,Southern Illinois,Houck Field,OVC,MVFC,401328383
2021,1,regular,2021-09-02T23:30:00.000Z,Chattanooga,Austin Peay,Finley Stadium,Southern,OVC,401328404
2021,1,regular,2021-09-02T23:30:00.000Z,Tulsa,UC Davis,Chapman Stadium,American Athletic,Big Sky,401300994
2021,1,regular,2021-09-02T23:30:00.000Z,Ferris State,Findlay,Top Taggart Field,GLIAC,Great Midwest Athletic,401328768
