season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2010,1,regular,2010-09-02T22:30:00.000Z,Wake Forest,Presbyterian,Allegacy Federal Credit Union Stadium,ACC,Big South,302450154
2010,1,regular,2010-09-02T23:00:00.000Z,Kent State,Murray State,Dix Stadium,Mid-American,OVC,302452309
2010,1,regular,2010-09-02T23:00:00.000Z,Ball State,Southeast Missouri State,Scheumann Stadium,Mid-American,OVC,302452050
2010,1,regular,2010-09-02T23:00:00.000Z,Western Illinois,Valparaiso,Hanson Field,MVFC,Pioneer,302452710
2010,1,regular,2010-09-02T23:00:00.000Z,Central Michigan,Hampton,Kelly/Shorts Stadium,Mid-American,MEAC,302452117
2010,1,regular,2010-09-02T23:00:00.000Z,North Carolina Central,Johnson C Smith,O'Kelly-Riddick Stadium,MEAC,,302452428
2010,1,regular,2010-09-02T23:00:00.000Z,Buffalo,Rhode Island,UB Stadium,Mid-American,CAA,302452084
2010,1,regular,2010-09-02T23:00:00.000Z,Maine,UAlbany,Alfond Stadium,CAA,NEC,302450311
2010,1,regular,2010-09-02T23:00:00.000Z,Delaware,West Chester,Delaware Stadium,CAA,,302450048
2010,1,regular,2010-09-02T23:30:00.000Z,Georgia State,Shorter,Georgia Dome,FCS Independents,,302452247
2010,1,regular,2010-09-02T23:30:00.000Z,Illinois State,Central Missouri,Hancock Stadium,MVFC,,302452287
2010,1,regular,2010-09-02T23:30:00.000Z,Middle Tennessee,Minnesota,"Johnny ""Red"" Floyd Stadium",Sun Belt,Big Ten,302452393
2010,1,regular,2010-09-02T23:30:00.000Z,South Carolina,Southern Miss,Williams-Brice Stadium,SEC,Conference USA,302452579
2010,1,regular,2010-09-02T23:30:00.000Z,Ohio State,Marshall,Ohio Stadium,Big Ten,Conference USA,302450194
2010,1,regular,2010-09-02T23:30:00.000Z,Rutgers,Norfolk State,High Point Solutions Stadium,Big East,MEAC,302450164
2010,1,regular,2010-09-02T23:30:00.000Z,Indiana,Towson,"Memorial Stadium (Bloomington, IN)",Big Ten,CAA,302450084
2010,1,regular,2010-09-02T23:30:00.000Z,Miami,Florida A&M,Hard Rock Stadium,ACC,MEAC,302452390
2010,1,regular,2010-09-03T00:00:00.000Z,Central Arkansas,Elizabeth City State,Estes Stadium,Southland,,302452110
2010,1,regular,2010-09-03T00:00:00.000Z,Tulane,SE Louisiana,Caesars Superdome,Conference USA,Southland,302452655
2010,1,regular,2010-09-03T00:00:00.000Z,UAB,Florida Atlantic,Legion Field,Conference USA,Sun Belt,302450005
2010,1,regular,2010-09-03T00:00:00.000Z,Iowa State,Northern Illinois,Jack Trice Stadium,Big 12,Mid-American,302450066
2010,1,regular,2010-09-03T00:00:00.000Z,Southern Illinois,Quincy,Saluki Stadium,MVFC,,302450079
2010,1,regular,2010-09-03T00:30:00.000Z,Utah,Pittsburgh,Rice-Eccles Stadium,Mountain West,Big East,302450254
2010,1,regular,2010-09-03T01:00:00.000Z,Idaho,North Dakota,Kibbie Dome,Western Athletic,Great West,302450070
2010,1,regular,2010-09-03T01:05:00.000Z,Nevada,Eastern Washington,Mackay Stadium,Western Athletic,Big Sky,302452440
2010,1,regular,2010-09-03T02:00:00.000Z,Northern Arizona,Western New Mexico,Walkup Skydome,Big Sky,,302452464
2010,1,regular,2010-09-03T03:00:00.000Z,Hawai'i,USC,Aloha Stadium,Western Athletic,Pac-10,302450062
2010,1,regular,2010-09-03T18:00:00.000Z,Missouri State,Eastern Kentucky,Plaster Sports Complex,MVFC,OVC,302462623
2010,1,regular,2010-09-03T21:00:00.000Z,Temple,Villanova,Lincoln Financial Field,Mid-American,CAA,302460218
2010,1,regular,2010-09-03T23:00:00.000Z,Marist,Sacred Heart,Leonidoff Field,Pioneer,NEC,302462368
2010,1,regular,2010-09-04T00:00:00.000Z,Toledo,Arizona,Glass Bowl,Mid-American,Pac-10,302462649
2010,1,regular,2010-09-04T16:00:00.000Z,New Hampshire,Central Connecticut,Wildcat Stadium,CAA,NEC,302470160
2010,1,regular,2010-09-04T16:00:00.000Z,Florida,Miami (OH),Ben Hill Griffin Stadium,SEC,Mid-American,302470057
2010,1,regular,2010-09-04T16:00:00.000Z,Michigan State,Western Michigan,Spartan Stadium,Big Ten,Mid-American,302470127
2010,1,regular,2010-09-04T16:00:00.000Z,Florida State,Samford,Doak Campbell Stadium,ACC,Southern,302470052
2010,1,regular,2010-09-04T16:00:00.000Z,Penn State,Youngstown State,Beaver Stadium,Big Ten,MVFC,302470213
2010,1,regular,2010-09-04T16:00:00.000Z,Liberty,St. Francis (PA),,Big South,NEC,302472335
2010,1,regular,2010-09-04T16:05:00.000Z,Iowa,Eastern Illinois,Kinnick Stadium,Big Ten,OVC,302472294
2010,1,regular,2010-09-04T16:21:00.000Z,Georgia,Louisiana,Sanford Stadium,SEC,Sun Belt,302470061
2010,1,regular,2010-09-04T16:30:00.000Z,Missouri,Illinois,,Big 12,Big Ten,302470142
2010,1,regular,2010-09-04T17:00:00.000Z,Holy Cross,Howard,Fitton Field,Patriot,MEAC,302470107
2010,1,regular,2010-09-04T17:00:00.000Z,The Citadel,Chowan,Johnson Hagood Stadium,Southern,,302472643
2010,1,regular,2010-09-04T17:00:00.000Z,Georgia Tech,South Carolina State,Bobby Dodd Stadium,ACC,MEAC,302470059
2010,1,regular,2010-09-04T17:00:00.000Z,Boston College,Weber State,"Alumni Stadium (Chestnut Hill, MA)",ACC,Big Sky,302470103
2010,1,regular,2010-09-04T17:00:00.000Z,Dayton,Robert Morris,Welcome Stadium,Pioneer,NEC,302472168
2010,1,regular,2010-09-04T17:00:00.000Z,Albion,Butler,,,Pioneer,302472790
2010,1,regular,2010-09-04T17:30:00.000Z,Charleston Southern,North Greenville,Buccaneer Field,Big South,,302472127
2010,1,regular,2010-09-04T17:30:00.000Z,VMI,Lock Haven University,Alumni Memorial Field,Big South,,302472678
2010,1,regular,2010-09-04T18:00:00.000Z,Air Force,Northwestern State,Falcon Stadium,Mountain West,Southland,302472005
2010,1,regular,2010-09-04T18:00:00.000Z,Colorado State,Colorado,,Mountain West,Big 12,302470036
2010,1,regular,2010-09-04T19:00:00.000Z,Montana State,Fort Lewis,Bobcat Stadium,Big Sky,,302470147
2010,1,regular,2010-09-04T19:00:00.000Z,Montana,Western Colorado,Washington-Grizzly Stadium,Big Sky,,302470149
2010,1,regular,2010-09-04T19:00:00.000Z,Bryant,Fordham,Bulldog Stadium,NEC,Patriot,302472803
2010,1,regular,2010-09-04T19:00:00.000Z,Chattanooga,App State,Finley Stadium,Southern,Southern,302470236
2010,1,regular,2010-09-04T19:30:00.000Z,Clemson,North Texas,"Memorial Stadium (Clemson, SC)",ACC,Sun Belt,302470228
2010,1,regular,2010-09-04T19:30:00.000Z,Rice,Texas,,Conference USA,Big 12,302470242
2010,1,regular,2010-09-04T19:30:00.000Z,Ole Miss,Jacksonville State,Vaught-Hemingway Stadium,SEC,OVC,302470145
2010,1,regular,2010-09-04T19:30:00.000Z,Kansas State,UCLA,Bill Snyder Family Stadium,Big 12,Pac-10,302472306
2010,1,regular,2010-09-04T19:30:00.000Z,West Virginia,Coastal Carolina,Milan Puskar Stadium,Big East,Big South,302470277
2010,1,regular,2010-09-04T19:30:00.000Z,Louisville,Kentucky,L&N Federal Credit Union Stadium,Big East,SEC,302470097
2010,1,regular,2010-09-04T19:30:00.000Z,Oregon,New Mexico,Autzen Stadium,Pac-10,Mountain West,302472483
2010,1,regular,2010-09-04T19:30:00.000Z,Massachusetts,William & Mary,,CAA,CAA,302470113
2010,1,regular,2010-09-04T19:30:00.000Z,Michigan,UConn,Michigan Stadium,Big Ten,Big East,302470130
2010,1,regular,2010-09-04T19:30:00.000Z,Notre Dame,Purdue,Notre Dame Stadium,FBS Independents,Big Ten,302470087
2010,1,regular,2010-09-04T19:35:00.000Z,Northern Colorado,Adams State,Nottingham Field,Big Sky,,302472458
2010,1,regular,2010-09-04T20:00:00.000Z,California,UC Davis,California Memorial Stadium,Pac-10,Great West,302470025
2010,1,regular,2010-09-04T20:00:00.000Z,Bethune-Cookman,Edward Waters,Municipal Stadium,MEAC,,302472065
2010,1,regular,2010-09-04T21:00:00.000Z,Alcorn State,Langston University,Jack Spinks Stadium,SWAC,,302472016
2010,1,regular,2010-09-04T21:00:00.000Z,Jackson State,Delta State,Mississippi Veterans Memorial Stadium,SWAC,,302472296
2010,1,regular,2010-09-04T21:35:00.000Z,Idaho State,Montana-Western,Holt Arena,Big Sky,,302470304
2010,1,regular,2010-09-04T22:00:00.000Z,Tennessee,UT Martin,Neyland Stadium,SEC,OVC,302472633
2010,1,regular,2010-09-04T22:00:00.000Z,Duquesne,Bucknell,Arthur J. Rooney Athletic Field,NEC,Patriot,302472184
2010,1,regular,2010-09-04T22:00:00.000Z,Davidson,Georgetown,Richardson Stadium,Pioneer,Patriot,302472166
2010,1,regular,2010-09-04T22:00:00.000Z,Virginia,Richmond,Scott Stadium,ACC,CAA,302470258
2010,1,regular,2010-09-04T22:00:00.000Z,UCF,South Dakota,FBC Mortgage Stadium,Conference USA,Great West,302472116
2010,1,regular,2010-09-04T22:00:00.000Z,James Madison,Morehead State,Bridgeforth Stadium,CAA,Pioneer,302470256
2010,1,regular,2010-09-04T22:00:00.000Z,Gardner-Webb,Brevard College,Ernest W. Spangler Stadium,Big South,,302472241
2010,1,regular,2010-09-04T22:00:00.000Z,UVA Wise,Campbell,,,Pioneer,302472842
2010,1,regular,2010-09-04T22:00:00.000Z,NC State,Western Carolina,Carter-Finley Stadium,ACC,Southern,302470152
2010,1,regular,2010-09-04T22:00:00.000Z,Old Dominion,Jacksonville,S.B. Ballard Stadium,FCS Independents,Pioneer,302470295
2010,1,regular,2010-09-04T22:00:00.000Z,North Carolina A&T,Winston-Salem,Aggie Stadium,MEAC,CIAA,302472448
