season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2024,1,regular,2024-08-24T04:00:00.000Z,Lincoln (CA),College of Idaho,,Independent DII,,401693677
2024,1,regular,2024-08-24T16:00:00.000Z,Georgia Tech,Florida State,Aviva Stadium,ACC,ACC,401635525
2024,1,regular,2024-08-24T19:30:00.000Z,Tarleton State,McNeese,"Memorial Stadium (Stephenville, TX)",UAC,Southland,401654665
2024,1,regular,2024-08-24T20:00:00.000Z,New Mexico,Montana State,University Stadium (NM),Mountain West,Big Sky,401643697
2024,1,regular,2024-08-24T23:00:00.000Z,Southeast Missouri State,North Alabama,Cramton Bowl,Big South-OVC,UAC,401654662
2024,1,regular,2024-08-24T23:30:00.000Z,Norfolk State,Florida A&M,Center Parc Stadium,MEAC,SWAC,401636372
2024,1,regular,2024-08-25T00:00:00.000Z,Nevada,SMU,Mackay Stadium,Mountain West,ACC,401643696
2024,1,regular,2024-08-25T03:59:00.000Z,Hawai'i,Delaware State,Clarence T.C. Ching Athletics Complex,Mountain West,MEAC,401643858
2024,1,regular,2024-08-29T04:00:00.000Z,Sul Ross State,West Texas A&M,Jackson Field,Lone Star,Lone Star,401675545
2024,1,regular,2024-08-29T22:00:00.000Z,Morehead State,Central State (OH),Jayne Stadium,Pioneer,SIAC,401673041
2024,1,regular,2024-08-29T22:00:00.000Z,Villanova,Youngstown State,Villanova Stadium,CAA,MVFC,401628580
2024,1,regular,2024-08-29T22:00:00.000Z,Rutgers,Howard,SHI Stadium,Big Ten,MEAC,401628458
2024,1,regular,2024-08-29T22:00:00.000Z,Carson-Newman College,Reinhardt University,Burke-Tarr Stadium,South Atlantic,,401673370
2024,1,regular,2024-08-29T22:00:00.000Z,Northern Michigan,Minnesota Duluth,Superior Dome,GLIAC,Northern Sun,401674318
2024,1,regular,2024-08-29T23:00:00.000Z,Wayne State (NE),Missouri S&T,"Memorial Stadium (Wayne, NE)",Northern Sun,Great Lakes,401674525
2024,1,regular,2024-08-29T23:00:00.000Z,Bemidji State,Michigan Tech,Chet Anderson Stadium,Northern Sun,GLIAC,401674307
2024,1,regular,2024-08-29T23:00:00.000Z,Minot State,Valley City State,Herb Parker Stadium,Northern Sun,,401674221
2024,1,regular,2024-08-29T23:00:00.000Z,UCF,New Hampshire,FBC Mortgage Stadium,Big 12,CAA,401628582
2024,1,regular,2024-08-29T23:00:00.000Z,Wake Forest,North Carolina A&T,Allegacy Federal Credit Union Stadium,ACC,CAA,401628581
2024,1,regular,2024-08-29T23:00:00.000Z,Northwest Missouri St,Minnesota State Mankato,Bearcat Stadium,Mid America,Northern Sun,401674184
2024,1,regular,2024-08-29T23:00:00.000Z,NC State,Western Carolina,Carter-Finley Stadium,ACC,Southern,401634299
2024,1,regular,2024-08-29T23:00:00.000Z,Millersville,Clarion,Chryst Field at Biemesderfer Stadium,Pennsylvania State Athletic,Pennsylvania State Athletic,401676074
2024,1,regular,2024-08-29T23:00:00.000Z,Mars Hill,Delta State,Meares Stadium,South Atlantic,Gulf South,401675476
2024,1,regular,2024-08-29T23:00:00.000Z,UL Monroe,Jackson State,Malone Stadium,Sun Belt,SWAC,401636387
2024,1,regular,2024-08-29T23:00:00.000Z,Gardner-Webb,Wofford,Ernest W. Spangler Stadium,Big South-OVC,Southern,401634152
2024,1,regular,2024-08-29T23:00:00.000Z,Delaware,Bryant,Delaware Stadium,CAA,CAA,401628579
2024,1,regular,2024-08-29T23:00:00.000Z,University of Mary,Jamestown College,MDU Resources Community Bowl,Northern Sun,,401675822
2024,1,regular,2024-08-29T23:00:00.000Z,Wheeling,Mercyhurst,Bishop Schmitt Field,Mountain East,NEC,401674305
2024,1,regular,2024-08-29T23:00:00.000Z,Fairmont State,Seton Hill,Duvall-Rosier Field,Mountain East,Pennsylvania State Athletic,401674274
2024,1,regular,2024-08-29T23:00:00.000Z,West Liberty,Walsh,West Family Stadium,Mountain East,Great Midwest Athletic,401674295
2024,1,regular,2024-08-29T23:00:00.000Z,Northeastern State,Missouri Western,Gable Field at Doc Wadley Stadium,Independent DII,Mid America,401674174
2024,1,regular,2024-08-29T23:00:00.000Z,Mercer,Presbyterian,Five Star Stadium at the Moye Complex,Southern,Pioneer,401634143
2024,1,regular,2024-08-29T23:00:00.000Z,Buffalo,Lafayette,UB Stadium,Mid-American,Patriot,401644727
2024,1,regular,2024-08-29T23:00:00.000Z,William & Mary,VMI,Zable Stadium,CAA,Southern,401628592
2024,1,regular,2024-08-29T23:00:00.000Z,Central Michigan,Central Connecticut,Kelly/Shorts Stadium,Mid-American,NEC,401644730
2024,1,regular,2024-08-29T23:00:00.000Z,Edinboro University,East Stroudsburg University,Sox Harrison Stadium,Pennsylvania State Athletic,Pennsylvania State Athletic,401674363
2024,1,regular,2024-08-29T23:00:00.000Z,Bowling Green,Fordham,Doyt L. Perry Stadium,Mid-American,Patriot,401644729
2024,1,regular,2024-08-29T23:30:00.000Z,Drake,Quincy,Drake Stadium,Pioneer,Great Lakes,401655664
2024,1,regular,2024-08-29T23:30:00.000Z,Toledo,Duquesne,Glass Bowl,Mid-American,NEC,401644728
2024,1,regular,2024-08-29T23:30:00.000Z,Arkansas,Arkansas-Pine Bluff,War Memorial Stadium (AR),SEC,SWAC,401628320
2024,1,regular,2024-08-30T00:00:00.000Z,Kansas,Lindenwood,Children's Mercy Park,Big 12,Big South-OVC,401636606
2024,1,regular,2024-08-30T00:00:00.000Z,Missouri,Murray State,Memorial Stadium,SEC,MVFC,401628327
2024,1,regular,2024-08-30T00:00:00.000Z,Texas A&M-Kingsville,Colorado Mesa,Javelina Stadium,Lone Star,Rocky Mountain,401673279
2024,1,regular,2024-08-30T00:00:00.000Z,Colorado,North Dakota State,Folsom Field,Big 12,MVFC,401634206
2024,1,regular,2024-08-30T00:00:00.000Z,New Mexico Highlands,Eastern New Mexico,Sanchez Family Stadium,Rocky Mountain,Lone Star,401673257
2024,1,regular,2024-08-30T00:00:00.000Z,Jacksonville State,Coastal Carolina,AmFirst Stadium,Conference USA,Sun Belt,401640998
2024,1,regular,2024-08-30T00:00:00.000Z,UAB,Alcorn State,Protective Stadium,American Athletic,SWAC,401645316
2024,1,regular,2024-08-30T00:00:00.000Z,St. Thomas (MN),Sioux Falls,O'Shaughnessy Stadium,Pioneer,Northern Sun,401655860
2024,1,regular,2024-08-30T00:00:00.000Z,Stephen F. Austin,North American University,Homer Bryce Stadium,Southland,,401675114
2024,1,regular,2024-08-30T00:00:00.000Z,Tulane,SE Louisiana,Yulman Stadium,American Athletic,Southland,401645317
2024,1,regular,2024-08-30T00:00:00.000Z,Tulsa,Northwestern State,Chapman Stadium,American Athletic,Southland,401645318
2024,1,regular,2024-08-30T00:00:00.000Z,Minnesota,North Carolina,Huntington Bank Stadium,Big Ten,ACC,401628448
2024,1,regular,2024-08-30T00:00:00.000Z,Fort Hays State,Angelo State,Lewis Field Stadium,Mid America,Lone Star,401674159
2024,1,regular,2024-08-30T00:00:00.000Z,South Dakota,Northern State,DakotaDome,MVFC,Northern Sun,401654562
2024,1,regular,2024-08-30T00:00:00.000Z,Midwestern State,Missouri Southern State,"Memorial Stadium (Wichita Falls, TX)",Lone Star,Mid America,401675538
2024,1,regular,2024-08-30T00:00:00.000Z,South Dakota Mines,CSU Pueblo,O'Harra Stadium,Rocky Mountain,Rocky Mountain,401673254
2024,1,regular,2024-08-30T00:00:00.000Z,Chadron St,Nebraska-Kearney,Elliott Field at Don Beebe Stadium,Rocky Mountain,Mid America,401673282
2024,1,regular,2024-08-30T00:00:00.000Z,Emporia State University,Washburn,Francis G. Welch Stadium,Mid America,Mid America,401674150
2024,1,regular,2024-08-30T01:00:00.000Z,Illinois,Eastern Illinois,"Memorial Stadium (Champaign, IL)",Big Ten,Big South-OVC,401654845
2024,1,regular,2024-08-30T01:00:00.000Z,Eastern Washington,Monmouth,Roos Field,Big Sky,CAA,401628583
2024,1,regular,2024-08-30T01:00:00.000Z,Utah,Southern Utah,Rice-Eccles Stadium,Big 12,UAC,401636607
2024,1,regular,2024-08-30T02:00:00.000Z,San José State,Sacramento State,CEFCU Stadium,Mountain West,Big Sky,401643698
2024,1,regular,2024-08-30T22:00:00.000Z,Army,Lehigh,Michie Stadium,American Athletic,Patriot,401645319
2024,1,regular,2024-08-30T23:00:00.000Z,Maine,Colgate,Alfond Stadium,CAA,Patriot,401656600
2024,1,regular,2024-08-30T23:00:00.000Z,Oklahoma,Temple,"Memorial Stadium (Norman, OK)",SEC,American Athletic,401628328
2024,1,regular,2024-08-30T23:00:00.000Z,Michigan State,Florida Atlantic,Spartan Stadium,Big Ten,American Athletic,401628453
2024,1,regular,2024-08-30T23:30:00.000Z,Duke,Elon,Wallace Wade Stadium,ACC,CAA,401628584
2024,1,regular,2024-08-31T01:00:00.000Z,Wisconsin,Western Michigan,Camp Randall Stadium,Big Ten,Mid-American,401628461
2024,1,regular,2024-08-31T02:30:00.000Z,Stanford,TCU,Stanford Stadium,ACC,Big 12,401634300
2024,1,regular,2024-08-31T04:00:00.000Z,Utah State,Robert Morris,Maverik Stadium,Mountain West,NEC,401643703
2024,1,regular,2024-08-31T16:00:00.000Z,Dayton,St. Francis (PA),Welcome Stadium,Pioneer,NEC,401654646
2024,1,regular,2024-08-31T16:00:00.000Z,Wagner,Virginia University Of Lynchburg,Wagner College Stadium,NEC,,401654657
2024,1,regular,2024-08-31T16:00:00.000Z,Pittsburgh,Kent State,Acrisure Stadium,ACC,Mid-American,401634305
2024,1,regular,2024-08-31T16:00:00.000Z,Navy,Bucknell,Navy-Marine Corps Memorial Stadium,American Athletic,Patriot,401645322
2024,1,regular,2024-08-31T16:00:00.000Z,Vanderbilt,Virginia Tech,FirstBank Stadium,SEC,ACC,401628333
2024,1,regular,2024-08-31T16:00:00.000Z,Georgia,Clemson,Mercedes-Benz Stadium,SEC,ACC,401628323
