season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2018,1,regular,2018-08-25T21:30:00.000Z,Massachusetts,Duquesne,Warren McGuirk Alumni Stadium,FBS Independents,NEC,401013357
2018,1,regular,2018-08-25T23:00:00.000Z,Jacksonville State,North Carolina A&T,Cramton Bowl,OVC,MEAC,401030241
2018,1,regular,2018-08-25T23:00:00.000Z,Rice,Prairie View A&M,Rice Stadium,Conference USA,SWAC,401014972
2018,1,regular,2018-08-25T23:30:00.000Z,Colorado State,Hawai'i,Canvas Stadium,Mountain West,Mountain West,401022510
2018,1,regular,2018-08-26T02:00:00.000Z,New Mexico State,Wyoming,Aggie Memorial Stadium,FBS Independents,Mountain West,401013437
2018,1,regular,2018-08-30T22:00:00.000Z,Wagner,Bowie State,Wagner College Stadium,NEC,CIAA,401030567
2018,1,regular,2018-08-30T23:00:00.000Z,Maine,New Hampshire,Alfond Stadium,CAA,CAA,401029921
2018,1,regular,2018-08-30T23:00:00.000Z,Delaware,Rhode Island,Delaware Stadium,CAA,CAA,401029895
2018,1,regular,2018-08-30T23:00:00.000Z,Georgia State,Kennesaw State,Center Parc Stadium,Sun Belt,Big South,401021651
2018,1,regular,2018-08-30T23:00:00.000Z,Indiana State,Quincy,Memorial Stadium,MVFC,Great Lakes,401030097
2018,1,regular,2018-08-30T23:00:00.000Z,Murray State,Southern Illinois,Roy Stewart Stadium,OVC,MVFC,401030159
2018,1,regular,2018-08-30T23:00:00.000Z,Eastern Kentucky,Morehead State,Roy Kidd Stadium,OVC,Pioneer,401030234
2018,1,regular,2018-08-30T23:00:00.000Z,Campbell,Chowan,Barker-Lane Stadium,Big South,CIAA,401029968
2018,1,regular,2018-08-30T23:00:00.000Z,Chattanooga,Tennessee Tech,Finley Stadium,Southern,OVC,401030248
2018,1,regular,2018-08-30T23:00:00.000Z,UConn,UCF,Pratt & Whitney Stadium,American Athletic,American Athletic,401019470
2018,1,regular,2018-08-30T23:00:00.000Z,Ball State,Central Connecticut,Scheumann Stadium,Mid-American,NEC,401020671
2018,1,regular,2018-08-30T23:00:00.000Z,Minnesota,New Mexico State,Huntington Bank Stadium,Big Ten,FBS Independents,401013328
2018,1,regular,2018-08-30T23:30:00.000Z,Samford,Shorter,Seibert Stadium,Southern,Gulf South,401030318
2018,1,regular,2018-08-30T23:30:00.000Z,North Dakota,Mississippi Valley State,Alerus Center,FCS Independents,SWAC,401030402
2018,1,regular,2018-08-31T00:00:00.000Z,UAB,Savannah St,Legion Field,Conference USA,MEAC,401014979
2018,1,regular,2018-08-31T00:00:00.000Z,UL Monroe,SE Louisiana,Malone Stadium,Sun Belt,Southland,401021655
2018,1,regular,2018-08-31T00:00:00.000Z,Utah,Weber State,Rice-Eccles Stadium,Pac-12,Big Sky,401012675
2018,1,regular,2018-08-31T00:00:00.000Z,Tulane,Wake Forest,Yulman Stadium,American Athletic,ACC,401013086
2018,1,regular,2018-08-31T00:00:00.000Z,Oklahoma State,Missouri State,Boone Pickens Stadium,Big 12,MVFC,401013489
2018,1,regular,2018-08-31T00:00:00.000Z,Purdue,Northwestern,Ross-Ade Stadium,Big Ten,Big Ten,401013342
2018,1,regular,2018-08-31T00:30:00.000Z,Texas A&M,Northwestern State,Kyle Field,SEC,Southland,401012258
2018,1,regular,2018-08-31T01:00:00.000Z,Montana State,Western Illinois,Bobcat Stadium,Big Sky,MVFC,401030172
2018,1,regular,2018-08-31T02:00:00.000Z,San José State,UC Davis,CEFCU Stadium,Mountain West,Big Sky,401022511
2018,1,regular,2018-08-31T22:00:00.000Z,Western Michigan,Syracuse,Waldo Stadium,Mid-American,ACC,401020673
2018,1,regular,2018-08-31T22:30:00.000Z,Eastern Michigan,Monmouth,Rynearson Stadium,Mid-American,Big South,401020672
2018,1,regular,2018-08-31T23:00:00.000Z,Michigan State,Utah State,Spartan Stadium,Big Ten,Mountain West,401012880
2018,1,regular,2018-08-31T23:00:00.000Z,Duke,Army,Wallace Wade Stadium,ACC,FBS Independents,401013089
2018,1,regular,2018-09-01T00:35:00.000Z,Idaho State,Western Colorado,Holt Arena,Big Sky,Rocky Mountain,401030323
2018,1,regular,2018-09-01T01:00:00.000Z,Wisconsin,Western Kentucky,Camp Randall Stadium,Big Ten,Conference USA,401013354
2018,1,regular,2018-09-01T01:00:00.000Z,Stanford,San Diego State,Stanford Stadium,Pac-12,Mountain West,401022512
