season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2011,1,regular,2011-09-01T22:00:00.000Z,Louisville,Murray State,L&N Federal Credit Union Stadium,Big East,OVC,312440097
2011,1,regular,2011-09-01T23:00:00.000Z,Toledo,New Hampshire,Glass Bowl,Mid-American,CAA,312442649
2011,1,regular,2011-09-01T23:00:00.000Z,Florida International,North Texas,FIU Stadium,Sun Belt,Sun Belt,312442229
2011,1,regular,2011-09-01T23:00:00.000Z,Morehead State,Kentucky Christian,Jayne Stadium,Pioneer,,312442413
2011,1,regular,2011-09-01T23:00:00.000Z,Central Michigan,South Carolina State,Kelly/Shorts Stadium,Mid-American,MEAC,312442117
2011,1,regular,2011-09-01T23:00:00.000Z,Temple,Villanova,Lincoln Financial Field,Mid-American,CAA,312440218
2011,1,regular,2011-09-01T23:00:00.000Z,Jacksonville State,UT Martin,AmFirst Stadium,OVC,OVC,312440055
2011,1,regular,2011-09-01T23:00:00.000Z,Northwestern State,Delta State,Harry Turpin Stadium,Southland,,312442466
2011,1,regular,2011-09-01T23:00:00.000Z,Sam Houston,Western Illinois,Elliott T. Bowers Stadium,Southland,MVFC,312442534
2011,1,regular,2011-09-01T23:00:00.000Z,Stephen F. Austin,McMurry,Homer Bryce Stadium,Southland,,312442617
2011,1,regular,2011-09-01T23:30:00.000Z,Nicholls,Evangel University,Manning Field at John L. Guidry Stadium,Southland,,312442447
2011,1,regular,2011-09-01T23:30:00.000Z,Eastern Illinois,Illinois State,O'Brien Stadium,OVC,MVFC,312442197
2011,1,regular,2011-09-01T23:30:00.000Z,Rutgers,North Carolina Central,High Point Solutions Stadium,Big East,MEAC,312440164
2011,1,regular,2011-09-01T23:30:00.000Z,Georgia Tech,Western Carolina,Bobby Dodd Stadium,ACC,Southern,312440059
2011,1,regular,2011-09-02T00:00:00.000Z,North Dakota,Drake,Alerus Center,Great West,Pioneer,312440155
2011,1,regular,2011-09-02T00:00:00.000Z,Utah,Montana State,Rice-Eccles Stadium,Pac-12,Big Sky,312440254
2011,1,regular,2011-09-02T00:00:00.000Z,Central Arkansas,Henderson State,Estes Stadium,Southland,,312442110
