season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2020,1,regular,2020-08-30T01:00:00.000Z,Central Arkansas,Austin Peay,Cramton Bowl,Southland,OVC,401218616
2020,1,regular,2020-09-04T00:00:00.000Z,UAB,Central Arkansas,Legion Field,Conference USA,Southland,401238035
2020,1,regular,2020-09-04T01:00:00.000Z,Southern Miss,South Alabama,M. M. Roberts Stadium,Conference USA,Sun Belt,401207101
2020,1,regular,2020-09-05T17:00:00.000Z,Marshall,Eastern Kentucky,Joan C. Edwards Stadium,Conference USA,OVC,401237353
2020,1,regular,2020-09-05T17:30:00.000Z,Army,Middle Tennessee,Michie Stadium,FBS Independents,Conference USA,401235700
2020,1,regular,2020-09-05T20:30:00.000Z,Texas State,SMU,Bobcat Stadium (TX),Sun Belt,American Athletic,401212484
2020,1,regular,2020-09-05T23:30:00.000Z,North Texas,Houston Christian,DATCU Stadium,Conference USA,Southland,401207098
2020,1,regular,2020-09-06T00:00:00.000Z,Memphis,Arkansas State,Simmons Bank Liberty Stadium,American Athletic,Sun Belt,401212553
2020,1,regular,2020-09-06T01:00:00.000Z,UTEP,Stephen F. Austin,Sun Bowl,Conference USA,Southland,401239884
2020,1,regular,2020-09-08T00:00:00.000Z,Navy,BYU,Navy-Marine Corps Memorial Stadium,American Athletic,FBS Independents,401234576
2020,2,regular,2020-09-11T00:00:00.000Z,Miami,UAB,Hard Rock Stadium,ACC,Conference USA,401234559
2020,2,regular,2020-09-12T16:00:00.000Z,App State,Charlotte,Kidd Brewer Stadium,Sun Belt,Conference USA,401236081
2020,2,regular,2020-09-12T16:00:00.000Z,Iowa State,Louisiana,Jack Trice Stadium,Big 12,Sun Belt,401236221
2020,2,regular,2020-09-12T16:00:00.000Z,North Carolina,Syracuse,Kenan Stadium,ACC,ACC,401234565
2020,2,regular,2020-09-12T16:00:00.000Z,Kansas State,Arkansas State,Bill Snyder Family Stadium,Big 12,Sun Belt,401236053
2020,2,regular,2020-09-12T16:00:00.000Z,West Virginia,Eastern Kentucky,Milan Puskar Stadium,Big 12,OVC,401236038
2020,2,regular,2020-09-12T17:30:00.000Z,Army,UL Monroe,Michie Stadium,FBS Independents,Sun Belt,401240113
2020,2,regular,2020-09-12T18:30:00.000Z,Notre Dame,Duke,Notre Dame Stadium,FBS Independents,ACC,401234574
2020,2,regular,2020-09-12T19:30:00.000Z,Texas State,UTSA,Bobcat Stadium (TX),Sun Belt,Conference USA,401207113
2020,2,regular,2020-09-12T20:00:00.000Z,Florida State,Georgia Tech,Doak Campbell Stadium,ACC,ACC,401234563
2020,2,regular,2020-09-12T20:00:00.000Z,Pittsburgh,Austin Peay,Acrisure Stadium,ACC,OVC,401240233
2020,2,regular,2020-09-12T20:14:00.000Z,Georgia Southern,Campbell,Allen E. Paulson Stadium,Sun Belt,Big South,401215298
2020,2,regular,2020-09-12T23:00:00.000Z,Oklahoma,Missouri State,"Memorial Stadium (Norman, OK)",Big 12,MVFC,401236054
2020,2,regular,2020-09-12T23:00:00.000Z,South Florida,The Citadel,Raymond James Stadium,American Athletic,Southern,401240039
2020,2,regular,2020-09-12T23:30:00.000Z,Wake Forest,Clemson,Allegacy Federal Credit Union Stadium,ACC,ACC,401234562
2020,2,regular,2020-09-12T23:30:00.000Z,South Alabama,Tulane,Hancock Whitney Stadium,Sun Belt,American Athletic,401239973
2020,2,regular,2020-09-13T00:00:00.000Z,Louisville,Western Kentucky,L&N Federal Credit Union Stadium,ACC,Conference USA,401234564
2020,2,regular,2020-09-13T00:00:00.000Z,Texas Tech,Houston Christian,Jones AT&T Stadium,Big 12,Southland,401236039
2020,2,regular,2020-09-13T00:00:00.000Z,Texas,UTEP,DKR-Texas Memorial Stadium,Big 12,Conference USA,401236222
2020,2,regular,2020-09-13T02:00:00.000Z,Kansas,Coastal Carolina,Memorial Stadium,Big 12,Sun Belt,401236658
