season,week,season_type,start_date,home_team,away_team,venue,home_conference,away_conference,game_id
2019,1,regular,2019-08-24T16:00:00.000Z,Colgate,Villanova,Andy Kerr Stadium,Patriot,CAA,401128622
2019,1,regular,2019-08-24T19:00:00.000Z,Samford,Youngstown State,Cramton Bowl,Southern,MVFC,401127303
2019,1,regular,2019-08-24T23:00:00.000Z,Florida,Miami,Camping World Stadium,SEC,ACC,401110723
2019,1,regular,2019-08-25T02:30:00.000Z,Hawai'i,Arizona,Aloha Stadium,Mountain West,Pac-12,401114164
2019,1,regular,2019-08-29T22:00:00.000Z,Morehead State,Union College,Jayne Stadium,Pioneer,,401128597
2019,1,regular,2019-08-29T23:00:00.000Z,Eastern Kentucky,Valparaiso,Roy Kidd Stadium,OVC,Pioneer,401128354
2019,1,regular,2019-08-29T23:00:00.000Z,Buffalo,Robert Morris,UB Stadium,Mid-American,NEC,401119255
2019,1,regular,2019-08-29T23:00:00.000Z,UConn,Wagner,Pratt & Whitney Stadium,American Athletic,NEC,401117855
2019,1,regular,2019-08-29T23:00:00.000Z,Bowling Green,Morgan State,Doyt L. Perry Stadium,Mid-American,MEAC,401119254
2019,1,regular,2019-08-29T23:00:00.000Z,Cincinnati,UCLA,Nippert Stadium,American Athletic,Pac-12,401117854
2019,1,regular,2019-08-29T23:00:00.000Z,Delaware,Delaware State,Delaware Stadium,CAA,MEAC,401127039
2019,1,regular,2019-08-29T23:00:00.000Z,Richmond,Jacksonville,E. Claiborne Robins Stadium,CAA,Pioneer,401127042
2019,1,regular,2019-08-29T23:00:00.000Z,Stony Brook,Bryant,Kenneth P. LaValle Stadium,CAA,NEC,401127043
2019,1,regular,2019-08-29T23:00:00.000Z,Murray State,Pikeville,Roy Stewart Stadium,OVC,,401128370
2019,1,regular,2019-08-29T23:00:00.000Z,Chattanooga,Eastern Illinois,Finley Stadium,Southern,OVC,401128490
2019,1,regular,2019-08-29T23:30:00.000Z,Southeast Missouri State,Southern Illinois,Houck Stadium,OVC,MVFC,401127297
2019,1,regular,2019-08-29T23:30:00.000Z,UCF,Florida A&M,FBC Mortgage Stadium,American Athletic,MEAC,401117853
2019,1,regular,2019-08-29T23:30:00.000Z,UT Martin,Northwestern State,Graham Stadium,OVC,Southland,401128724
2019,1,regular,2019-08-29T23:30:00.000Z,Western Kentucky,Central Arkansas,Houchens Industries-L.T. Smith Stadium,Conference USA,Southland,401114246
2019,1,regular,2019-08-29T23:30:00.000Z,Charlotte,Gardner-Webb,Jerry Richardson Stadium,Conference USA,Big South,401135910
2019,1,regular,2019-08-30T00:00:00.000Z,UAB,Alabama State,Legion Field,Conference USA,SWAC,401114237
2019,1,regular,2019-08-30T00:00:00.000Z,SE Louisiana,Jacksonville State,Strawberry Stadium,Southland,OVC,401128362
2019,1,regular,2019-08-30T00:00:00.000Z,Lamar,Bethel University Tennessee,Provost Umphrey Stadium,Southland,,401128709
2019,1,regular,2019-08-30T00:00:00.000Z,Tulane,Florida International,Yulman Stadium,American Athletic,Conference USA,401114236
2019,1,regular,2019-08-30T00:00:00.000Z,Clemson,Georgia Tech,"Memorial Stadium (Clemson, SC)",ACC,ACC,401111653
2019,1,regular,2019-08-30T00:00:00.000Z,North Alabama,Western Illinois,Braly Municipal Stadium,Big South,MVFC,401127029
2019,1,regular,2019-08-30T00:00:00.000Z,Austin Peay,North Carolina Central,Governors Stadium,OVC,MEAC,401127240
2019,1,regular,2019-08-30T00:30:00.000Z,Texas A&M,Texas State,Kyle Field,SEC,Sun Belt,401110731
2019,1,regular,2019-08-30T00:50:00.000Z,Central Michigan,UAlbany,Kelly/Shorts Stadium,Mid-American,CAA,401119253
2019,1,regular,2019-08-30T01:00:00.000Z,Northern Arizona,Missouri State,Walkup Skydome,Big Sky,MVFC,401126954
2019,1,regular,2019-08-30T01:00:00.000Z,Minnesota,South Dakota State,Huntington Bank Stadium,Big Ten,MVFC,401112229
2019,1,regular,2019-08-30T02:00:00.000Z,San José State,Northern Colorado,CEFCU Stadium,Mountain West,Big Sky,401117493
2019,1,regular,2019-08-30T02:00:00.000Z,Arizona State,Kent State,Mountain America Stadium,Pac-12,Mid-American,401114153
2019,1,regular,2019-08-30T02:15:00.000Z,BYU,Utah,LaVell Edwards Stadium,FBS Independents,Pac-12,401114223
2019,1,regular,2019-08-30T22:00:00.000Z,Maine,Sacred Heart,Alfond Stadium,CAA,NEC,401127040
2019,1,regular,2019-08-30T22:00:00.000Z,Army,Rice,Michie Stadium,FBS Independents,Conference USA,401114238
2019,1,regular,2019-08-30T23:00:00.000Z,Michigan State,Tulsa,Spartan Stadium,Big Ten,American Athletic,401112212
2019,1,regular,2019-08-30T23:15:00.000Z,Rutgers,Massachusetts,High Point Solutions Stadium,Big Ten,FBS Independents,401112264
2019,1,regular,2019-08-30T23:55:00.000Z,South Florida,Wisconsin,Raymond James Stadium,American Athletic,Big Ten,401117856
2019,1,regular,2019-08-31T00:00:00.000Z,Wake Forest,Utah State,Allegacy Federal Credit Union Stadium,ACC,Mountain West,401112430
2019,1,regular,2019-08-31T01:30:00.000Z,Nevada,Purdue,Mackay Stadium,Mountain West,Big Ten,401112262
2019,1,regular,2019-08-31T02:00:00.000Z,Colorado,Colorado State,Sports Authority Field at Mile High,Pac-12,Mountain West,401114184
2019,1,regular,2019-08-31T02:30:00.000Z,Oregon State,Oklahoma State,Reser Stadium,Pac-12,Big 12,401112122
2019,1,regular,2019-08-31T16:00:00.000Z,Ohio State,Florida Atlantic,Ohio Stadium,Big Ten,Conference USA,401112251
2019,1,regular,2019-08-31T16:00:00.000Z,Kansas,Indiana State,Memorial Stadium,Big 12,MVFC,401112096
2019,1,regular,2019-08-31T16:00:00.000Z,Florida State,Boise State,Doak Campbell Stadium,ACC,Mountain West,401112431
2019,1,regular,2019-08-31T16:00:00.000Z,NC State,East Carolina,Carter-Finley Stadium,ACC,American Athletic,401112432
2019,1,regular,2019-08-31T16:00:00.000Z,Ball State,Indiana,Lucas Oil Stadium,Mid-American,Big Ten,401112157
2019,1,regular,2019-08-31T16:00:00.000Z,Maryland,Howard,SECU Stadium,Big Ten,MEAC,401112201
2019,1,regular,2019-08-31T16:00:00.000Z,Nebraska,South Alabama,"Memorial Stadium (Lincoln, NE)",Big Ten,Sun Belt,401112238
2019,1,regular,2019-08-31T16:00:00.000Z,Illinois,Akron,"Memorial Stadium (Champaign, IL)",Big Ten,Mid-American,401112145
2019,1,regular,2019-08-31T16:00:00.000Z,Louisiana,Mississippi State,Caesars Superdome,Sun Belt,SEC,401110727
2019,1,regular,2019-08-31T16:00:00.000Z,Kentucky,Toledo,Kroger Field,SEC,Mid-American,401110724
2019,1,regular,2019-08-31T16:00:00.000Z,Iowa State,Northern Iowa,Jack Trice Stadium,Big 12,MVFC,401112085
2019,1,regular,2019-08-31T16:00:00.000Z,Memphis,Ole Miss,Simmons Bank Liberty Stadium,American Athletic,SEC,401110726
2019,1,regular,2019-08-31T16:30:00.000Z,Lehigh,St. Francis (PA),Goodman Stadium,Patriot,NEC,401128648
2019,1,regular,2019-08-31T17:00:00.000Z,Davidson,Georgetown,Richardson Stadium,Pioneer,Patriot,401128564
2019,1,regular,2019-08-31T17:00:00.000Z,Furman,Charleston Southern,Paladin Stadium,Southern,Big South,401126996
2019,1,regular,2019-08-31T18:00:00.000Z,Ohio,Rhode Island,Peden Stadium,Mid-American,CAA,401119259
2019,1,regular,2019-08-31T18:00:00.000Z,West Virginia,James Madison,Milan Puskar Stadium,Big 12,CAA,401112143
2019,1,regular,2019-08-31T19:00:00.000Z,Merrimack,Virginia University Of Lynchburg,Duane Stadium,FCS Independents,,401136278
2019,1,regular,2019-08-31T19:00:00.000Z,Temple,Bucknell,Lincoln Financial Field,American Athletic,Patriot,401117859
2019,1,regular,2019-08-31T19:00:00.000Z,The Citadel,Towson,Johnson Hagood Stadium,Southern,CAA,401127044
2019,1,regular,2019-08-31T19:00:00.000Z,South Dakota,Montana,DakotaDome,MVFC,Big Sky,401126937
2019,1,regular,2019-08-31T19:00:00.000Z,Washington,Eastern Washington,Husky Stadium,Pac-12,Big Sky,401114233
2019,1,regular,2019-08-31T19:30:00.000Z,Air Force,Colgate,Falcon Stadium,Mountain West,Patriot,401117494
2019,1,regular,2019-08-31T19:30:00.000Z,North Carolina,South Carolina,Bank of America Stadium,ACC,SEC,401110729
2019,1,regular,2019-08-31T19:30:00.000Z,Penn State,Idaho,Beaver Stadium,Big Ten,Big Sky,401112257
2019,1,regular,2019-08-31T19:30:00.000Z,Navy,Holy Cross,Navy-Marine Corps Memorial Stadium,American Athletic,Patriot,401117857
2019,1,regular,2019-08-31T19:30:00.000Z,Coastal Carolina,Eastern Michigan,Brooks Stadium (SC),Sun Belt,Mid-American,401119256
2019,1,regular,2019-08-31T19:30:00.000Z,App State,East Tennessee State,Kidd Brewer Stadium,Sun Belt,Southern,401121934
2019,1,regular,2019-08-31T19:30:00.000Z,Alabama,Duke,Mercedes-Benz Stadium,SEC,ACC,401110720
2019,1,regular,2019-08-31T19:30:00.000Z,Tennessee,Georgia State,Neyland Stadium,SEC,Sun Belt,401110730
2019,1,regular,2019-08-31T20:00:00.000Z,Boston College,Virginia Tech,"Alumni Stadium (Chestnut Hill, MA)",ACC,ACC,401112435
2019,1,regular,2019-08-31T20:00:00.000Z,Stanford,Northwestern,Stanford Stadium,Pac-12,Big Ten,401112245
2019,1,regular,2019-08-31T20:00:00.000Z,Texas Tech,Montana State,Jones AT&T Stadium,Big 12,Big Sky,401112139
2019,1,regular,2019-08-31T20:00:00.000Z,North Dakota State,Butler,Target Field,MVFC,Pioneer,401127277
2019,1,regular,2019-08-31T20:00:00.000Z,Arkansas,Portland State,Razorback Stadium,SEC,Big Sky,401110721
2019,1,regular,2019-08-31T21:00:00.000Z,North Dakota,Drake,Alerus Center,FCS Independents,Pioneer,401127201
2019,1,regular,2019-08-31T21:00:00.000Z,Cal Poly,San Diego,Alex G. Spanos Stadium,Big Sky,Pioneer,401126901
2019,1,regular,2019-08-31T22:00:00.000Z,UTSA,Incarnate Word,Alamodome,Conference USA,Southland,401114245
2019,1,regular,2019-08-31T22:00:00.000Z,Fordham,Central Connecticut,Coffey Field,Patriot,NEC,401130355
2019,1,regular,2019-08-31T22:00:00.000Z,Western Carolina,Mercer,E. J. Whitmire Stadium,Southern,Southern,401128520
2019,1,regular,2019-08-31T22:00:00.000Z,South Carolina State,Wofford,Oliver C. Dawson Stadium,MEAC,Southern,401127245
2019,1,regular,2019-08-31T22:00:00.000Z,William & Mary,Lafayette,Zable Stadium,CAA,Patriot,401127045
2019,1,regular,2019-08-31T22:00:00.000Z,North Carolina A&T,Elon,Aggie Stadium,MEAC,CAA,401127041
2019,1,regular,2019-08-31T22:00:00.000Z,Kennesaw State,Point University,Fifth Third Stadium,Big South,,401128942
