season,week,home_team,home_id,home_conference,home_points,home_pregame_elo,home_postgame_elo,away_team,away_id,away_conference,away_points,away_pregame_elo,away_postgame_elo,conference_game,margin
2012,10,Ohio,195,Mid-American,45,1484.0,1525.0,Eastern Michigan,2199,Mid-American,14,1119.0,1078.0,1,31
2012,10,Miami,2390,ACC,30,1510.0,1563.0,Virginia Tech,259,ACC,12,1636.0,1583.0,1,18
2012,10,Western Kentucky,98,Sun Belt,29,1509.0,1484.0,Middle Tennessee,2393,Sun Belt,34,1293.0,1318.0,1,-5
2012,10,California,25,Pac-12,13,1526.0,1498.0,Washington,264,Pac-12,21,1381.0,1409.0,1,-8
2012,10,Florida,57,SEC,14,1895.0,1888.0,Missouri,142,SEC,7,1584.0,1591.0,1,7
2012,10,Iowa State,66,Big 12,20,1595.0,1593.0,Oklahoma,201,Big 12,35,1952.0,1954.0,1,-15
2012,10,Louisville,97,Big East,45,1613.0,1667.0,Temple,218,Big East,17,1451.0,1397.0,1,28
2012,10,Murray State,93,OVC,49,,,Tennessee State,2634,OVC,28,,,1,21
2012,10,Delaware,48,CAA,27,,,Towson,119,CAA,34,,,1,-7
2012,10,New Hampshire,160,CAA,28,,,William & Mary,2729,CAA,25,,,1,3
2012,10,Butler,2086,Pioneer,19,,,Jacksonville,294,Pioneer,16,,,1,3
2012,10,Tennessee,2633,SEC,55,1570.0,1568.0,Troy,2653,Sun Belt,48,1348.0,1350.0,0,7
2012,10,Cincinnati,2132,Big East,35,1709.0,1716.0,Syracuse,183,Big East,24,1534.0,1527.0,1,11
2012,10,Buffalo,2084,Mid-American,27,1186.0,1187.0,Miami (OH),193,Mid-American,24,1191.0,1190.0,1,3
2012,10,Army,349,FBS Independents,41,1223.0,1310.0,Air Force,2005,Mountain West,21,1571.0,1484.0,0,20
2012,10,East Carolina,151,Conference USA,48,1333.0,1399.0,Houston,248,Conference USA,28,1508.0,1442.0,1,20
2012,10,Minnesota,135,Big Ten,13,1395.0,1385.0,Michigan,130,Big Ten,35,1843.0,1853.0,1,-22
2012,10,Kentucky,96,SEC,0,1269.0,1186.0,Vanderbilt,238,SEC,40,1538.0,1621.0,1,-40
2012,10,Mississippi State,344,SEC,13,1714.0,1676.0,Texas A&M,245,SEC,38,1959.0,1997.0,1,-25
2012,10,Arkansas,8,SEC,19,1637.0,1640.0,Tulsa,202,Conference USA,15,1625.0,1622.0,0,4
2012,10,Maryland,120,ACC,13,1444.0,1401.0,Georgia Tech,59,ACC,33,1507.0,1550.0,1,-20
2012,10,Auburn,2,SEC,42,1387.0,1443.0,New Mexico State,166,Western Athletic,7,1054.0,998.0,0,35
2012,10,NC State,152,ACC,6,1602.0,1485.0,Virginia,258,ACC,33,1290.0,1407.0,1,-27
2012,10,Holy Cross,107,Patriot,35,,,Lehigh,2329,Patriot,36,,,1,-1
2012,10,Cornell,172,Ivy,28,,,Dartmouth,159,Ivy,44,,,1,-16
2012,10,Brown,225,Ivy,20,,,Yale,43,Ivy,0,,,1,20
2012,10,Central Michigan,2117,Mid-American,31,1216.0,1212.0,Western Michigan,2711,Mid-American,42,1438.0,1442.0,1,-11
2012,10,UAlbany,399,NEC,0,,,Wagner,2681,NEC,30,,,1,-30
2012,10,Bryant,2803,NEC,34,,,Sacred Heart,2529,NEC,14,,,1,20
2012,10,Howard,47,MEAC,20,,,Hampton,2261,MEAC,10,,,1,10
2012,10,Morgan State,2415,MEAC,13,,,Bethune-Cookman,2065,MEAC,24,,,1,-11
2012,10,UT Martin,2630,OVC,49,,,Jacksonville State,55,OVC,47,,,1,2
2012,10,Bucknell,2083,Patriot,27,,,Fordham,2230,Patriot,24,,,1,3
2012,10,Campbell,2097,Pioneer,21,,,Valparaiso,2674,Pioneer,41,,,1,-20
2012,10,Dayton,2168,Pioneer,28,,,Drake,2181,Pioneer,13,,,1,15
