Player,2022 Salary,2022 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Jewell Loyd  J Loyd,"$228,094",Core,36,36,30.3,16.3,5.6,14.1,39.6%,3.3,8.1,40.3%,2.3,6.1,38.5%,2.8,3.1,89.3%,0.6,2.1,2.6,3.4,2.2,1.1,0.2,1.8
Rhyne Howard  R Howard,"$72,141",Rookie,34,34,31.3,16.2,5.4,15.0,36.1%,2.9,7.7,37.9%,2.5,7.3,34.3%,2.9,3.7,79.2%,0.8,3.7,4.5,2.8,1.6,1.6,0.8,2.6
Jackie Young  J Young,"$72,141",--,34,34,33.2,15.9,5.6,11.8,47.6%,4.1,8.4,49.5%,1.5,3.4,43.1%,3.2,3.8,85.9%,1.3,3.1,4.4,3.9,1.3,1.4,0.2,2.4
Kahleah Copper  K Copper,"$200,000",Core,31,31,28.8,15.7,5.7,11.8,48.1%,4.5,8.5,52.8%,1.2,3.3,35.6%,3.2,4.2,77.5%,1.0,4.6,5.7,2.3,2.0,0.5,0.0,2.4
Natasha Howard  N Howard,"$221,450",Core,35,35,29.9,15.1,5.9,12.2,48.2%,5.0,9.6,52.5%,0.9,2.6,32.6%,2.5,3.5,71.5%,2.0,5.3,7.3,2.3,3.2,1.3,1.0,3.1
Tiffany Hayes  T Hayes,"$215,000",UFA,12,11,25.2,14.8,5.5,10.1,54.5%,4.0,6.6,60.8%,1.5,3.5,42.9%,2.3,3.4,68.3%,0.3,3.1,3.3,1.9,1.8,0.7,0.1,2.8
Tina Charles  T Charles,"$56,673",UFA,34,26,28.9,14.8,5.8,12.7,45.7%,4.7,9.5,49.2%,1.1,3.2,35.5%,2.0,2.4,82.7%,1.5,5.8,7.3,2.0,2.1,0.7,0.7,2.8
Tina Charles  T Charles,"$34,285",UFA,34,26,28.9,14.8,5.8,12.7,45.7%,4.7,9.5,49.2%,1.1,3.2,35.5%,2.0,2.4,82.7%,1.5,5.8,7.3,2.0,2.1,0.7,0.7,2.8
Ariel Atkins  A Atkins,"$170,000",--,36,36,30.0,14.6,5.1,12.2,42.0%,3.2,6.9,46.4%,1.9,5.3,36.5%,2.4,2.9,84.5%,0.9,2.3,3.3,2.3,1.4,1.3,0.3,2.8
Jonquel Jones  J Jones,"$205,000",Core,33,32,26.4,14.6,5.3,10.4,51.3%,4.1,7.0,58.2%,1.2,3.4,36.9%,2.7,3.4,80.2%,2.6,6.0,8.6,1.8,2.6,1.1,1.2,2.7
