Player,2023 Salary,2023 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Jewell Loyd  J Loyd,"$234,936",Core,38,38,35.4,24.7,7.5,20.3,37.0%,4.5,11.8,38.0%,3.0,8.5,35.6%,6.7,7.5,88.8%,1.1,3.6,4.7,3.4,2.8,1.0,0.4,1.7
Breanna Stewart  B Stewart,"$180,000",UFA,40,40,34.1,23.0,7.9,17.0,46.5%,5.9,11.2,52.1%,2.1,5.8,35.5%,5.1,6.0,85.1%,1.6,7.7,9.3,3.8,1.5,1.5,1.6,1.9
A'ja Wilson  A Wilson,"$202,154",RFA,40,40,30.7,22.8,8.4,15.0,55.7%,8.2,14.3,57.0%,0.2,0.7,31.0%,5.8,7.2,81.2%,2.1,7.5,9.5,1.6,1.6,1.4,2.2,2.1
Napheesa Collier  N Collier,"$202,154",--,37,37,33.5,21.5,8.0,16.6,48.5%,7.1,13.5,52.7%,0.9,3.1,29.8%,4.5,5.4,84.0%,1.9,6.6,8.5,2.5,2.4,1.6,1.2,2.4
Arike Ogunbowale  A Ogunbowale,"$234,936",--,40,40,37.2,21.2,7.5,18.8,39.8%,4.6,10.3,44.3%,2.9,8.5,34.3%,3.4,3.8,87.6%,0.5,2.9,3.4,4.5,2.6,1.7,0.1,2.7
Nneka Ogwumike  N Ogwumike,"$199,530",UFA,36,36,31.1,19.1,7.3,14.3,51.2%,6.8,12.6,53.5%,0.6,1.7,33.9%,3.9,4.5,87.0%,1.7,7.1,8.8,2.7,2.2,1.7,0.7,2.6
Kahleah Copper  K Copper,"$205,000",Core,38,38,31.2,18.7,6.9,15.4,44.8%,5.1,10.9,46.6%,1.8,4.5,40.4%,3.1,4.0,77.0%,0.7,3.7,4.4,2.0,2.5,0.9,0.3,2.4
Kelsey Plum  K Plum,"$200,000",--,39,39,32.4,18.7,6.4,13.4,47.5%,3.9,7.2,55.0%,2.4,6.3,38.9%,3.5,3.8,91.2%,0.2,2.2,2.4,4.5,2.1,1.1,0.0,2.4
Satou Sabally  S Sabally,"$86,701",--,38,38,33.1,18.6,6.2,14.3,43.5%,4.5,9.5,47.2%,1.7,4.8,36.1%,4.4,5.0,87.4%,2.3,5.8,8.1,4.4,2.9,1.8,0.4,3.6
Kelsey Mitchell  K Mitchell,"$206,000",--,40,40,33.7,18.2,6.1,13.9,44.1%,3.6,7.5,47.8%,2.6,6.4,39.8%,3.4,4.1,82.4%,0.3,1.3,1.6,3.1,2.3,0.9,0.1,2.0
Jackie Young  J Young,"$165,000",--,40,40,31.5,17.6,6.2,11.9,52.3%,4.0,7.0,57.6%,2.2,5.0,44.9%,2.9,3.4,86.7%,0.7,3.4,4.0,3.8,1.8,1.3,0.1,2.0
Brittney Griner  B Griner,"$165,100",UFA,31,31,27.6,17.5,7.1,12.6,56.0%,7.0,12.3,57.1%,0.0,0.3,11.1%,3.4,4.4,77.2%,1.2,5.1,6.3,2.2,2.1,0.5,1.6,2.1
Rhyne Howard  R Howard,"$73,584",Rookie,39,39,32.9,17.5,5.8,15.1,38.5%,3.3,7.8,41.5%,2.5,7.2,35.2%,3.3,4.2,78.8%,0.7,4.3,4.9,3.5,1.9,1.3,0.6,2.8
DeWanna Bonner  D Bonner,"$234,350",--,40,40,30.1,17.4,5.8,13.7,42.5%,4.0,8.0,49.4%,1.9,5.7,32.9%,3.9,4.5,86.2%,0.9,4.7,5.6,2.2,1.5,1.1,0.6,1.6
Allisha Gray  A Gray,"$194,600",RFA,38,38,32.7,17.1,5.8,12.4,46.5%,4.7,9.3,50.1%,1.1,3.1,35.6%,4.4,5.4,82.4%,1.2,3.7,4.9,3.1,1.9,1.1,0.4,2.6
Sabrina Ionescu  S Ionescu,"$86,701",--,36,36,31.5,17.0,5.4,12.8,42.3%,1.9,4.9,38.3%,3.6,7.9,44.8%,2.6,3.0,87.2%,0.8,4.8,5.6,5.4,2.6,1.0,0.3,1.7
Elena Delle Donne  E Delle Donne,"$234,350",--,23,23,27.5,16.7,6.2,12.7,48.5%,5.1,10.1,50.9%,1.0,2.7,39.3%,3.3,3.5,93.8%,0.9,4.6,5.4,2.1,1.3,0.8,0.9,1.9
Natasha Howard  N Howard,"$227,900",Core,39,39,33.0,16.5,6.3,13.8,45.8%,5.4,10.6,50.7%,1.0,3.3,29.9%,2.8,3.5,81.5%,2.2,5.9,8.0,2.6,2.8,1.3,1.2,3.6
Diana Taurasi  D Taurasi,"$234,936",UFA,26,26,27.3,16.0,4.9,12.2,40.3%,2.5,5.0,48.9%,2.5,7.2,34.2%,3.7,4.3,84.8%,0.1,3.5,3.6,4.6,3.0,0.5,0.5,2.6
