Player,2021 Salary,2021 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Tina Charles  T Charles,"$175,000",UFA,27,27,33.3,23.4,8.8,19.6,44.9%,7.0,14.6,47.8%,1.9,5.1,36.5%,3.9,4.7,82.0%,2.7,6.9,9.6,2.1,2.2,0.9,0.9,2.3
Brittney Griner  B Griner,"$221,450",--,30,30,32.8,20.5,8.3,14.4,57.5%,8.1,14.1,57.8%,0.1,0.3,44.4%,3.8,4.5,84.6%,2.4,7.1,9.5,2.7,2.2,0.4,1.9,2.4
Breanna Stewart  B Stewart,"$190,550",--,28,28,33.3,20.3,6.9,15.8,43.9%,5.2,10.7,48.8%,1.7,5.1,33.6%,4.8,5.6,84.7%,1.2,8.4,9.6,2.7,1.6,1.2,1.7,1.8
Jonquel Jones  J Jones,"$190,550",--,27,27,31.7,19.4,7.1,13.8,51.5%,5.6,9.5,58.4%,1.6,4.3,36.2%,3.6,4.5,80.2%,2.5,8.7,11.2,2.8,2.9,1.3,1.3,3.1
Arike Ogunbowale  A Ogunbowale,"$58,710",--,32,32,31.4,18.7,6.2,16.3,38.3%,3.7,9.6,38.8%,2.5,6.7,37.6%,3.8,4.4,86.4%,0.7,2.5,3.2,3.3,2.1,1.1,0.0,2.3
A'ja Wilson  A Wilson,"$70,040",--,32,32,31.9,18.3,6.5,14.6,44.4%,6.4,14.5,44.3%,0.0,0.0,100.0%,5.3,6.0,87.6%,2.0,7.3,9.3,3.1,1.4,0.9,1.3,1.5
Jewell Loyd  J Loyd,"$121,500",--,31,31,31.0,17.9,6.2,14.8,42.0%,4.1,9.2,44.8%,2.1,5.6,37.6%,3.4,3.8,88.9%,0.8,3.3,4.0,3.8,2.3,1.5,0.2,2.1
Kelsey Mitchell  K Mitchell,"$70,040",--,32,32,33.1,17.8,6.6,15.4,43.1%,4.4,8.8,50.2%,2.2,6.5,33.5%,2.3,2.7,88.2%,0.7,2.0,2.6,2.5,2.0,1.1,0.2,2.3
Skylar Diggins  S Diggins,"$221,450",--,32,32,32.5,17.7,5.5,12.3,45.2%,4.0,8.0,49.4%,1.6,4.2,37.0%,5.1,6.2,81.8%,0.5,2.6,3.2,5.3,2.6,1.1,0.8,2.2
Betnijah Laney-Hamilton  B Laney-Hamilton,"$209,550",UFA,32,32,33.4,16.8,6.3,14.1,45.1%,5.3,10.7,49.6%,1.1,3.4,31.2%,3.0,3.8,78.7%,0.8,3.3,4.1,5.2,3.7,0.7,0.1,2.2
Courtney Williams  C Williams,"$190,550",--,32,32,34.4,16.5,7.1,17.1,41.8%,5.9,13.9,42.6%,1.2,3.2,38.2%,1.1,1.7,64.2%,1.4,5.4,6.8,4.0,1.8,1.1,0.5,1.7
Ariel Atkins  A Atkins,"$70,040",--,30,30,30.6,16.2,5.4,13.2,40.7%,3.2,7.1,44.8%,2.2,6.1,35.9%,3.3,3.9,83.1%,1.1,1.6,2.8,2.6,2.0,1.6,0.5,3.2
Napheesa Collier  N Collier,"$58,710",--,29,29,34.6,16.2,6.0,13.7,44.1%,5.3,10.8,49.0%,0.7,2.9,25.3%,3.4,3.9,86.0%,1.7,4.9,6.6,3.2,2.3,1.3,1.3,2.8
Natasha Howard  N Howard,"$215,000",Core,13,13,27.5,16.2,6.7,13.5,49.4%,5.8,10.8,53.6%,0.9,2.8,33.3%,1.8,2.4,77.4%,2.2,5.1,7.2,1.7,3.8,1.3,0.5,2.9
Sylvia Fowles  S Fowles,"$117,894",--,31,31,30.1,16.0,6.7,10.5,64.0%,6.7,10.5,64.0%,0.0,0.0,--,2.6,3.4,75.5%,2.1,8.0,10.1,1.4,2.3,1.8,1.8,2.5
DeWanna Bonner  D Bonner,"$221,450",--,32,32,31.9,15.2,5.0,12.6,39.5%,3.6,8.3,43.6%,1.4,4.3,31.7%,3.9,4.3,89.2%,0.7,5.8,6.4,3.5,2.2,1.3,0.7,1.6
Kelsey Plum  K Plum,"$175,000",--,26,0,25.6,14.8,4.9,11.3,43.7%,3.2,6.9,46.9%,1.7,4.4,38.6%,3.3,3.5,94.4%,0.4,2.1,2.5,3.6,1.7,1.0,0.0,2.2
Brionna Jones  B Jones,"$120,000",RFA,32,32,30.6,14.7,6.1,10.6,57.1%,6.1,10.5,57.6%,0.0,0.1,0.0%,2.6,3.2,79.6%,3.2,4.1,7.3,1.8,2.2,1.4,0.5,3.0
Tiffany Hayes  T Hayes,"$119,780",--,21,19,28.3,14.7,5.0,11.4,43.8%,3.4,7.4,45.5%,1.6,4.0,40.5%,3.0,3.6,85.3%,0.7,2.5,3.2,3.0,1.5,1.6,0.2,3.1
Nneka Ogwumike  N Ogwumike,"$190,550",Core,18,18,31.7,14.5,6.1,11.4,53.2%,5.4,9.7,56.0%,0.6,1.7,36.7%,1.8,2.2,80.0%,1.4,5.1,6.5,2.7,2.2,1.4,0.3,1.8
