game_id,season,week,season_type,start_date,home_team,away_team,home_points,away_points,venue,neutral_site,conference_game,attendance,team
212442005,2001,2,regular,2001-09-01T19:30:00.000Z,Air Force,Oklahoma,3,44,Falcon Stadium,False,False,56162.0,Air Force
212512005,2001,3,regular,2001-09-08T18:00:00.000Z,Air Force,Tennessee Tech,42,0,Falcon Stadium,False,False,28525.0,Air Force
212720021,2001,6,regular,2001-09-30T03:05:00.000Z,San Diego State,Air Force,21,45,Qualcomm Stadium,False,True,22193.0,Air Force
212792426,2001,7,regular,2001-10-06T16:00:00.000Z,Navy,Air Force,18,24,,False,False,36251.0,Air Force
212862005,2001,8,regular,2001-10-13T19:00:00.000Z,Air Force,Wyoming,24,13,Falcon Stadium,False,True,44258.0,Air Force
63780,2001,9,regular,2001-10-20T04:00:00.000Z,BYU,Air Force,63,33,,False,True,,Air Force
213000167,2001,10,regular,2001-10-27T22:00:00.000Z,New Mexico,Air Force,52,33,University Stadium (NM),False,True,28047.0,Air Force
213072005,2001,11,regular,2001-11-03T20:00:00.000Z,Air Force,Army,34,24,Falcon Stadium,False,True,44910.0,Air Force
213120036,2001,12,regular,2001-11-09T00:30:00.000Z,Colorado State,Air Force,28,21,Sonny Lubick Field at Hughes Stadium,False,True,26638.0,Air Force
213212005,2001,13,regular,2001-11-17T20:00:00.000Z,Air Force,UNLV,10,34,Falcon Stadium,False,True,31074.0,Air Force
213280062,2001,14,regular,2001-11-25T04:05:00.000Z,Hawai'i,Air Force,52,30,Aloha Stadium,False,False,41148.0,Air Force
213352005,2001,15,regular,2001-12-01T19:00:00.000Z,Air Force,Utah,38,37,Falcon Stadium,False,True,25702.0,Air Force
212422006,2001,2,regular,2001-08-30T23:00:00.000Z,Akron,Ohio,31,29,,False,True,13532.0,Akron
212510194,2001,3,regular,2001-09-08T16:10:00.000Z,Ohio State,Akron,28,14,Ohio Stadium,False,False,102602.0,Akron
212652509,2001,5,regular,2001-09-22T16:10:00.000Z,Purdue,Akron,33,14,Ross-Ade Stadium,False,False,63459.0,Akron
212722006,2001,6,regular,2001-09-29T22:00:00.000Z,Akron,Kent State,14,10,,False,True,19743.0,Akron
212792711,2001,7,regular,2001-10-06T22:00:00.000Z,Western Michigan,Akron,31,14,Waldo Stadium,False,True,23894.0,Akron
212860193,2001,8,regular,2001-10-13T18:00:00.000Z,Miami (OH),Akron,30,27,Yager Stadium,False,True,10561.0,Akron
63779,2001,9,regular,2001-10-20T04:00:00.000Z,Akron,Bowling Green,11,16,,False,True,,Akron
213000276,2001,10,regular,2001-10-27T23:00:00.000Z,Marshall,Akron,50,33,Joan C. Edwards Stadium,False,True,22129.0,Akron
213072116,2001,11,regular,2001-11-04T00:00:00.000Z,UCF,Akron,57,17,,False,False,15779.0,Akron
213212084,2001,13,regular,2001-11-17T18:00:00.000Z,Buffalo,Akron,14,41,UB Stadium,False,True,7811.0,Akron
213282006,2001,14,regular,2001-11-24T23:00:00.000Z,Akron,Eastern Michigan,65,62,,False,True,6019.0,Akron
212440333,2001,2,regular,2001-09-01T23:45:00.000Z,Alabama,UCLA,17,20,Bryant-Denny Stadium,False,False,83818.0,Alabama
212510238,2001,3,regular,2001-09-08T16:30:00.000Z,Vanderbilt,Alabama,9,12,FirstBank Stadium,False,True,37318.0,Alabama
212650333,2001,5,regular,2001-09-22T19:30:00.000Z,Alabama,Arkansas,31,10,Bryant-Denny Stadium,False,True,83818.0,Alabama
212722579,2001,6,regular,2001-09-29T16:30:00.000Z,South Carolina,Alabama,37,36,Williams-Brice Stadium,False,True,84100.0,Alabama
212790333,2001,7,regular,2001-10-06T19:00:00.000Z,Alabama,UTEP,56,7,Legion Field,False,False,77146.0,Alabama
212860145,2001,8,regular,2001-10-13T16:30:00.000Z,Ole Miss,Alabama,27,24,Vaught-Hemingway Stadium,False,True,47110.0,Alabama
63816,2001,9,regular,2001-10-20T04:00:00.000Z,Alabama,Tennessee,24,35,,False,True,,Alabama
213070333,2001,11,regular,2001-11-03T21:30:00.000Z,Alabama,LSU,21,35,Bryant-Denny Stadium,False,True,83818.0,Alabama
213140333,2001,12,regular,2001-11-10T17:30:00.000Z,Alabama,Mississippi State,24,17,Bryant-Denny Stadium,False,True,83818.0,Alabama
213210002,2001,13,regular,2001-11-17T20:30:00.000Z,Auburn,Alabama,7,31,Jordan-Hare Stadium,False,True,86063.0,Alabama
213330333,2001,15,regular,2001-11-30T00:00:00.000Z,Alabama,Southern Miss,28,15,Bryant-Denny Stadium,False,False,79947.0,Alabama
212510154,2001,3,regular,2001-09-08T22:30:00.000Z,Wake Forest,App State,20,10,,False,False,29127.0,App State
212420021,2001,2,regular,2001-08-31T02:05:00.000Z,San Diego State,Arizona,10,23,Qualcomm Stadium,False,True,28386.0,Arizona
212510012,2001,3,regular,2001-09-09T02:00:00.000Z,Arizona,Idaho,36,29,Arizona Stadium,False,False,44250.0,Arizona
212650012,2001,5,regular,2001-09-23T02:00:00.000Z,Arizona,UNLV,38,21,Arizona Stadium,False,True,47031.0,Arizona
212720012,2001,6,regular,2001-09-30T02:00:00.000Z,Arizona,Washington State,21,48,Arizona Stadium,False,True,42729.0,Arizona
212790012,2001,7,regular,2001-10-07T02:15:00.000Z,Arizona,Oregon,28,63,Arizona Stadium,False,True,45258.0,Arizona
212860204,2001,8,regular,2001-10-14T02:15:00.000Z,Oregon State,Arizona,38,3,Reser Stadium,False,True,36619.0,Arizona
63824,2001,9,regular,2001-10-20T04:00:00.000Z,Washington,Arizona,31,28,,False,True,,Arizona
213000012,2001,10,regular,2001-10-27T22:30:00.000Z,Arizona,USC,34,41,Arizona Stadium,False,True,46399.0,Arizona
213070025,2001,11,regular,2001-11-03T21:30:00.000Z,California,Arizona,24,38,California Memorial Stadium,False,True,26222.0,Arizona
213140012,2001,12,regular,2001-11-11T00:00:00.000Z,Arizona,Stanford,37,51,Arizona Stadium,False,True,40632.0,Arizona
213270009,2001,14,regular,2001-11-23T20:00:00.000Z,Arizona State,Arizona,21,34,Mountain America Stadium,False,True,55831.0,Arizona
212510009,2001,3,regular,2001-09-09T02:00:00.000Z,Arizona State,San Diego State,38,7,Mountain America Stadium,False,True,54071.0,Arizona State
212650024,2001,5,regular,2001-09-23T02:00:00.000Z,Stanford,Arizona State,51,28,Stanford Stadium,False,True,39580.0,Arizona State
212720009,2001,6,regular,2001-09-30T02:00:00.000Z,Arizona State,San José State,53,15,Mountain America Stadium,False,False,45528.0,Arizona State
212790009,2001,7,regular,2001-10-07T02:00:00.000Z,Arizona State,Louisiana,63,27,Mountain America Stadium,False,False,38118.0,Arizona State
212860030,2001,8,regular,2001-10-13T22:30:00.000Z,USC,Arizona State,48,17,Los Angeles Memorial Coliseum,False,True,43508.0,Arizona State
63775,2001,9,regular,2001-10-20T04:00:00.000Z,Arizona State,Oregon State,41,24,,False,True,,Arizona State
213000009,2001,10,regular,2001-10-28T02:15:00.000Z,Arizona State,Washington,31,33,Mountain America Stadium,False,True,50106.0,Arizona State
213072483,2001,11,regular,2001-11-04T04:15:00.000Z,Oregon,Arizona State,42,24,Autzen Stadium,False,True,46064.0,Arizona State
213140009,2001,12,regular,2001-11-10T23:30:00.000Z,Arizona State,Washington State,16,28,Mountain America Stadium,False,True,47229.0,Arizona State
