game_id,season,week,season_type,start_date,home_team,away_team,home_points,away_points,venue,neutral_site,conference_game,attendance,team
401022514,2018,1,regular,2018-09-01T18:00:00.000Z,Air Force,Stony Brook,38,0,Falcon Stadium,False,False,33415.0,Air Force
401014983,2018,2,regular,2018-09-08T18:00:00.000Z,Florida Atlantic,Air Force,33,26,FAU Stadium,False,False,24101.0,Air Force
401022522,2018,4,regular,2018-09-23T02:30:00.000Z,Utah State,Air Force,42,32,Maverik Stadium,False,True,22720.0,Air Force
401022525,2018,5,regular,2018-09-29T20:00:00.000Z,Air Force,Nevada,25,28,Falcon Stadium,False,True,23707.0,Air Force
401019504,2018,6,regular,2018-10-06T19:30:00.000Z,Air Force,Navy,35,7,Falcon Stadium,False,False,40175.0,Air Force
401022533,2018,7,regular,2018-10-13T01:00:00.000Z,San Diego State,Air Force,21,17,Qualcomm Stadium,False,True,25326.0,Air Force
401022539,2018,8,regular,2018-10-20T02:00:00.000Z,UNLV,Air Force,35,41,Sam Boyd Stadium,False,True,17881.0,Air Force
401022544,2018,9,regular,2018-10-27T23:00:00.000Z,Air Force,Boise State,38,48,Falcon Stadium,False,True,27753.0,Air Force
401013373,2018,10,regular,2018-11-03T12:00:00.000Z,Army,Air Force,17,14,Michie Stadium,False,False,38502.0,Air Force
401022554,2018,11,regular,2018-11-10T20:30:00.000Z,Air Force,New Mexico,42,24,Falcon Stadium,False,True,23723.0,Air Force
401022559,2018,12,regular,2018-11-17T21:00:00.000Z,Wyoming,Air Force,35,27,War Memorial Stadium,False,True,14966.0,Air Force
401022565,2018,13,regular,2018-11-22T20:30:00.000Z,Air Force,Colorado State,27,19,Falcon Stadium,False,True,17432.0,Air Force
401020678,2018,2,regular,2018-09-08T19:30:00.000Z,Akron,Morgan State,41,7,InfoCision Stadium,False,False,18413.0,Akron
401013343,2018,3,regular,2018-09-15T23:30:00.000Z,Northwestern,Akron,34,39,Ryan Field,False,False,40014.0,Akron
401013040,2018,4,regular,2018-09-22T16:00:00.000Z,Iowa State,Akron,26,13,Jack Trice Stadium,False,False,54028.0,Akron
401020812,2018,6,regular,2018-10-06T19:30:00.000Z,Akron,Miami (OH),17,41,InfoCision Stadium,False,True,22437.0,Akron
401020756,2018,7,regular,2018-10-13T16:00:00.000Z,Buffalo,Akron,24,6,UB Stadium,False,True,19506.0,Akron
401020761,2018,8,regular,2018-10-20T19:30:00.000Z,Kent State,Akron,23,24,Dix Stadium,False,True,18774.0,Akron
401020768,2018,9,regular,2018-10-27T16:00:00.000Z,Akron,Central Michigan,17,10,InfoCision Stadium,False,True,17582.0,Akron
401020772,2018,10,regular,2018-11-01T23:00:00.000Z,Akron,Northern Illinois,26,36,InfoCision Stadium,False,True,16401.0,Akron
401020778,2018,11,regular,2018-11-10T17:00:00.000Z,Eastern Michigan,Akron,27,7,Rynearson Stadium,False,True,12403.0,Akron
401020784,2018,12,regular,2018-11-17T20:30:00.000Z,Akron,Bowling Green,6,21,InfoCision Stadium,False,True,17742.0,Akron
401020787,2018,13,regular,2018-11-23T17:00:00.000Z,Ohio,Akron,49,28,Peden Stadium,False,True,12938.0,Akron
