game_id,season,week,season_type,start_date,home_team,away_team,home_points,away_points,venue,neutral_site,conference_game,attendance,team
273282026,2007,13,regular,2007-11-24T17:00:00.000Z,App State,James Madison,28,27,Kidd Brewer Stadium,False,False,,App State
273352026,2007,14,regular,2007-12-01T17:00:00.000Z,App State,Eastern Washington,38,35,Kidd Brewer Stadium,False,False,,App State
272440252,2007,1,regular,2007-09-01T21:30:00.000Z,BYU,Arizona,20,7,LaVell Edwards Stadium,False,True,64525.0,Arizona
272510012,2007,2,regular,2007-09-09T02:00:00.000Z,Arizona,Northern Arizona,45,24,Arizona Stadium,False,False,52638.0,Arizona
272580012,2007,3,regular,2007-09-16T02:07:00.000Z,Arizona,New Mexico,27,29,Arizona Stadium,False,True,51996.0,Arizona
272650025,2007,4,regular,2007-09-22T22:00:00.000Z,California,Arizona,45,27,California Memorial Stadium,False,True,56021.0,Arizona
272720012,2007,5,regular,2007-09-30T02:00:00.000Z,Arizona,Washington State,48,20,Arizona Stadium,False,True,50945.0,Arizona
272790204,2007,6,regular,2007-10-06T20:05:00.000Z,Oregon State,Arizona,31,16,Reser Stadium,False,True,40489.0,Arizona
272860030,2007,7,regular,2007-10-13T19:30:00.000Z,USC,Arizona,20,13,Los Angeles Memorial Coliseum,False,True,84671.0,Arizona
272930012,2007,8,regular,2007-10-20T23:07:00.000Z,Arizona,Stanford,20,21,Arizona Stadium,False,True,55270.0,Arizona
273000264,2007,9,regular,2007-10-27T19:07:00.000Z,Washington,Arizona,41,48,Husky Stadium,False,True,61124.0,Arizona
273070012,2007,10,regular,2007-11-03T19:30:00.000Z,Arizona,UCLA,34,27,Arizona Stadium,False,True,51727.0,Arizona
273190012,2007,12,regular,2007-11-16T02:00:00.000Z,Arizona,Oregon,34,24,Arizona Stadium,False,True,50387.0,Arizona
273350009,2007,14,regular,2007-12-02T01:00:00.000Z,Arizona State,Arizona,20,17,Mountain America Stadium,False,True,71706.0,Arizona
272440009,2007,1,regular,2007-09-02T02:00:00.000Z,Arizona State,San José State,45,3,Mountain America Stadium,False,False,0.0,Arizona State
272510009,2007,2,regular,2007-09-09T02:28:00.000Z,Arizona State,Colorado,33,14,Mountain America Stadium,False,False,58417.0,Arizona State
272580009,2007,3,regular,2007-09-16T02:07:00.000Z,Arizona State,San Diego State,34,13,Mountain America Stadium,False,True,54617.0,Arizona State
272650009,2007,4,regular,2007-09-23T02:05:00.000Z,Arizona State,Oregon State,44,32,Mountain America Stadium,False,True,56099.0,Arizona State
272720024,2007,5,regular,2007-09-30T02:08:00.000Z,Stanford,Arizona State,3,41,Stanford Stadium,False,True,32125.0,Arizona State
272790265,2007,6,regular,2007-10-06T20:00:00.000Z,Washington State,Arizona State,20,23,Gesa Field,False,True,35117.0,Arizona State
272860009,2007,7,regular,2007-10-14T02:26:00.000Z,Arizona State,Washington,44,20,Mountain America Stadium,False,True,64347.0,Arizona State
273000009,2007,9,regular,2007-10-28T02:15:00.000Z,Arizona State,California,31,20,Mountain America Stadium,False,True,71706.0,Arizona State
273072483,2007,10,regular,2007-11-03T22:40:00.000Z,Oregon,Arizona State,35,23,Autzen Stadium,False,True,59379.0,Arizona State
273140026,2007,11,regular,2007-11-10T20:30:00.000Z,UCLA,Arizona State,20,24,Rose Bowl,False,True,78690.0,Arizona State
273260009,2007,13,regular,2007-11-23T01:00:00.000Z,Arizona State,USC,24,44,Mountain America Stadium,False,True,71706.0,Arizona State
273350009,2007,14,regular,2007-12-02T01:00:00.000Z,Arizona State,Arizona,20,17,Mountain America Stadium,False,True,71706.0,Arizona State
