GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401620345,20240710,Liberty,28,57,49.1,3,13,23.1,12,16,75.0,33,1,32,22,5,6,9,9,40,14,1,10,0,0,0,14,17
401620345,20240710,Sun,24,67,35.8,6,17,35.3,14,16,87.5,35,7,28,19,1,2,9,9,26,1,1,10,0,0,0,14,16
401620346,20240710,Mystics,33,75,44.0,7,20,35.0,16,19,84.2,31,10,21,23,8,3,16,9,38,22,0,16,0,0,0,21,18
401620346,20240710,Fever,31,58,53.4,8,25,32.0,14,17,82.4,29,2,27,18,9,7,21,26,42,5,2,23,0,0,0,23,21
401620347,20240710,Dream,28,69,40.6,2,10,20.0,11,16,68.8,36,5,31,19,6,5,14,9,40,6,2,16,1,1,0,21,11
401620347,20240710,Sky,32,74,43.2,6,17,35.3,8,13,61.5,43,8,35,22,11,8,10,15,44,9,1,11,0,0,0,11,13
401620348,20240710,Aces,30,70,42.9,5,23,21.7,19,20,95.0,38,4,34,21,7,5,9,12,36,9,1,10,0,0,0,14,14
401620348,20240710,Storm,31,77,40.3,3,17,17.6,14,16,87.5,40,10,30,19,4,1,13,10,46,8,0,13,1,1,0,16,14
401620349,20240710,Wings,32,64,50.0,7,19,36.8,13,18,72.2,26,7,19,25,5,1,14,10,38,11,1,15,1,1,1,16,18
401620349,20240710,Mercury,36,61,59.0,9,21,42.9,19,22,86.4,22,4,18,24,8,6,11,7,48,24,2,13,0,0,0,18,19
