GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401620452,20240919,Sky,21,62,33.9,6,21,28.6,6,9,66.7,24,6,18,16,5,10,15,0,24,2,1,16,0,0,0,25,19
401620452,20240919,Sun,35,70,50.0,6,14,42.9,11,13,84.6,37,9,28,24,7,9,10,17,42,34,1,11,4,4,0,12,11
401620453,20240919,Dream,31,62,50.0,5,13,38.5,11,16,68.8,35,9,26,22,8,2,14,7,46,20,3,17,0,0,0,17,16
401620453,20240919,Liberty,24,60,40.0,8,17,47.1,11,17,64.7,28,9,19,17,8,6,17,14,24,5,0,17,0,0,0,19,16
401620454,20240919,Fever,34,64,53.1,10,20,50.0,13,15,86.7,32,3,29,28,9,0,16,7,40,18,1,17,1,1,0,13,14
401620454,20240919,Mystics,33,71,46.5,12,34,35.3,14,15,93.3,30,8,22,23,9,1,14,10,38,17,0,14,0,0,0,11,18
401620455,20240919,Sparks,25,59,42.4,10,31,32.3,8,9,88.9,36,5,31,18,5,4,18,6,30,19,2,20,0,0,0,22,12
401620455,20240919,Lynx,16,56,28.6,7,23,30.4,12,16,75.0,28,6,22,11,8,2,17,9,14,3,1,18,0,0,0,19,11
401620456,20240919,Wings,30,70,42.9,9,20,45.0,15,19,78.9,33,7,26,17,7,2,13,17,36,4,0,13,0,0,0,26,12
401620456,20240919,Aces,35,75,46.7,15,37,40.5,13,16,81.3,38,10,28,22,8,7,11,12,38,22,2,13,0,0,0,17,15
401620457,20240919,Storm,35,78,44.9,13,36,36.1,6,8,75.0,41,11,30,27,5,2,10,10,34,24,1,11,0,0,0,11,18
401620457,20240919,Mercury,24,63,38.1,6,26,23.1,16,23,69.6,33,6,27,19,8,1,11,3,28,0,2,13,0,0,0,19,12
