GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401620441,20240915,Wings,42,74,56.8,11,24,45.8,14,15,93.3,33,11,22,28,7,3,13,20,54,12,0,13,2,2,1,20,23
401620441,20240915,Fever,38,76,50.0,16,34,47.1,18,21,85.7,26,10,16,21,5,4,9,2,32,9,1,10,1,1,0,18,16
401620442,20240915,Lynx,35,66,53.0,9,18,50.0,9,11,81.8,36,9,27,26,6,3,15,7,26,26,1,16,0,0,0,21,18
401620442,20240915,Liberty,27,69,39.1,8,28,28.6,17,23,73.9,35,14,21,17,8,5,11,16,34,3,1,12,0,0,1,17,15
401620443,20240915,Dream,26,66,39.4,4,24,16.7,20,25,80.0,35,7,28,16,13,1,15,6,22,12,3,18,0,0,0,20,20
401620443,20240915,Mystics,23,59,39.0,10,31,32.3,17,21,81.0,26,4,22,14,6,3,18,6,20,3,2,20,1,1,0,22,21
401620444,20240915,Mercury,36,66,54.5,9,24,37.5,12,17,70.6,30,3,27,29,4,2,8,6,44,6,0,8,0,0,0,12,15
401620444,20240915,Sky,32,72,44.4,14,25,56.0,10,15,66.7,37,11,26,26,4,3,7,6,30,8,0,7,0,0,0,5,16
401620445,20240915,Sun,27,64,42.2,6,19,31.6,11,17,64.7,34,7,27,20,2,3,8,4,30,2,2,10,0,0,0,6,11
401620445,20240915,Aces,35,71,49.3,10,24,41.7,4,6,66.7,33,4,29,24,5,4,6,7,38,21,1,7,0,0,0,6,14
401620446,20240915,Sparks,33,73,45.2,3,16,18.8,18,20,90.0,36,13,23,18,13,1,16,14,58,2,0,16,2,2,0,25,16
401620446,20240915,Storm,33,71,46.5,5,22,22.7,19,22,86.4,32,11,21,19,13,3,15,7,48,16,1,16,1,1,0,25,17
