GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401620436,20240913,Mystics,26,60,43.3,8,21,38.1,12,15,80.0,33,8,25,17,8,6,17,9,36,11,3,20,0,0,0,17,18
401620436,20240913,Dream,21,73,28.8,5,20,25.0,22,25,88.0,41,17,24,14,12,3,14,13,30,10,2,16,0,0,0,15,19
401620437,20240913,Aces,28,70,40.0,9,30,30.0,13,18,72.2,31,1,30,22,7,4,9,5,26,13,0,9,0,0,0,8,18
401620437,20240913,Fever,28,62,45.2,7,23,30.4,11,20,55.0,35,3,32,17,5,2,15,11,34,2,0,15,1,1,0,9,16
401620438,20240913,Storm,34,74,45.9,5,21,23.8,10,10,100.0,32,5,27,23,11,4,16,33,48,13,1,17,0,0,0,14,14
401620438,20240913,Wings,30,78,38.5,4,18,22.2,17,19,89.5,42,15,27,20,9,3,18,14,48,21,1,19,0,0,0,27,12
401620439,20240913,Sky,25,68,36.8,4,17,23.5,12,17,70.6,34,9,25,17,4,6,12,2,30,9,0,12,0,0,0,15,12
401620439,20240913,Lynx,33,73,45.2,8,26,30.8,9,10,90.0,39,7,32,25,8,4,10,14,24,20,1,11,0,0,0,15,14
401620440,20240913,Sun,33,75,44.0,8,26,30.8,14,17,82.4,38,8,30,23,2,5,7,9,40,28,1,8,0,0,0,2,14
401620440,20240913,Mercury,27,72,37.5,6,33,18.2,9,11,81.8,33,6,27,19,4,7,7,6,34,3,3,10,1,1,1,17,16
