Date,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjO_Rk,AdjD,AdjD_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS_AdjEM,SOS_AdjEM_Rk,OppO,OppO_Rk,OppD,OppD_Rk,NC_SOS_AdjEM,NC_SOS_AdjEM_Rk
2019-11-07,1,Michigan St.,B10,0-1,+29.03,115.4,1,86.4,5,71.5,207,+.000,1,+28.73,4,111.8,15,83.1,1,+28.73,3
2019-11-07,2,Kentucky,SEC,1-0,+28.73,111.9,6,83.2,2,71.3,220,+.000,1,+29.03,2,115.4,2,86.3,11,+29.03,1
2019-11-07,3,Louisville,ACC,1-0,+27.96,114.1,2,86.2,4,72.2,138,+.000,1,+16.43,50,110.6,29,94.2,75,-99.00,214
2019-11-07,4,Virginia,ACC,1-0,+27.30,109.5,22,82.2,1,64.4,353,+.000,1,+18.69,41,105.3,68,86.6,13,-99.00,214
2019-11-07,5,Duke,ACC,1-0,+26.79,111.5,10,84.7,3,75.2,19,+.000,1,+21.45,29,109.8,34,88.4,22,+21.45,26
2019-11-07,6,North Carolina,ACC,1-0,+24.54,113.0,4,88.4,12,76.0,9,+.000,1,+10.31,72,105.8,62,95.5,83,-99.00,214
2019-11-07,7,Purdue,B10,1-0,+24.03,111.6,8,87.6,7,70.3,287,+.000,1,-7.52,153,98.1,134,105.6,171,-7.52,139
2019-11-07,8,Villanova,BE,1-0,+23.26,111.3,11,88.0,8,70.1,299,+.000,1,-10.17,166,94.3,169,104.5,157,-10.17,152
2019-11-07,9,Gonzaga,WCC,1-0,+22.77,113.2,3,90.4,24,73.1,96,+.000,1,-18.48,210,90.0,205,108.5,207,-18.48,196
2019-11-07,10,Kansas,B12,0-1,+21.45,109.9,18,88.4,13,74.4,33,+.000,1,+26.79,7,111.4,21,84.6,2,+26.79,6
2019-11-07,11,Baylor,B12,1-0,+21.01,110.2,17,89.2,17,70.4,281,+.000,1,-13.16,181,94.4,168,107.5,198,-13.16,167
2019-11-07,12,Ohio St.,B10,1-0,+20.97,108.4,31,87.4,6,69.7,315,+.000,1,+12.38,64,105.3,65,92.9,63,+12.38,55
2019-11-07,13,Florida,SEC,1-0,+20.38,109.3,23,88.9,15,68.9,334,+.000,1,-6.20,141,99.2,122,105.4,170,-6.20,127
2019-11-07,14,Texas Tech,B12,1-0,+20.13,108.8,28,88.7,14,70.7,267,+.000,1,-12.20,176,95.7,156,107.9,202,-12.20,162
2019-11-07,15,Marquette,BE,1-0,+19.99,110.6,15,90.6,28,73.2,92,+.000,1,-7.15,148,97.5,141,104.7,160,-7.15,134
