week,season,game_id,date,status,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,point_differential,winner,away_firstDowns,away_firstDownsPassing,away_firstDownsRushing,away_firstDownsPenalty,away_thirdDownConversions,away_thirdDownAttempts,away_fourthDownConversions,away_fourthDownAttempts,away_totalOffensivePlays,away_totalYards,away_yardsPerPlay,away_totalDrives,away_netPassingYards,away_completions,away_passAttempts,away_yardsPerPass,away_interceptions,away_sacks,away_sackYardsLost,away_rushingYards,away_rushingAttempts,away_yardsPerRushAttempt,away_redZoneAttempts,away_penalties,away_penaltyYards,away_turnovers,away_fumblesLost,away_defensiveTouchdowns,away_possessionTime,home_firstDowns,home_firstDownsPassing,home_firstDownsRushing,home_firstDownsPenalty,home_thirdDownConversions,home_thirdDownAttempts,home_fourthDownConversions,home_fourthDownAttempts,home_totalOffensivePlays,home_totalYards,home_yardsPerPlay,home_totalDrives,home_netPassingYards,home_completions,home_passAttempts,home_yardsPerPass,home_interceptions,home_sacks,home_sackYardsLost,home_rushingYards,home_rushingAttempts,home_yardsPerRushAttempt,home_redZoneAttempts,home_penalties,home_penaltyYards,home_turnovers,home_fumblesLost,home_defensiveTouchdowns,home_possessionTime,attendance,venue,venue_city,venue_state
2,2026,401872932,2026-09-18T00:15Z,Final,Detroit Lions,DET,31,Buffalo Bills,BUF,41,10,Buffalo Bills,24,19,2,3,4,11,2,2,62,355,5.7,9,289,26,38,6.9,0,4,38,66,20,3.3,3-4,10,58,0,0,0,26:15,34,14,15,5,9,12,0,0,69,446,6.5,9,243,20,31,7.4,0,2,5,203,36,5.6,5-5,5,46,0,0,0,33:45,60644,Highmark Stadium,Orchard Park,NY
2,2026,401872933,2026-09-20T17:00Z,Final,Carolina Panthers,CAR,34,Atlanta Falcons,ATL,3,31,Carolina Panthers,18,12,5,1,6,14,1,2,60,340,5.7,11,272,23,36,7.2,0,2,15,68,22,3.1,3-6,9,63,0,0,1,29:31,17,10,7,0,4,13,1,2,67,286,4.3,12,129,18,32,3.7,3,3,16,157,32,4.9,0-0,6,39,5,2,0,30:29,71143,Mercedes-Benz Stadium,Atlanta,GA
2,2026,401872937,2026-09-20T17:00Z,Final,Minnesota Vikings,MIN,9,Chicago Bears,CHI,3,6,Minnesota Vikings,11,6,4,1,3,13,1,1,51,246,4.8,9,127,11,20,5.5,0,3,16,119,28,4.3,0-1,3,25,0,0,0,27:19,17,7,9,1,5,15,2,3,70,297,4.2,10,163,20,35,4.2,1,4,29,134,31,4.3,0-3,8,58,2,1,0,32:41,58914,Soldier Field,Chicago,IL
2,2026,401872939,2026-09-20T17:00Z,Final,Philadelphia Eagles,PHI,24,Tennessee Titans,TEN,20,4,Philadelphia Eagles,23,16,5,2,11,18,1,1,72,341,4.7,8,252,26,37,6.3,2,3,12,89,32,2.8,3-4,4,35,2,0,0,36:25,14,7,7,0,6,13,1,1,51,291,5.7,9,169,13,20,7.7,0,2,14,122,29,4.2,2-4,7,45,0,0,0,23:35,68567,Nissan Stadium,Nashville,TN
2,2026,401872946,2026-09-20T17:00Z,Final,Pittsburgh Steelers,PIT,3,New England Patriots,NE,20,17,New England Patriots,16,10,4,2,2,12,1,1,67,235,3.5,12,144,23,40,3.3,1,4,43,91,23,4.0,0-1,5,59,2,1,0,32:47,15,6,7,2,4,12,0,0,53,327,6.2,11,191,14,22,7.6,1,3,17,136,28,4.9,0-1,6,31,2,1,1,27:13,64628,Gillette Stadium,Foxborough,MA
2,2026,401872936,2026-09-20T17:00Z,Final,Green Bay Packers,GB,20,New York Jets,NYJ,17,3,Green Bay Packers,16,8,4,4,1,9,0,1,50,199,4.0,12,136,16,29,4.3,0,3,9,63,18,3.5,2-4,14,133,1,1,0,26:57,21,11,6,4,8,19,0,1,72,285,4.0,12,218,27,41,4.8,0,4,29,67,27,2.5,2-3,13,156,0,0,0,37:40,78674,MetLife Stadium,East Rutherford,NJ
2,2026,401872935,2026-09-20T17:00Z,Final,Cleveland Browns,CLE,23,Tampa Bay Buccaneers,TB,19,4,Cleveland Browns,15,10,3,2,5,13,0,1,55,267,4.9,12,223,24,30,7.0,0,2,15,44,23,1.9,1-3,6,50,0,0,0,29:22,17,7,9,1,7,16,0,1,62,313,5.0,11,176,21,34,4.8,1,3,6,137,25,5.5,1-4,6,62,1,0,0,30:38,61391,Raymond James Stadium,Tampa,FL
2,2026,401872938,2026-09-20T17:00Z,Final,New Orleans Saints,NO,24,Baltimore Ravens,BAL,17,7,New Orleans Saints,19,11,6,2,8,15,2,2,64,298,4.7,9,233,27,34,6.3,0,3,19,65,27,2.4,1-2,5,35,0,0,0,32:45,19,11,8,0,4,9,0,0,56,312,5.6,8,204,21,31,6.0,1,3,31,108,22,4.9,1-2,7,34,1,0,0,27:15,70437,M&T Bank Stadium,Baltimore,MD
2,2026,401872934,2026-09-20T17:00Z,Final,Cincinnati Bengals,CIN,20,Houston Texans,HOU,6,14,Cincinnati Bengals,12,9,3,0,5,15,0,0,59,267,4.5,13,182,20,31,5.1,0,5,25,85,23,3.7,1-1,12,78,0,0,0,30:49,22,15,3,4,5,17,0,4,78,374,4.8,13,314,30,56,5.2,0,4,39,60,18,3.3,0-4,9,83,0,0,0,29:11,70747,Reliant Stadium,Houston,TX
2,2026,401872940,2026-09-20T20:05Z,Final,Jacksonville Jaguars,JAX,13,Denver Broncos,DEN,20,7,Denver Broncos,21,8,9,4,5,12,0,0,55,268,4.9,9,173,17,29,5.6,1,2,16,95,24,4.0,1-2,4,40,1,0,0,28:43,22,13,7,2,4,11,0,0,59,392,6.6,9,288,22,31,9.3,1,0,0,104,28,3.7,2-5,10,53,1,0,0,31:17,76472,Empower Field at Mile High,Denver,CO
