week,season,game_id,date,status,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,point_differential,winner,attendance,venue,venue_city,venue_state
11,2026,401873066,2026-11-20T01:15Z,Scheduled,Indianapolis Colts,IND,0,Houston Texans,HOU,0,0,TIE,,Reliant Stadium,Houston,TX
11,2026,401873070,2026-11-22T18:00Z,Scheduled,Miami Dolphins,MIA,0,Buffalo Bills,BUF,0,0,TIE,,Highmark Stadium,Orchard Park,NY
11,2026,401873071,2026-11-22T18:00Z,Scheduled,New Orleans Saints,NO,0,Chicago Bears,CHI,0,0,TIE,,Soldier Field,Chicago,IL
11,2026,401873073,2026-11-22T18:00Z,Scheduled,Tennessee Titans,TEN,0,Dallas Cowboys,DAL,0,0,TIE,,AT&T Stadium,Arlington,TX
11,2026,401873072,2026-11-22T18:00Z,Scheduled,Tampa Bay Buccaneers,TB,0,Detroit Lions,DET,0,0,TIE,,Ford Field,Detroit,MI
11,2026,401873067,2026-11-22T18:00Z,Scheduled,Arizona Cardinals,ARI,0,Kansas City Chiefs,KC,0,0,TIE,,Arrowhead Stadium,Kansas City,MO
11,2026,401873069,2026-11-22T18:00Z,Scheduled,Jacksonville Jaguars,JAX,0,New York Giants,NYG,0,0,TIE,,MetLife Stadium,East Rutherford,NJ
11,2026,401873068,2026-11-22T18:00Z,Scheduled,Baltimore Ravens,BAL,0,Carolina Panthers,CAR,0,0,TIE,,Bank of America Stadium,Charlotte,NC
11,2026,401873074,2026-11-22T21:05Z,Scheduled,New York Jets,NYJ,0,Los Angeles Chargers,LAC,0,0,TIE,,SoFi Stadium,Inglewood,CA
11,2026,401873075,2026-11-22T21:25Z,Scheduled,Las Vegas Raiders,LV,0,Denver Broncos,DEN,0,0,TIE,,Empower Field at Mile High,Denver,CO
11,2026,401873076,2026-11-22T21:25Z,Scheduled,Pittsburgh Steelers,PIT,0,Philadelphia Eagles,PHI,0,0,TIE,,Lincoln Financial Field,Philadelphia,PA
11,2026,401873077,2026-11-23T01:20Z,Scheduled,Minnesota Vikings,MIN,0,San Francisco 49ers,SF,0,0,TIE,,Estadio Banorte,Mexico City,
11,2026,401873078,2026-11-24T01:15Z,Scheduled,Cincinnati Bengals,CIN,0,Washington Commanders,WSH,0,0,TIE,,Northwest Stadium,Landover,MD
