season,team,conference,offense.plays,offense.drives,offense.ppa,offense.totalPPA,offense.successRate,offense.explosiveness,offense.powerSuccess,offense.stuffRate,offense.lineYards,offense.lineYardsTotal,offense.secondLevelYards,offense.secondLevelYardsTotal,offense.openFieldYards,offense.openFieldYardsTotal,offense.totalOpportunies,offense.pointsPerOpportunity,offense.fieldPosition.averageStart,offense.fieldPosition.averagePredictedPoints,offense.havoc.total,offense.havoc.frontSeven,offense.havoc.db,offense.standardDowns.rate,offense.standardDowns.ppa,offense.standardDowns.successRate,offense.standardDowns.explosiveness,offense.passingDowns.rate,offense.passingDowns.ppa,offense.passingDowns.successRate,offense.passingDowns.explosiveness,offense.rushingPlays.rate,offense.rushingPlays.ppa,offense.rushingPlays.totalPPA,offense.rushingPlays.successRate,offense.rushingPlays.explosiveness,offense.passingPlays.rate,offense.passingPlays.ppa,offense.passingPlays.totalPPA,offense.passingPlays.successRate,offense.passingPlays.explosiveness,defense.plays,defense.drives,defense.ppa,defense.totalPPA,defense.successRate,defense.explosiveness,defense.powerSuccess,defense.stuffRate,defense.lineYards,defense.lineYardsTotal,defense.secondLevelYards,defense.secondLevelYardsTotal,defense.openFieldYards,defense.openFieldYardsTotal,defense.totalOpportunies,defense.pointsPerOpportunity,defense.fieldPosition.averageStart,defense.fieldPosition.averagePredictedPoints,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,defense.standardDowns.rate,defense.standardDowns.ppa,defense.standardDowns.successRate,defense.standardDowns.explosiveness,defense.passingDowns.rate,defense.passingDowns.ppa,defense.passingDowns.totalPPA,defense.passingDowns.successRate,defense.passingDowns.explosiveness,defense.rushingPlays.rate,defense.rushingPlays.ppa,defense.rushingPlays.totalPPA,defense.rushingPlays.successRate,defense.rushingPlays.explosiveness,defense.passingPlays.rate,defense.passingPlays.ppa,defense.passingPlays.totalPPA,defense.passingPlays.successRate,defense.passingPlays.explosiveness
2018,Air Force,Mountain West,65,12,0.2157419934483193,14.023229574140755,0.36923076923076925,1.566436296843009,0.8571428571428571,0.14545454545454545,2.6272727272727274,145,0.8363636363636363,46,1.2181818181818183,67.0,5,4.2,67.0,1.805,0.046153846153846156,0.015384615384615385,0.03076923076923077,0.6923076923076923,0.03695855493885586,0.37777777777777777,1.0937083073335876,0.3076923076923077,0.6180047300946121,0.35,2.714489985651604,0.8461538461538461,0.08666649722551766,4.766657347403471,0.32727272727272727,1.3427083616921724,0.15384615384615385,0.9256572226737283,9.256572226737283,0.6,2.2376201022955184,53,12,-0.07308306088178364,-3.8734022267345325,0.22641509433962265,1.0379738449924634,0.5,0.17073170731707318,2.4658536585365853,101,0.5853658536585366,24,0.2926829268292683,12.0,4,1.75,69.8,-1.461,0.20754716981132076,0.16981132075471697,0.03773584905660377,0.6037735849056604,-0.044657930338479736,0.34375,0.9579104049727956,0.39622641509433965,-0.11639754551919909,-1.3964321935332071,0.047619047619047616,1.91867168520881,0.7735849056603774,-0.060413903248812816,-2.4769700332013254,0.24390243902439024,0.9040176298835936,0.22641509433962265,-0.11636934946110059,-1.3964321935332071,0.16666666666666666,1.707754920536813
2018,Akron,Mid-American,64,14,-0.009578032633564161,-0.6129940885481063,0.3125,1.1950213576869282,0.75,0.2692307692307692,1.6038461538461537,42,0.9615384615384616,25,0.11538461538461539,3.0,2,5.0,75.6,0.972,0.21875,0.140625,0.078125,0.609375,-0.2676443079654931,0.3333333333333333,0.835826948381634,0.390625,0.3930053568842449,0.28,1.8620966892539033,0.40625,-0.12859440355176965,-3.343454492346011,0.2692307692307692,0.8831235618429737,0.578125,0.08391047112564275,3.1046874316487814,0.32432432432432434,1.5077324373907188,73,14,0.2137966546196895,15.607155787237334,0.3835616438356164,1.360955570517419,0.6666666666666666,0.21052631578947367,2.5921052631578947,99,0.8421052631578947,32,2.289473684210526,87.0,8,4.25,61.1,-2.022,0.136986301369863,0.0958904109589041,0.0410958904109589,0.6986301369863014,0.13572531747036215,0.37254901960784315,1.3734823436885935,0.3013698630136986,0.3947802089204029,12.875513970846917,0.4090909090909091,1.3345101604893836,0.5205479452054794,0.09390879562793367,3.5685342338614796,0.3157894736842105,1.475208763820023,0.4520547945205479,0.3901670900256642,12.875513970846917,0.42424242424242425,1.5172245161513227
2018,Alabama,SEC,60,12,0.6550933714809164,39.305602288854985,0.6333333333333333,1.3136742212568862,0.6666666666666666,0.14634146341463414,3.5439024390243903,145,1.5121951219512195,62,1.4146341463414633,58.0,7,4.428571428571429,69.1,1.523,0.1,0.05,0.05,0.7666666666666667,0.520089134219334,0.5869565217391305,1.2661345343796453,0.23333333333333334,1.0986787224832588,0.7857142857142857,1.4303625435919318,0.6833333333333333,0.3498748090688739,14.34486717182383,0.5853658536585366,0.9384372758057882,0.3,1.4199764621943411,25.55957631949814,0.7222222222222222,2.153535922376134,72,12,0.09124357684078913,6.569537532536818,0.4861111111111111,0.99715290228154,0.8,0.2,3.26,98,1.2666666666666666,38,1.7,51.0,6,5.166666666666667,67.9,-1.435,0.2222222222222222,0.1527777777777778,0.06944444444444445,0.6388888888888888,-0.019956235416532714,0.4782608695652174,0.6504682418811999,0.3611111111111111,0.2879817062191278,6.110732472180038,0.5,1.5838500198821155,0.4166666666666667,-0.011118384777694817,-0.3335515433308445,0.5666666666666667,0.3200530352757408,0.5694444444444444,0.14904225541902533,6.110732472180038,0.4146341463414634,1.6862996103810988
2018,Arizona,Big 12,60,12,0.03920256048672792,2.352153629203675,0.36666666666666664,1.2127342158411694,0.5,0.20588235294117646,2.7823529411764705,95,0.9705882352941176,33,0.8235294117647058,28.0,5,2.0,69.8,1.489,0.15,0.11666666666666667,0.03333333333333333,0.6333333333333333,-0.31433600947679785,0.3684210526315789,0.7044919602368044,0.36666666666666664,0.6498600904237269,0.36363636363636365,2.102158163148808,0.5666666666666667,-0.058462906247768946,-1.9877388124241442,0.35294117647058826,0.9212560278148179,0.4166666666666667,0.1224558881374849,3.061397203437122,0.36,1.5940650196152462,78,13,0.05476405965485336,4.2715966530785625,0.41025641025641024,1.2142489320946401,0.5,0.15151515151515152,3.303030303030303,109,1.3333333333333333,44,1.6060606060606062,53.0,7,1.4285714285714286,74.0,-1.082,0.16666666666666666,0.08974358974358974,0.07692307692307693,0.6153846153846154,-0.2817104676273627,0.4375,0.8627702204277252,0.38461538461538464,0.5931233033063991,1.1330979615850352,0.36666666666666664,1.8852537452769325,0.4230769230769231,0.09964878473703286,3.2884098963220842,0.45454545454545453,0.9468932776838814,0.5641025641025641,0.025752226399659888,1.1330979615850352,0.36363636363636365,1.5501548666624263
2018,Arizona State,Big 12,57,10,0.24430466348944502,13.925365818898365,0.43859649122807015,1.4027112301985365,0.7142857142857143,0.24324324324324326,2.924324324324324,108,1.135135135135135,42,0.5135135135135135,19.0,6,3.5,73.6,1.12,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.7543859649122807,0.11468947420447427,0.4418604651162791,1.2496152633436215,0.24561403508771928,0.6424084591504267,0.42857142857142855,1.887515125239101,0.6491228070175439,0.09168285952783438,3.3922658025298724,0.43243243243243246,0.8997169020209779,0.3508771929824561,0.5266550008184246,10.533100016368493,0.45,2.2969233691808633,78,10,0.379831857637018,29.626884895687404,0.5,1.3642379919543264,0.875,0.24444444444444444,2.8377777777777777,128,0.9111111111111111,41,0.17777777777777778,8.0,7,4.0,80.2,-0.723,0.08974358974358974,0.07692307692307693,0.01282051282051282,0.8076923076923077,0.3451335527217689,0.5238095238095238,1.2279079209282544,0.19230769230769232,0.5255647382810643,22.96888227115543,0.4,2.114053382597722,0.5769230769230769,0.14795561387848827,6.658002624531973,0.4666666666666667,0.9648034851350011,0.4230769230769231,0.6960267354895585,22.96888227115543,0.5454545454545454,1.8302449165768724
2018,Arkansas,SEC,72,12,0.09124357684078913,6.569537532536818,0.4861111111111111,0.99715290228154,0.8,0.2,3.26,98,1.2666666666666666,38,1.7,51.0,6,5.166666666666667,67.9,1.435,0.2222222222222222,0.1527777777777778,0.06944444444444445,0.6388888888888888,-0.019956235416532714,0.4782608695652174,0.6504682418811999,0.3611111111111111,0.2879817062191278,0.5,1.5838500198821155,0.4166666666666667,-0.011118384777694817,-0.3335515433308445,0.5666666666666667,0.3200530352757408,0.5694444444444444,0.14904225541902533,6.110732472180038,0.4146341463414634,1.6862996103810988,60,12,0.6550933714809164,39.305602288854985,0.6333333333333333,1.3136742212568862,0.6666666666666666,0.14634146341463414,3.5439024390243903,145,1.5121951219512195,62,1.4146341463414633,58.0,7,4.428571428571429,69.1,-1.523,0.1,0.05,0.05,0.7666666666666667,0.520089134219334,0.5869565217391305,1.2661345343796453,0.23333333333333334,1.0986787224832588,25.55957631949814,0.7857142857142857,1.4303625435919318,0.6833333333333333,0.3498748090688739,14.34486717182383,0.5853658536585366,0.9384372758057882,0.3,1.4199764621943411,25.55957631949814,0.7222222222222222,2.153535922376134
2018,Auburn,SEC,61,10,-0.06263802642600752,-3.820919611986459,0.36065573770491804,1.143000103529162,0.25,0.23529411764705882,2.7411764705882353,47,1.352941176470588,23,0.7058823529411765,12.0,6,1.5,64.2,1.825,0.18032786885245902,0.06557377049180328,0.11475409836065574,0.6229508196721312,-0.10646458801846237,0.3684210526315789,0.9913182402091807,0.3770491803278688,0.00977107533543962,0.34782608695652173,1.4084433643391288,0.2786885245901639,-0.05485341273254147,-0.932508016453205,0.35294117647058826,0.8249591787533862,0.6721311475409836,-0.054547100422723024,-2.236431117331644,0.3170731707317073,1.6037098217940655,76,12,0.1618600488087071,12.30136370946174,0.5263157894736842,0.7890185223166459,0.6153846153846154,0.17857142857142858,3.7232142857142856,209,1.4464285714285714,81,1.4821428571428572,83.0,6,2.6666666666666665,72.5,-1.186,0.09210526315789473,0.02631578947368421,0.06578947368421052,0.8289473684210527,0.24026283417879138,0.6031746031746031,0.8011671126194448,0.17105263157894737,-0.21809191106170142,-1.0663644786040747,0.15384615384615385,0.5581953065634668,0.7368421052631579,0.2550418252450129,14.282342213720723,0.5714285714285714,0.8679768617481133,0.2236842105263158,-0.06272732227082792,-1.0663644786040747,0.29411764705882354,0.9400190684762245
2018,Ball State,Mid-American,99,12,-0.0034393084434865733,-0.3404915359051708,0.3434343434343434,1.2697285549725577,0.25,0.10256410256410256,3.0487179487179485,119,0.6923076923076923,27,0.3333333333333333,13.0,9,1.777777777777778,75.0,1.014,0.1111111111111111,0.06060606060606061,0.050505050505050504,0.6262626262626263,-0.20782563314101915,0.3225806451612903,0.9383883266189302,0.37373737373737376,0.3390458842929194,0.3783783783783784,1.7430717383348824,0.3939393939393939,-0.19133857313976566,-7.462204352450861,0.2564102564102564,0.8460297847903042,0.5757575757575758,0.11263652302052055,6.420281812169671,0.3684210526315789,1.6194781912756142,73,12,0.17016430969406832,12.421994607666987,0.4520547945205479,1.1995010874298542,1.0,0.1,3.3325,133,1.225,49,2.175,87.0,6,4.0,74.2,-1.059,0.1643835616438356,0.1095890410958904,0.0547945205479452,0.6712328767123288,0.01367040604969592,0.4897959183673469,0.8197006206639079,0.3287671232876712,0.4896726963013286,0.3488320716269862,0.375,2.2123023321390445,0.547945205479452,0.31116030893959157,12.446412357583663,0.475,1.2280606087800365,0.4383561643835616,0.010901002238343319,0.3488320716269862,0.40625,1.2787410876852432
2018,Baylor,Big 12,96,13,0.24562263980844853,23.57977342161106,0.5625,0.9320747175310878,1.0,0.15555555555555556,3.2444444444444445,146,1.511111111111111,68,2.1333333333333333,96.0,11,3.3636363636363638,67.8,1.484,0.14583333333333334,0.11458333333333333,0.03125,0.7083333333333334,0.28045084645320095,0.6176470588235294,0.9255281951319546,0.2916666666666667,0.1610398522426212,0.42857142857142855,0.9549875459280543,0.46875,0.3614911823498235,16.267103205742057,0.5777777777777777,0.9597493123823158,0.5,0.17849737132769403,8.567873823729313,0.5208333333333334,1.065350249303954,61,12,0.43637814937829894,26.619067112076234,0.47540983606557374,1.70699768887453,0.75,0.125,3.7625,120,1.9375,62,5.78125,185.0,6,3.5,71.5,-1.214,0.22950819672131148,0.14754098360655737,0.08196721311475409,0.6557377049180327,0.26111839808987225,0.5,1.3896756160400656,0.3442622950819672,0.7702062470705402,2.9638956724407066,0.42857142857142855,2.412157850728895,0.5245901639344263,0.7392241074886102,23.655171439635527,0.53125,1.9760686032918258,0.47540983606557374,0.10220329904967954,2.9638956724407066,0.41379310344827586,1.3258138934500274
2018,Boise State,Mountain West,80,16,-0.05627450296753867,-4.501960237403094,0.35,1.0115751559213098,0.7,0.2727272727272727,1.7454545454545456,58,0.3939393939393939,13,0.0,0.0,4,3.5,72.1,1.241,0.1625,0.0875,0.075,0.6375,-0.0631701215746945,0.43137254901960786,0.848688706095889,0.3625,-0.04414772541702326,0.20689655172413793,1.608825471947852,0.4125,-0.006236006995406893,-0.20578823084842746,0.42424242424242425,0.7992592353575714,0.5875,-0.091407915033078,-4.2961720065546665,0.2978723404255319,1.223891076485048,61,16,-0.11348548354287588,-6.922614496115429,0.22950819672131148,1.1703570346351622,0.75,0.3170731707317073,2.0414634146341464,84,0.7560975609756098,31,2.24390243902439,92.0,6,2.1666666666666665,65.3,-1.766,0.18032786885245902,0.14754098360655737,0.03278688524590164,0.5081967213114754,0.03931467055817535,0.25806451612903225,1.6487513048869877,0.4918032786885246,-0.27137897611396217,-1.9511066048533878,0.2,0.5324980076327281,0.6721311475409836,-0.16328715221403184,-6.694773240775305,0.1951219512195122,0.9263497178441881,0.29508196721311475,-0.10839481138074376,-1.9511066048533878,0.2222222222222222,1.8127338481563755
