GameID,Date,Season,Team,PlayerID,Player,Position,Jersey,minutes,fieldGoalsMade-fieldGoalsAttempted,threePointFieldGoalsMade-threePointFieldGoalsAttempted,freeThrowsMade-freeThrowsAttempted,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,points
401856955,2026-06-02,2026,Sun,4433635,Diamond Miller,F,1,26,2-6,0-3,4-4,0,3,3,1,0,0,1,4,-8,8
401856955,2026-06-02,2026,Sun,4684384,Aneesah Morrow,F,24,30,7-12,2-5,4-7,1,12,13,2,0,2,1,1,-15,20
401856955,2026-06-02,2026,Sun,2490553,Brittney Griner,C,42,29,3-8,0-0,1-2,0,4,4,3,2,3,1,2,-12,7
401856955,2026-06-02,2026,Sun,4433514,Saniya Rivers,G,22,29,4-6,1-1,2-2,0,1,1,2,0,0,0,0,-5,11
401856955,2026-06-02,2026,Sun,5208981,Leila Lacan,G,47,28,4-13,1-6,2-4,1,1,2,5,1,0,4,3,-15,11
401856955,2026-06-02,2026,Sun,5345319,Nell Angloma,F,33,10,2-3,0-0,2-2,0,0,0,0,3,0,1,2,-6,6
401856955,2026-06-02,2026,Sun,4398966,Olivia Nelson-Ododa,C,10,11,3-3,0-0,4-8,0,1,1,0,1,0,1,2,-4,10
401856955,2026-06-02,2026,Sun,3922628,Kennedy Burke,G,25,18,1-3,0-1,0-0,1,2,3,0,1,0,4,2,-7,2
401856955,2026-06-02,2026,Sun,4703609,Charlisse Leger-Walker,G,4,16,0-1,0-1,0-0,0,0,0,3,0,0,1,1,-11,0
401856955,2026-06-02,2026,Sun,4898898,Gianna Kneepkens,G,5,5,0-0,0-0,0-0,0,1,1,1,0,0,0,1,+3,0
401856955,2026-06-02,2026,Dream,4398915,Naz Hillmon,F,00,35,2-7,1-3,0-0,1,6,7,3,0,0,2,4,+13,5
401856955,2026-06-02,2026,Dream,4433402,Angel Reese,F,5,29,4-9,1-2,3-4,7,6,13,5,1,0,2,3,+23,12
401856955,2026-06-02,2026,Dream,3058901,Allisha Gray,G,15,36,9-17,3-9,5-7,1,6,7,2,1,1,2,2,+15,26
401856955,2026-06-02,2026,Dream,3142250,Jordin Canada,G,3,36,5-8,1-3,1-2,0,3,3,10,4,0,4,4,+17,12
401856955,2026-06-02,2026,Dream,4398674,Rhyne Howard,G,10,37,12-24,8-19,4-5,0,2,2,2,3,0,1,1,+18,36
401856955,2026-06-02,2026,Dream,5017721,Sika Kone,F,23,3,0-1,0-0,0-0,0,0,0,0,0,0,0,0,+1,0
401856955,2026-06-02,2026,Dream,5108587,Madina Okot,C,11,9,0-0,0-0,0-0,0,2,2,0,1,0,1,5,-6,0
401856955,2026-06-02,2026,Dream,4433431,Te-Hina Paopao,G,2,8,0-1,0-0,0-0,0,1,1,0,0,0,1,0,+4,0
401856955,2026-06-02,2026,Dream,4597509,Aaliyah Nye,G,32,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-1,0
401856955,2026-06-02,2026,Dream,5105740,Indya Nivar,G,21,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,-1,0
401856955,2026-06-02,2026,Dream,5208983,Isobel Borlase,G,20,5,0-1,0-1,0-0,0,0,0,0,0,0,0,0,-3,0
401856956,2026-06-02,2026,Sky,3142010,Azura Stevens,F,30,19,3-7,1-2,0-0,0,5,5,3,1,2,3,3,-9,7
401856956,2026-06-02,2026,Sky,4433405,Kamilla Cardoso,C,10,33,6-13,0-0,0-0,3,10,13,5,1,6,1,4,-12,12
401856956,2026-06-02,2026,Sky,2491205,Skylar Diggins,G,4,27,3-6,2-2,6-7,0,1,1,1,0,1,2,2,-12,14
401856956,2026-06-02,2026,Sky,2529137,Natasha Cloud,G,9,24,0-4,0-1,0-0,0,0,0,3,0,0,4,6,-19,0
401856956,2026-06-02,2026,Sky,4432865,Jacy Sheldon,G,0,31,4-7,1-2,0-0,0,0,0,1,0,0,2,2,-11,9
401856956,2026-06-02,2026,Sky,2566081,Elizabeth Williams,C,1,23,4-10,0-0,2-5,1,5,6,3,2,1,0,1,-13,10
401856956,2026-06-02,2026,Sky,2566186,Rachel Banham,G,24,18,2-4,1-3,0-0,0,0,0,2,0,0,2,1,-1,5
401856956,2026-06-02,2026,Sky,4433542,Saylor Poffenbarger,G,6,6,0-0,0-0,0-0,1,2,3,0,1,0,0,1,-2,0
401856956,2026-06-02,2026,Sky,4594786,Sydney Taylor,G,12,20,6-13,1-6,2-4,0,1,1,1,4,0,4,2,-11,15
401856956,2026-06-02,2026,Mystics,4282173,Michaela Onyenwere,F,12,22,5-6,1-2,2-2,3,4,7,2,1,0,5,1,+25,13
401856956,2026-06-02,2026,Mystics,4898384,Kiki Iriafen,F,44,27,4-11,1-3,6-10,3,8,11,2,0,0,1,2,+14,15
401856956,2026-06-02,2026,Mystics,4398911,Shakira Austin,C,0,25,5-13,1-1,6-9,1,7,8,1,3,1,5,0,+17,17
401856956,2026-06-02,2026,Mystics,4583144,Cotie McMahon,G,23,25,3-7,0-0,2-4,1,1,2,4,3,1,1,2,+6,8
401856956,2026-06-02,2026,Mystics,4704180,Georgia Amoore,G,8,21,1-3,1-2,0-0,1,0,1,2,0,0,0,4,+21,3
