GameID,Date,Season,Team,PlayerID,Player,Position,Jersey,minutes,fieldGoalsMade-fieldGoalsAttempted,threePointFieldGoalsMade-threePointFieldGoalsAttempted,freeThrowsMade-freeThrowsAttempted,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,points
401857107,2026-08-02,2026,Fever,3142255,Monique Billings,F,25,23,3-5,0-1,3-4,0,3,3,2,1,0,0,0,-11,9
401857107,2026-08-02,2026,Fever,4432831,Aliyah Boston,C,7,33,7-14,1-4,0-0,1,7,8,7,0,0,3,5,-8,15
401857107,2026-08-02,2026,Fever,3142191,Kelsey Mitchell,G,0,35,14-21,6-8,3-4,0,1,1,3,1,0,1,1,-6,37
401857107,2026-08-02,2026,Fever,4398829,Lexie Hull,G,10,14,2-2,1-1,1-1,1,1,2,1,0,0,1,2,-3,6
401857107,2026-08-02,2026,Fever,4433403,Caitlin Clark,G,22,34,8-18,2-9,1-1,0,1,1,10,1,0,4,1,-7,19
401857107,2026-08-02,2026,Fever,3142055,Myisha Hines-Allen,F,2,2,0-1,0-0,0-0,2,0,2,1,0,0,1,0,-3,0
401857107,2026-08-02,2026,Fever,4433546,Makayla Timpson,F,21,21,3-4,0-0,1-3,1,4,5,0,1,2,0,3,+6,7
401857107,2026-08-02,2026,Fever,3907781,Sophie Cunningham,G,8,23,1-2,1-1,0-0,0,1,1,2,0,0,0,1,+1,3
401857107,2026-08-02,2026,Fever,4065760,Tyasha Harris,G,52,10,0-0,0-0,2-2,0,0,0,1,0,0,1,1,0,2
401857107,2026-08-02,2026,Fever,4433797,Raven Johnson,G,3,4,1-1,0-0,0-0,0,0,0,0,0,0,1,1,-9,2
401857107,2026-08-02,2026,Lynx,2529130,Natasha Howard,F,1,23,6-9,0-0,1-2,3,1,4,5,2,0,1,4,+16,13
401857107,2026-08-02,2026,Lynx,3917450,Napheesa Collier,F,24,31,6-13,3-5,3-4,1,7,8,7,1,1,0,1,+16,18
401857107,2026-08-02,2026,Lynx,2529205,Kayla McBride,G,21,29,4-10,2-6,0-0,1,2,3,1,0,0,1,1,+6,10
401857107,2026-08-02,2026,Lynx,2987891,Courtney Williams,G,10,34,12-20,2-4,1-2,1,3,4,5,0,0,0,2,+18,27
401857107,2026-08-02,2026,Lynx,4433791,Olivia Miles,G,5,32,11-14,3-6,3-3,0,4,4,6,0,1,3,5,-1,28
401857107,2026-08-02,2026,Lynx,3054590,Nia Coffey,F,12,15,2-4,0-1,0-0,1,1,2,0,1,0,0,1,-6,4
