week,season,game_id,date,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,winner,point_differential,status,away_firstDowns,away_firstDownsPassing,away_firstDownsRushing,away_firstDownsPenalty,away_thirdDownConversions,away_thirdDownAttempts,away_fourthDownConversions,away_fourthDownAttempts,away_totalOffensivePlays,away_totalYards,away_yardsPerPlay,away_totalDrives,away_netPassingYards,away_completions,away_passAttempts,away_yardsPerPass,away_interceptions,away_sacks,away_sackYardsLost,away_rushingYards,away_rushingAttempts,away_yardsPerRushAttempt,away_redZoneAttempts,away_penalties,away_penaltyYards,away_turnovers,away_fumblesLost,away_defensiveTouchdowns,away_possessionTime,home_firstDowns,home_firstDownsPassing,home_firstDownsRushing,home_firstDownsPenalty,home_thirdDownConversions,home_thirdDownAttempts,home_fourthDownConversions,home_fourthDownAttempts,home_totalOffensivePlays,home_totalYards,home_yardsPerPlay,home_totalDrives,home_netPassingYards,home_completions,home_passAttempts,home_yardsPerPass,home_interceptions,home_sacks,home_sackYardsLost,home_rushingYards,home_rushingAttempts,home_yardsPerRushAttempt,home_redZoneAttempts,home_penalties,home_penaltyYards,home_turnovers,home_fumblesLost,home_defensiveTouchdowns,home_possessionTime,attendance,venue,venue_city,venue_state
7,2024,401671816,2024-10-18T00:15Z,Denver Broncos,DEN,33,New Orleans Saints,NO,10,Denver Broncos,23,Final,22,8,13,1,4,11,0,0,61,389,6.4,11,164,16,26,6.3,0,0,0,225,35,6.4,2-3,7,47,1,1,1,33:16,15,7,6,2,5,17,3,4,66,271,4.1,12,174,28,39,3.9,0,6,36,97,21,4.6,1-2,5,35,2,2,0,26:44,70008,Caesars Superdome,New Orleans,LA
7,2024,401671801,2024-10-20T13:30Z,New England Patriots,NE,16,Jacksonville Jaguars,JAX,32,Jacksonville Jaguars,16,Final,17,13,2,2,6,12,0,1,54,295,5.5,9,257,26,37,6.6,0,2,19,38,15,2.5,2-2,7,35,0,0,0,26:45,23,9,13,1,6,10,0,1,59,364,6.2,8,193,15,20,9.7,0,0,0,171,39,4.4,3-5,4,24,0,0,1,33:15,86651,Wembley Stadium,London,
7,2024,401671730,2024-10-20T17:00Z,Seattle Seahawks,SEA,34,Atlanta Falcons,ATL,14,Seattle Seahawks,20,Final,20,12,5,3,4,11,1,1,56,339,6.1,9,236,19,29,7.9,0,1,6,103,26,4.0,1-2,5,42,0,0,1,28:52,22,13,8,1,8,15,2,2,71,369,5.2,11,214,25,36,5.5,2,3,32,155,32,4.8,2-2,9,72,3,1,0,31:08,70691,Mercedes-Benz Stadium,Atlanta,GA
7,2024,401671616,2024-10-20T17:00Z,Tennessee Titans,TEN,10,Buffalo Bills,BUF,34,Buffalo Bills,24,Final,18,13,2,3,6,16,1,2,67,289,4.3,12,200,25,40,4.7,1,3,15,89,24,3.7,1-3,8,52,2,1,0,32:46,18,14,3,1,3,10,0,0,54,389,7.2,11,315,21,33,9.3,0,1,8,74,20,3.7,4-6,5,40,0,0,0,27:14,70842,Highmark Stadium,Orchard Park,NY
7,2024,401671853,2024-10-20T17:00Z,Cincinnati Bengals,CIN,21,Cleveland Browns,CLE,14,Cincinnati Bengals,7,Final,12,8,3,1,2,13,0,1,53,223,4.2,14,164,15,25,5.9,0,3,17,59,25,2.4,1-1,3,37,0,0,1,25:31,18,12,5,1,8,19,1,2,77,336,4.4,14,259,31,52,4.6,2,4,18,77,21,3.7,2-2,10,80,2,0,0,34:29,68143,Huntington Bank Field,Cleveland,OH
7,2024,401671644,2024-10-20T17:00Z,Houston Texans,HOU,22,Green Bay Packers,GB,24,Green Bay Packers,2,Final,15,6,9,0,4,13,0,0,58,197,3.4,12,55,10,21,2.2,0,4,31,142,33,4.3,2-4,5,55,0,0,0,31:17,18,12,4,2,4,10,0,0,56,277,4.9,11,195,24,33,5.4,2,3,25,82,20,4.1,2-2,8,55,3,1,0,28:43,78197,Lambeau Field,Green Bay,WI
7,2024,401671864,2024-10-20T17:00Z,Miami Dolphins,MIA,10,Indianapolis Colts,IND,16,Indianapolis Colts,6,Final,18,8,9,1,6,15,0,1,68,337,5.0,12,149,15,26,5.3,0,2,12,188,40,4.7,1-3,6,50,2,2,0,31:11,16,6,10,0,4,13,0,0,61,284,4.7,13,129,10,24,5.4,0,0,0,155,37,4.2,1-3,4,25,1,1,0,28:49,66299,Lucas Oil Stadium,Indianapolis,IN
7,2024,401671724,2024-10-20T17:00Z,Detroit Lions,DET,31,Minnesota Vikings,MIN,29,Detroit Lions,2,Final,19,15,3,1,4,10,0,1,56,391,7.0,11,247,22,25,8.5,0,4,33,144,27,5.3,1-1,8,49,1,1,0,29:03,16,10,4,2,4,10,0,0,52,383,7.4,11,244,22,27,7.9,1,4,15,139,21,6.6,0-0,8,59,1,0,1,30:57,66971,U.S. Bank Stadium,Minneapolis,MN
7,2024,401671710,2024-10-20T17:00Z,Philadelphia Eagles,PHI,28,New York Giants,NYG,3,Philadelphia Eagles,25,Final,20,6,13,1,1,13,3,3,65,339,5.2,13,70,10,15,3.5,0,5,44,269,45,6.0,3-3,6,35,0,0,0,35:20,10,6,4,0,3,14,0,0,55,119,2.2,13,43,17,29,1.2,0,8,62,76,18,4.2,0-1,5,35,0,0,0,24:40,82779,MetLife Stadium,East Rutherford,NJ
7,2024,401671663,2024-10-20T20:05Z,Las Vegas Raiders,LV,15,Los Angeles Rams,LAR,20,Los Angeles Rams,5,Final,20,12,7,1,3,15,1,1,75,317,4.2,13,195,21,44,4.2,3,2,11,122,29,4.2,0-2,10,80,4,1,0,33:48,15,6,7,2,2,10,0,1,52,259,5.0,12,144,14,23,6.0,1,1,10,115,28,4.1,2-3,3,28,1,0,1,26:12,73267,SoFi Stadium,Inglewood,CA
