gameId,season,seasonType,startDate,team,conference,opponent,opponentConference,seasonLabel,tournament,startTimeTbd,teamId,teamSeed,opponentId,opponentSeed,neutralSite,isHome,conferenceGame,gameType,notes,gameMinutes,pace,team_possessions,team_assists,team_steals,team_blocks,team_trueShooting,team_rating,team_gameScore,team_points.total,team_points.byPeriod,team_points.largestLead,team_points.fastBreak,team_points.inPaint,team_points.offTurnovers,team_twoPointFieldGoals.made,team_twoPointFieldGoals.attempted,team_twoPointFieldGoals.pct,team_threePointFieldGoals.made,team_threePointFieldGoals.attempted,team_threePointFieldGoals.pct,team_freeThrows.made,team_freeThrows.attempted,team_freeThrows.pct,team_fieldGoals.made,team_fieldGoals.attempted,team_fieldGoals.pct,team_turnovers.total,team_turnovers.teamTotal,team_rebounds.offensive,team_rebounds.defensive,team_rebounds.total,team_fouls.total,team_fouls.technical,team_fouls.flagrant,team_fourFactors.effectiveFieldGoalPct,team_fourFactors.freeThrowRate,team_fourFactors.turnoverRatio,team_fourFactors.offensiveReboundPct,opp_possessions,opp_assists,opp_steals,opp_blocks,opp_trueShooting,opp_rating,opp_gameScore,opp_points.total,opp_points.byPeriod,opp_points.largestLead,opp_points.fastBreak,opp_points.inPaint,opp_points.offTurnovers,opp_twoPointFieldGoals.made,opp_twoPointFieldGoals.attempted,opp_twoPointFieldGoals.pct,opp_threePointFieldGoals.made,opp_threePointFieldGoals.attempted,opp_threePointFieldGoals.pct,opp_freeThrows.made,opp_freeThrows.attempted,opp_freeThrows.pct,opp_fieldGoals.made,opp_fieldGoals.attempted,opp_fieldGoals.pct,opp_turnovers.total,opp_turnovers.teamTotal,opp_rebounds.offensive,opp_rebounds.defensive,opp_rebounds.total,opp_fouls.total,opp_fouls.technical,opp_fouls.flagrant,opp_fourFactors.effectiveFieldGoalPct,opp_fourFactors.freeThrowRate,opp_fourFactors.turnoverRatio,opp_fourFactors.offensiveReboundPct
212786,2026,regular,2025-11-03T18:30:00.000Z,Murray State,MVC,Omaha,Summit,20252026,,False,184,,221,,True,True,False,STD,Field of 68 Opening Day Marathon,40,78.0,78.0,12.0,8.0,4.0,57.8,109.0,63.3,85,"[34, 51]",18.0,18.0,28.0,17.0,14.0,27.0,51.9,9.0,32.0,28.1,30.0,33.0,90.9,23.0,59.0,39.0,14.0,0.0,10.0,26.0,36.0,21.0,0.0,0.0,46.6,55.9,17.9,27.8,78.0,6.0,8.0,2.0,53.5,98.7,44.90000000000001,77,"[31, 46]",7.0,11.0,38.0,14.0,26.0,52.0,50.0,4.0,12.0,33.3,13.0,18.0,72.2,30.0,64.0,46.9,17.0,0.0,10.0,25.0,35.0,21.0,0.0,0.0,50.0,28.1,21.8,28.6
212786,2026,regular,2025-11-03T18:30:00.000Z,Omaha,Summit,Murray State,MVC,20252026,,False,221,,184,,True,False,False,STD,Field of 68 Opening Day Marathon,40,78.0,78.0,6.0,8.0,2.0,53.5,98.7,44.90000000000001,77,"[31, 46]",7.0,11.0,38.0,14.0,26.0,52.0,50.0,4.0,12.0,33.3,13.0,18.0,72.2,30.0,64.0,46.9,17.0,0.0,10.0,25.0,35.0,21.0,0.0,0.0,50.0,28.1,21.8,28.6,78.0,12.0,8.0,4.0,57.8,109.0,63.3,85,"[34, 51]",18.0,18.0,28.0,17.0,14.0,27.0,51.9,9.0,32.0,28.1,30.0,33.0,90.9,23.0,59.0,39.0,14.0,0.0,10.0,26.0,36.0,21.0,0.0,0.0,46.6,55.9,17.9,27.8
215245,2026,regular,2025-11-03T20:00:00.000Z,Stephen F. Austin,Southland,Millsaps,,20252026,,False,282,,843,,False,True,False,STD,,40,80.5,81.0,20.0,9.0,4.0,56.0,127.2,91.0,103,"[57, 46]",30.0,14.0,50.0,24.0,28.0,53.0,52.8,11.0,28.0,39.3,14.0,25.0,56.0,39.0,81.0,48.1,7.0,0.0,20.0,29.0,49.0,20.0,0.0,0.0,54.9,30.9,8.6,40.8,80.0,7.0,5.0,2.0,52.5,95.0,44.2,76,"[35, 41]",0.0,4.0,34.0,10.0,23.0,44.0,52.3,5.0,17.0,29.4,15.0,26.0,57.7,28.0,61.0,45.9,15.0,0.0,9.0,25.0,34.0,15.0,0.0,0.0,50.0,42.6,18.8,26.5
215245,2026,regular,2025-11-03T20:00:00.000Z,Millsaps,,Stephen F. Austin,Southland,20252026,,False,843,,282,,False,False,False,STD,,40,80.5,80.0,7.0,5.0,2.0,52.5,95.0,44.2,76,"[35, 41]",0.0,4.0,34.0,10.0,23.0,44.0,52.3,5.0,17.0,29.4,15.0,26.0,57.7,28.0,61.0,45.9,15.0,0.0,9.0,25.0,34.0,15.0,0.0,0.0,50.0,42.6,18.8,26.5,81.0,20.0,9.0,4.0,56.0,127.2,91.0,103,"[57, 46]",30.0,14.0,50.0,24.0,28.0,53.0,52.8,11.0,28.0,39.3,14.0,25.0,56.0,39.0,81.0,48.1,7.0,0.0,20.0,29.0,49.0,20.0,0.0,0.0,54.9,30.9,8.6,40.8
212787,2026,regular,2025-11-03T21:00:00.000Z,Drake,MVC,Northern Arizona,Big Sky,20252026,,False,70,,206,,True,True,False,STD,,40,68.5,68.0,13.0,2.0,5.0,55.3,113.2,62.19999999999999,77,"[28, 49]",9.0,4.0,34.0,10.0,20.0,38.0,52.6,7.0,22.0,31.8,16.0,22.0,72.7,27.0,60.0,45.0,10.0,0.0,12.0,34.0,46.0,11.0,0.0,0.0,50.8,36.7,14.7,26.1,69.0,14.0,3.0,1.0,45.4,102.9,45.900000000000006,71,"[31, 40]",11.0,8.0,30.0,10.0,17.0,49.0,34.7,10.0,24.0,41.7,7.0,12.0,58.3,27.0,73.0,37.0,6.0,0.0,15.0,24.0,39.0,20.0,0.0,0.0,43.8,16.4,8.7,38.5
212787,2026,regular,2025-11-03T21:00:00.000Z,Northern Arizona,Big Sky,Drake,MVC,20252026,,False,206,,70,,True,False,False,STD,,40,68.5,69.0,14.0,3.0,1.0,45.4,102.9,45.900000000000006,71,"[31, 40]",11.0,8.0,30.0,10.0,17.0,49.0,34.7,10.0,24.0,41.7,7.0,12.0,58.3,27.0,73.0,37.0,6.0,0.0,15.0,24.0,39.0,20.0,0.0,0.0,43.8,16.4,8.7,38.5,68.0,13.0,2.0,5.0,55.3,113.2,62.19999999999999,77,"[28, 49]",9.0,4.0,34.0,10.0,20.0,38.0,52.6,7.0,22.0,31.8,16.0,22.0,72.7,27.0,60.0,45.0,10.0,0.0,12.0,34.0,46.0,11.0,0.0,0.0,50.8,36.7,14.7,26.1
212788,2026,regular,2025-11-03T22:00:00.000Z,Thomas (ME),,Stonehill,NEC,20252026,,False,752,,284,,False,False,False,STD,,40,76.0,76.0,7.0,3.0,2.0,34.9,63.2,4.400000000000002,48,"[16, 32]",2.0,2.0,12.0,9.0,6.0,30.0,20.0,8.0,29.0,27.6,12.0,22.0,54.5,14.0,59.0,23.7,15.0,3.0,9.0,21.0,30.0,27.0,0.0,0.0,30.5,37.3,19.7,30.0,76.0,21.0,7.0,4.0,64.8,131.6,93.69999999999999,100,"[52, 48]",59.0,16.0,48.0,26.0,27.0,39.0,69.2,9.0,25.0,36.0,19.0,30.0,63.3,36.0,64.0,56.3,12.0,0.0,14.0,42.0,56.0,16.0,0.0,0.0,63.3,46.9,15.8,25.0
212788,2026,regular,2025-11-03T22:00:00.000Z,Stonehill,NEC,Thomas (ME),,20252026,,False,284,,752,,False,True,False,STD,,40,76.0,76.0,21.0,7.0,4.0,64.8,131.6,93.69999999999999,100,"[52, 48]",59.0,16.0,48.0,26.0,27.0,39.0,69.2,9.0,25.0,36.0,19.0,30.0,63.3,36.0,64.0,56.3,12.0,0.0,14.0,42.0,56.0,16.0,0.0,0.0,63.3,46.9,15.8,25.0,76.0,7.0,3.0,2.0,34.9,63.2,4.400000000000002,48,"[16, 32]",2.0,2.0,12.0,9.0,6.0,30.0,20.0,8.0,29.0,27.6,12.0,22.0,54.5,14.0,59.0,23.7,15.0,3.0,9.0,21.0,30.0,27.0,0.0,0.0,30.5,37.3,19.7,30.0
212718,2026,regular,2025-11-03T23:00:00.000Z,Widener,,Drexel,CAA,20252026,,False,1214,,71,,False,False,False,STD,,40,82.5,82.0,8.0,10.0,4.0,40.9,72.0,26.599999999999994,59,"[23, 36]",0.0,11.0,36.0,19.0,21.0,49.0,42.9,4.0,20.0,20.0,5.0,7.0,71.4,25.0,69.0,36.2,18.0,0.0,8.0,25.0,33.0,17.0,0.0,0.0,39.1,10.1,22.0,24.2,83.0,27.0,15.0,10.0,54.4,112.0,95.1,93,"[44, 49]",37.0,24.0,60.0,19.0,30.0,46.0,65.2,8.0,32.0,25.0,9.0,17.0,52.9,38.0,78.0,48.7,17.0,1.0,20.0,36.0,56.0,10.0,0.0,0.0,53.8,21.8,20.5,35.7
212789,2026,regular,2025-11-03T23:00:00.000Z,VMI,SoCon,Johnson & Wales (NC),,20252026,,False,334,,881,,False,True,False,STD,,40,75.5,76.0,24.0,14.0,4.0,67.8,160.5,128.2,122,"[58, 64]",64.0,22.0,44.0,30.0,23.0,41.0,56.1,21.0,41.0,51.2,13.0,18.0,72.2,44.0,82.0,53.7,3.0,0.0,16.0,30.0,46.0,7.0,0.0,0.0,66.5,22.0,3.9,34.8,75.0,18.0,1.0,3.0,44.9,77.3,28.200000000000003,58,"[15, 43]",0.0,6.0,26.0,2.0,21.0,41.0,51.2,4.0,21.0,19.0,4.0,6.0,66.7,25.0,62.0,40.3,19.0,2.0,8.0,23.0,31.0,12.0,0.0,0.0,43.5,9.7,25.3,25.8
