year,team,conference,elo,week
2023,Air Force,Mountain West,1678,1
2023,Akron,Mid-American,1268,1
2023,Alabama,SEC,2029,1
2023,App State,Sun Belt,1562,1
2023,Arizona,Pac-12,1416,1
2023,Arizona State,Pac-12,1464,1
2023,Arkansas,SEC,1624,1
2023,Arkansas State,Sun Belt,1071,1
2023,Army,FBS Independents,1488,1
2023,Auburn,SEC,1638,1
2023,Ball State,Mid-American,1305,1
2023,Baylor,Big 12,1559,1
2023,Boise State,Mountain West,1540,1
2023,Boston College,ACC,1309,1
2023,Bowling Green,Mid-American,1246,1
2023,Buffalo,Mid-American,1396,1
2023,BYU,Big 12,1544,1
2023,California,Pac-12,1552,1
2023,Central Michigan,Mid-American,1328,1
2023,Charlotte,American Athletic,1220,1
2023,Cincinnati,Big 12,1626,1
2023,Clemson,ACC,1654,1
2023,Coastal Carolina,Sun Belt,1387,1
2023,Colorado,Pac-12,1196,1
2023,Colorado State,Mountain West,1290,1
2023,Duke,ACC,1592,1
2023,East Carolina,American Athletic,1481,1
2023,Eastern Michigan,Mid-American,1433,1
2023,Florida,SEC,1546,1
2023,Florida Atlantic,American Athletic,1424,1
2023,Florida International,Conference USA,1083,1
2023,Florida State,ACC,1792,1
2023,Fresno State,Mountain West,1671,1
2023,Georgia,SEC,2033,1
2023,Georgia Southern,Sun Belt,1418,1
2023,Georgia State,Sun Belt,1490,1
2023,Georgia Tech,ACC,1362,1
2023,Hawai'i,Mountain West,1220,1
2023,Houston,Big 12,1580,1
2023,Illinois,Big Ten,1664,1
2023,Indiana,Big Ten,1389,1
2023,Iowa,Big Ten,1664,1
2023,Iowa State,Big 12,1536,1
2023,Jacksonville State,Conference USA,1300,1
2023,James Madison,Sun Belt,1606,1
2023,Kansas,Big 12,1415,1
2023,Kansas State,Big 12,1740,1
2023,Kent State,Mid-American,1262,1
2023,Kentucky,SEC,1625,1
2023,Liberty,Conference USA,1446,1
2023,Louisiana,Sun Belt,1537,1
2023,Louisiana Tech,Conference USA,1216,1
2023,Louisville,ACC,1654,1
2023,LSU,SEC,1687,1
2023,Marshall,Sun Belt,1542,1
2023,Maryland,Big Ten,1596,1
2023,Massachusetts,FBS Independents,1048,1
2023,Memphis,American Athletic,1545,1
2023,Miami,ACC,1481,1
2023,Miami (OH),Mid-American,1316,1
2023,Michigan,Big Ten,1941,1
2023,Michigan State,Big Ten,1575,1
2023,Middle Tennessee,Conference USA,1340,1
2023,Minnesota,Big Ten,1671,1
2023,Mississippi State,SEC,1629,1
2023,Missouri,SEC,1480,1
2023,Navy,American Athletic,1385,1
2023,NC State,ACC,1553,1
2023,Nebraska,Big Ten,1522,1
2023,Nevada,Mountain West,1220,1
2023,New Mexico,Mountain West,1117,1
2023,New Mexico State,Conference USA,1150,1
2023,North Carolina,ACC,1579,1
2023,Northern Illinois,Mid-American,1309,1
2023,North Texas,American Athletic,1357,1
2023,Northwestern,Big Ten,1296,1
2023,Notre Dame,FBS Independents,1909,1
2023,Ohio,Mid-American,1366,1
2023,Ohio State,Big Ten,1903,1
2023,Oklahoma,Big 12,1793,1
2023,Oklahoma State,Big 12,1530,1
2023,Old Dominion,Sun Belt,1333,1
2023,Ole Miss,SEC,1589,1
2023,Oregon,Pac-12,1649,1
2023,Oregon State,Pac-12,1729,1
2023,Penn State,Big Ten,1849,1
2023,Pittsburgh,ACC,1624,1
2023,Purdue,Big Ten,1479,1
2023,Rice,American Athletic,1194,1
2023,Rutgers,Big Ten,1330,1
2023,Sam Houston,Conference USA,1473,1
2023,San Diego State,Mountain West,1537,1
2023,San José State,Mountain West,1378,1
2023,SMU,American Athletic,1535,1
2023,South Alabama,Sun Belt,1459,1
2023,South Carolina,SEC,1540,1
2023,Southern Miss,Sun Belt,1370,1
2023,South Florida,American Athletic,1249,1
2023,Stanford,Pac-12,1345,1
2023,Syracuse,ACC,1476,1
2023,TCU,Big 12,1613,1
2023,Temple,American Athletic,1263,1
2023,Tennessee,SEC,1887,1
2023,Texas,Big 12,1776,1
2023,Texas A&M,SEC,1656,1
2023,Texas State,Sun Belt,1349,1
2023,Texas Tech,Big 12,1585,1
2023,Toledo,Mid-American,1498,1
2023,Troy,Sun Belt,1556,1
2023,Tulane,American Athletic,1671,1
2023,Tulsa,American Athletic,1418,1
2023,UAB,American Athletic,1510,1
2023,UCF,Big 12,1668,1
2023,UCLA,Pac-12,1631,1
2023,UConn,FBS Independents,1264,1
2023,UL Monroe,Sun Belt,1255,1
2023,UNLV,Mountain West,1350,1
2023,USC,Pac-12,1817,1
2023,Utah,Pac-12,1784,1
2023,Utah State,Mountain West,1396,1
2023,UTEP,Conference USA,1369,1
2023,UTSA,American Athletic,1604,1
2023,Vanderbilt,SEC,1238,1
2023,Virginia,ACC,1339,1
2023,Virginia Tech,ACC,1421,1
2023,Wake Forest,ACC,1608,1
2023,Washington,Pac-12,1774,1
2023,Washington State,Pac-12,1602,1
2023,Western Kentucky,Conference USA,1632,1
2023,Western Michigan,Mid-American,1367,1
2023,West Virginia,Big 12,1422,1
2023,Wisconsin,Big Ten,1665,1
2023,Wyoming,Mountain West,1412,1
2023,Air Force,Mountain West,1677,2
2023,Akron,Mid-American,1094,2
2023,Alabama,SEC,1984,2
2023,App State,Sun Belt,1556,2
2023,Arizona,Pac-12,1418,2
2023,Arizona State,Pac-12,1444,2
2023,Arkansas,SEC,1641,2
2023,Arkansas State,Sun Belt,1032,2
2023,Army,FBS Independents,1530,2
2023,Auburn,SEC,1639,2
2023,Ball State,Mid-American,1273,2
2023,Baylor,Big 12,1563,2
2023,Boise State,Mountain West,1544,2
2023,Boston College,ACC,1434,2
2023,Bowling Green,Mid-American,1210,2
2023,Buffalo,Mid-American,1354,2
2023,BYU,Big 12,1544,2
2023,California,Pac-12,1551,2
2023,Central Michigan,Mid-American,1482,2
2023,Charlotte,American Athletic,1214,2
2023,Cincinnati,Big 12,1637,2
2023,Clemson,ACC,1684,2
2023,Coastal Carolina,Sun Belt,1425,2
2023,Colorado,Pac-12,1288,2
2023,Colorado State,Mountain West,1290,2
2023,Duke,ACC,1250,2
2023,East Carolina,American Athletic,1443,2
