year,team,conference,elo,week
2010,Akron,Mid-American,1201,1
2010,Alabama,SEC,1931,1
2010,Arizona,Pac-10,1682,1
2010,Arkansas State,Sun Belt,1275,1
2010,Army,FBS Independents,1293,1
2010,Auburn,SEC,1621,1
2010,Boise State,Western Athletic,1830,1
2010,Bowling Green,Mid-American,1473,1
2010,BYU,Mountain West,1723,1
2010,Cincinnati,Big East,1612,1
2010,Clemson,ACC,1709,1
2010,Coastal Carolina,Big South,1296,1
2010,Colorado,Big 12,1474,1
2010,Colorado State,Mountain West,1300,1
2010,East Carolina,Conference USA,1603,1
2010,Eastern Michigan,Mid-American,1106,1
2010,Florida,SEC,1910,1
2010,Florida Atlantic,Sun Belt,1312,1
2010,Fresno State,Western Athletic,1484,1
2010,Georgia,SEC,1730,1
2010,Hawai'i,Western Athletic,1318,1
2010,Houston,Conference USA,1692,1
2010,Illinois,Big Ten,1472,1
2010,Iowa State,Big 12,1465,1
2010,Kansas State,Big 12,1512,1
2010,Kentucky,SEC,1559,1
2010,Louisiana,Sun Belt,1174,1
2010,Louisville,Big East,1370,1
2010,LSU,SEC,1695,1
2010,Marshall,Conference USA,1312,1
2010,Maryland,ACC,1425,1
2010,Memphis,Conference USA,1174,1
2010,Miami (OH),Mid-American,1208,1
2010,Michigan,Big Ten,1529,1
2010,Michigan State,Big Ten,1598,1
2010,Middle Tennessee,Sun Belt,1507,1
2010,Minnesota,Big Ten,1493,1
2010,Mississippi State,SEC,1594,1
2010,Missouri,Big 12,1608,1
2010,Navy,FBS Independents,1596,1
2010,Nebraska,Big 12,1816,1
2010,New Mexico,Mountain West,1127,1
2010,North Carolina,ACC,1620,1
2010,Northern Illinois,Mid-American,1433,1
2010,North Texas,Sun Belt,1181,1
2010,Northwestern,Big Ten,1515,1
2010,Notre Dame,FBS Independents,1605,1
2010,Ohio State,Big Ten,1861,1
2010,Oklahoma,Big 12,1872,1
2010,Oklahoma State,Big 12,1712,1
2010,Oregon,Pac-10,1955,1
2010,Oregon State,Pac-10,1618,1
2010,Pittsburgh,Big East,1687,1
2010,Purdue,Big Ten,1480,1
2010,Rice,Conference USA,1175,1
2010,San José State,Western Athletic,1132,1
2010,SMU,Conference USA,1510,1
2010,South Carolina,SEC,1634,1
2010,Southern Miss,Conference USA,1464,1
2010,Syracuse,Big East,1446,1
2010,TCU,Mountain West,1883,1
2010,Texas,Big 12,1873,1
2010,Texas State,Southland,1317,1
2010,Texas Tech,Big 12,1789,1
2010,Toledo,Mid-American,1227,1
2010,Troy,Sun Belt,1511,1
2010,Tulsa,Conference USA,1497,1
2010,UAB,Conference USA,1375,1
2010,UCLA,Pac-10,1496,1
2010,UConn,Big East,1542,1
2010,UNLV,Mountain West,1308,1
2010,USC,Pac-10,1695,1
2010,Utah,Mountain West,1666,1
2010,Utah State,Western Athletic,1389,1
2010,Vanderbilt,SEC,1431,1
2010,Virginia Tech,ACC,1786,1
2010,Washington,Pac-10,1486,1
2010,Washington State,Pac-10,1036,1
2010,Western Kentucky,Sun Belt,1117,1
2010,Western Michigan,Mid-American,1323,1
2010,West Virginia,Big East,1649,1
2010,Wisconsin,Big Ten,1689,1
2010,Air Force,Mountain West,1705,2
2010,Akron,Mid-American,1201,2
2010,Alabama,SEC,1964,2
2010,Arizona,Pac-10,1682,2
2010,Arkansas,SEC,1701,2
2010,Arkansas State,Sun Belt,1260,2
2010,Army,FBS Independents,1290,2
2010,Auburn,SEC,1624,2
2010,Ball State,Mid-American,1362,2
2010,Baylor,Big 12,1493,2
2010,Boise State,Western Athletic,1830,2
2010,Boston College,ACC,1567,2
2010,Bowling Green,Mid-American,1450,2
2010,Buffalo,Mid-American,1347,2
2010,BYU,Mountain West,1665,2
2010,California,Pac-10,1662,2
2010,Central Michigan,Mid-American,1618,2
2010,Cincinnati,Big East,1612,2
2010,Clemson,ACC,1709,2
2010,Coastal Carolina,Big South,1296,2
2010,Colorado,Big 12,1348,2
2010,Colorado State,Mountain West,1203,2
2010,Duke,ACC,1408,2
2010,East Carolina,Conference USA,1614,2
2010,Eastern Michigan,Mid-American,1102,2
2010,Florida,SEC,1929,2
2010,Florida Atlantic,Sun Belt,1314,2
2010,Florida International,Sun Belt,1262,2
2010,Florida State,ACC,1572,2
2010,Fresno State,Western Athletic,1484,2
2010,Georgia,SEC,1703,2
2010,Georgia Southern,Southern,1430,2
2010,Georgia Tech,ACC,1673,2
2010,Hawai'i,Western Athletic,1321,2
2010,Houston,Conference USA,1740,2
2010,Idaho,Western Athletic,1291,2
2010,Illinois,Big Ten,1472,2
2010,Iowa,Big Ten,1740,2
2010,Iowa State,Big 12,1418,2
2010,James Madison,CAA,1469,2
2010,Kansas,Big 12,1576,2
2010,Kansas State,Big 12,1512,2
2010,Kent State,Mid-American,1337,2
2010,Kentucky,SEC,1603,2
2010,Liberty,Big South,1445,2
