year,team,conference,elo,week
2013,Akron,Mid-American,1119,1
2013,Alabama,SEC,2025,1
2013,Arkansas,SEC,1584,1
2013,Auburn,SEC,1400,1
2013,Boise State,Mountain West,1619,1
2013,Bowling Green,Mid-American,1543,1
2013,Buffalo,Mid-American,1289,1
2013,BYU,FBS Independents,1667,1
2013,California,Pac-12,1378,1
2013,Central Michigan,Mid-American,1249,1
2013,Cincinnati,American Athletic,1725,1
2013,Clemson,ACC,1737,1
2013,Colorado,Pac-12,1183,1
2013,Colorado State,Mountain West,1279,1
2013,East Carolina,Conference USA,1450,1
2013,Florida,SEC,1760,1
2013,Florida Atlantic,Conference USA,1241,1
2013,Florida International,Conference USA,1291,1
2013,Florida State,ACC,1866,1
2013,Fresno State,Mountain West,1578,1
2013,Georgia,SEC,1835,1
2013,Hawai'i,Mountain West,1300,1
2013,Idaho,FBS Independents,1036,1
2013,Iowa,Big Ten,1503,1
2013,Kent State,Mid-American,1536,1
2013,Kentucky,SEC,1272,1
2013,Liberty,Big South,1461,1
2013,Louisiana,Sun Belt,1458,1
2013,Louisiana Tech,Conference USA,1522,1
2013,Louisville,American Athletic,1702,1
2013,LSU,SEC,1828,1
2013,Marshall,Conference USA,1483,1
2013,Maryland,ACC,1494,1
2013,Massachusetts,Mid-American,1052,1
2013,Miami,ACC,1623,1
2013,Miami (OH),Mid-American,1182,1
2013,Michigan,Big Ten,1840,1
2013,Michigan State,Big Ten,1645,1
2013,Minnesota,Big Ten,1466,1
2013,Mississippi State,SEC,1570,1
2013,NC State,ACC,1604,1
2013,Nebraska,Big Ten,1611,1
2013,Nevada,Mountain West,1451,1
2013,New Mexico,Mountain West,1242,1
2013,New Mexico State,FBS Independents,999,1
2013,North Carolina,ACC,1612,1
2013,Northern Illinois,Mid-American,1689,1
2013,North Texas,Conference USA,1399,1
2013,Northwestern,Big Ten,1634,1
2013,Notre Dame,FBS Independents,1802,1
2013,Ohio,Mid-American,1368,1
2013,Ohio State,Big Ten,1747,1
2013,Oklahoma,Big 12,1806,1
2013,Oklahoma State,Big 12,1870,1
2013,Ole Miss,SEC,1604,1
2013,Penn State,Big Ten,1676,1
2013,Pittsburgh,ACC,1530,1
2013,Purdue,Big Ten,1339,1
2013,Rice,Conference USA,1471,1
2013,Rutgers,American Athletic,1566,1
2013,SMU,American Athletic,1529,1
2013,South Carolina,SEC,1785,1
2013,Southern Miss,Conference USA,1263,1
2013,Syracuse,ACC,1619,1
2013,TCU,Big 12,1649,1
2013,Temple,American Athletic,1426,1
2013,Texas,Big 12,1695,1
2013,Texas A&M,SEC,1913,1
2013,Texas State,Sun Belt,1365,1
2013,Texas Tech,Big 12,1579,1
2013,Toledo,Mid-American,1465,1
2013,Troy,Sun Belt,1415,1
2013,Tulsa,Conference USA,1542,1
2013,UAB,Conference USA,1203,1
2013,UCF,American Athletic,1681,1
2013,UCLA,Pac-12,1717,1
2013,UL Monroe,Sun Belt,1381,1
2013,UNLV,Mountain West,1158,1
2013,USC,Pac-12,1693,1
2013,Utah,Pac-12,1517,1
2013,Utah State,Mountain West,1659,1
2013,UTSA,Conference USA,1358,1
2013,Vanderbilt,SEC,1644,1
2013,Virginia,ACC,1425,1
2013,Virginia Tech,ACC,1555,1
2013,Washington,Pac-12,1632,1
2013,Washington State,Pac-12,1306,1
2013,Western Kentucky,Sun Belt,1450,1
2013,Western Michigan,Mid-American,1417,1
2013,Wisconsin,Big Ten,1880,1
2013,Wyoming,Mountain West,1387,1
2013,Air Force,Mountain West,1344,2
2013,Akron,Mid-American,1123,2
2013,Alabama,SEC,2025,2
2013,Arizona,Pac-12,1577,2
2013,Arkansas,SEC,1584,2
2013,Arkansas State,Sun Belt,1515,2
2013,Army,FBS Independents,1263,2
2013,Auburn,SEC,1506,2
2013,Ball State,Mid-American,1493,2
2013,Baylor,Big 12,1820,2
2013,Boise State,Mountain West,1619,2
2013,Boston College,ACC,1404,2
2013,Bowling Green,Mid-American,1590,2
2013,Buffalo,Mid-American,1171,2
2013,BYU,FBS Independents,1713,2
2013,California,Pac-12,1378,2
2013,Central Michigan,Mid-American,1249,2
2013,Cincinnati,American Athletic,1591,2
2013,Clemson,ACC,1737,2
2013,Colorado,Pac-12,1183,2
