year,team,conference,elo,week
2012,Navy,FBS Independents,1413,2
2012,NC State,ACC,1570,2
2012,Nebraska,Big Ten,1689,2
2012,Nevada,Mountain West,1636,2
2012,New Mexico,Mountain West,1008,2
2012,New Mexico State,Western Athletic,1144,2
2012,North Carolina,ACC,1566,2
2012,Northern Illinois,Mid-American,1653,2
2012,North Texas,Sun Belt,1392,2
2012,Northwestern,Big Ten,1531,2
2012,Notre Dame,FBS Independents,1792,2
2012,Ohio,Mid-American,1538,2
2012,Ohio State,Big Ten,1791,2
2012,Oklahoma,Big 12,1825,2
2012,Oklahoma State,Big 12,1835,2
2012,Ole Miss,SEC,1372,2
2012,Oregon,Pac-12,1900,2
2012,Oregon State,Pac-12,1496,2
2012,Penn State,Big Ten,1534,2
2012,Pittsburgh,Big East,1491,2
2012,Purdue,Big Ten,1429,2
2012,Rice,Conference USA,1233,2
2012,Rutgers,Big East,1532,2
2012,San Diego State,Mountain West,1574,2
2012,San José State,Western Athletic,1308,2
2012,SMU,Conference USA,1418,2
2012,South Alabama,Sun Belt,1457,2
2012,South Carolina,SEC,1807,2
2012,Southern Miss,Conference USA,1629,2
2012,South Florida,Big East,1567,2
2012,Stanford,Pac-12,1915,2
2012,Syracuse,Big East,1453,2
2012,Temple,Big East,1605,2
2012,Tennessee,SEC,1643,2
2012,Texas,Big 12,1707,2
2012,Texas A&M,SEC,1707,2
2012,Texas State,Western Athletic,1247,2
2012,Texas Tech,Big 12,1536,2
2012,Toledo,Mid-American,1552,2
2012,Troy,Sun Belt,1279,2
2012,Tulane,Conference USA,1100,2
2012,Tulsa,Conference USA,1641,2
2012,UAB,Conference USA,1179,2
2012,UCF,Conference USA,1594,2
2012,UCLA,Pac-12,1484,2
2012,UConn,Big East,1592,2
2012,UL Monroe,Sun Belt,1424,2
2012,UNLV,Mountain West,1173,2
2012,USC,Pac-12,1821,2
2012,Utah,Pac-12,1568,2
2012,Utah State,Western Athletic,1442,2
2012,UTEP,Conference USA,1344,2
2012,UTSA,Western Athletic,1500,2
2012,Vanderbilt,SEC,1555,2
2012,Virginia,ACC,1433,2
2012,Virginia Tech,ACC,1678,2
2012,Wake Forest,ACC,1411,2
2012,Washington,Pac-12,1468,2
2012,Washington State,Pac-12,1371,2
2012,Western Kentucky,Sun Belt,1396,2
2012,Western Michigan,Mid-American,1480,2
2012,West Virginia,Big 12,1749,2
2012,Wisconsin,Big Ten,1898,2
2012,Wyoming,Mountain West,1391,2
2012,Air Force,Mountain West,1552,3
2012,Akron,Mid-American,949,3
2012,Alabama,SEC,2183,3
2012,App State,Southern,1327,3
2012,Arizona,Pac-12,1605,3
2012,Arizona State,Pac-12,1640,3
2012,Arkansas,SEC,1653,3
2012,Arkansas State,Sun Belt,1452,3
2012,Army,FBS Independents,1301,3
2012,Auburn,SEC,1538,3
2012,Ball State,Mid-American,1291,3
2012,Baylor,Big 12,1700,3
2012,Boise State,Mountain West,1880,3
2012,Boston College,ACC,1472,3
2012,Bowling Green,Mid-American,1323,3
2012,Buffalo,Mid-American,1253,3
2012,BYU,FBS Independents,1644,3
2012,California,Pac-12,1544,3
2012,Central Michigan,Mid-American,1252,3
2012,Cincinnati,Big East,1656,3
2012,Clemson,ACC,1638,3
2012,Colorado,Pac-12,1150,3
2012,Colorado State,Mountain West,1227,3
2012,Duke,ACC,1395,3
2012,East Carolina,Conference USA,1402,3
2012,Eastern Michigan,Mid-American,1135,3
2012,Florida,SEC,1706,3
2012,Florida Atlantic,Sun Belt,1064,3
2012,Florida International,Sun Belt,1384,3
2012,Florida State,ACC,1875,3
2012,Fresno State,Mountain West,1550,3
2012,Georgia,SEC,1810,3
2012,Georgia State,CAA,1235,3
2012,Georgia Tech,ACC,1685,3
2012,Hawai'i,Mountain West,1355,3
2012,Houston,Conference USA,1567,3
2012,Idaho,Western Athletic,1156,3
2012,Illinois,Big Ten,1469,3
2012,Indiana,Big Ten,1376,3
2012,Iowa,Big Ten,1586,3
2012,Iowa State,Big 12,1547,3
2012,James Madison,CAA,1387,3
2012,Kansas,Big 12,1227,3
2012,Kansas State,Big 12,1728,3
2012,Kent State,Mid-American,1272,3
2012,Kentucky,SEC,1451,3
2012,Liberty,Big South,1450,3
2012,Louisiana,Sun Belt,1360,3
2012,Louisiana Tech,Western Athletic,1601,3
2012,Louisville,Big East,1598,3
2012,LSU,SEC,2065,3
2012,Marshall,Conference USA,1336,3
2012,Maryland,ACC,1429,3
2012,Massachusetts,Mid-American,1116,3
2012,Memphis,Conference USA,1076,3
2012,Miami,ACC,1525,3
2012,Miami (OH),Mid-American,1319,3
2012,Michigan,Big Ten,1771,3
2012,Michigan State,Big Ten,1737,3
2012,Middle Tennessee,Sun Belt,1218,3
2012,Minnesota,Big Ten,1370,3
2012,Mississippi State,SEC,1628,3
2012,Missouri,SEC,1610,3
2012,Navy,FBS Independents,1357,3
2012,NC State,ACC,1617,3
2012,Nebraska,Big Ten,1744,3
2012,Nevada,Mountain West,1636,3
2012,New Mexico,Mountain West,974,3
2012,New Mexico State,Western Athletic,1135,3
2012,North Carolina,ACC,1562,3
2012,Northern Illinois,Mid-American,1638,3
2012,North Texas,Sun Belt,1391,3
2012,Northwestern,Big Ten,1542,3
2012,Notre Dame,FBS Independents,1831,3
2012,Ohio,Mid-American,1530,3
2012,Ohio State,Big Ten,1787,3
2012,Oklahoma,Big 12,1825,3
2012,Oklahoma State,Big 12,1901,3
2012,Ole Miss,SEC,1314,3
2012,Oregon,Pac-12,1900,3
2012,Oregon State,Pac-12,1496,3
2012,Penn State,Big Ten,1590,3
2012,Pittsburgh,Big East,1551,3
2012,Purdue,Big Ten,1510,3
2012,Rice,Conference USA,1223,3
2012,Rutgers,Big East,1556,3
2012,San Diego State,Mountain West,1574,3
2012,San José State,Western Athletic,1351,3
2012,SMU,Conference USA,1321,3
2012,South Alabama,Sun Belt,1410,3
2012,South Carolina,SEC,1853,3
2012,Southern Miss,Conference USA,1582,3
2012,South Florida,Big East,1543,3
2012,Stanford,Pac-12,1919,3
2012,Syracuse,Big East,1453,3
2012,TCU,Big 12,1765,3
2012,Temple,Big East,1605,3
2012,Tennessee,SEC,1605,3
2012,Texas,Big 12,1765,3
2012,Texas A&M,SEC,1804,3
2012,Texas State,Western Athletic,1247,3
2012,Texas Tech,Big 12,1570,3
2012,Toledo,Mid-American,1557,3
2012,Troy,Sun Belt,1293,3
2012,Tulane,Conference USA,1100,3
2012,Tulsa,Conference USA,1641,3
2012,UAB,Conference USA,1133,3
2012,UCF,Conference USA,1603,3
2012,UCLA,Pac-12,1594,3
2012,UConn,Big East,1587,3
2012,UL Monroe,Sun Belt,1424,3
2012,UNLV,Mountain West,1173,3
2012,USC,Pac-12,1817,3
2012,Utah,Pac-12,1570,3
2012,Utah State,Western Athletic,1448,3
2012,UTEP,Conference USA,1353,3
2012,UTSA,Western Athletic,1537,3
2012,Vanderbilt,SEC,1555,3
2012,Virginia,ACC,1354,3
2012,Virginia Tech,ACC,1618,3
2012,Wake Forest,ACC,1302,3
2012,Washington,Pac-12,1468,3
2012,Washington State,Pac-12,1371,3
2012,Western Kentucky,Sun Belt,1400,3
2012,Western Michigan,Mid-American,1470,3
2012,West Virginia,Big 12,1800,3
2012,Wisconsin,Big Ten,1892,3
2012,Wyoming,Mountain West,1391,3
2012,Air Force,Mountain West,1545,4
2012,Akron,Mid-American,960,4
2012,Alabama,SEC,2158,4
2012,App State,Southern,1327,4
2012,Arizona,Pac-12,1498,4
