year,team,conference,elo,week
2015,Akron,Mid-American,1250,1
2015,Alabama,SEC,1949,1
2015,Arizona,Pac-12,1642,1
2015,Arizona State,Pac-12,1619,1
2015,Arkansas,SEC,1792,1
2015,Arkansas State,Sun Belt,1363,1
2015,Auburn,SEC,1744,1
2015,Baylor,Big 12,1889,1
2015,Boise State,Mountain West,1716,1
2015,Bowling Green,Mid-American,1322,1
2015,BYU,FBS Independents,1585,1
2015,Central Michigan,Mid-American,1407,1
2015,Charlotte,Conference USA,1482,1
2015,Colorado,Pac-12,1344,1
2015,Duke,ACC,1624,1
2015,Eastern Michigan,Mid-American,1037,1
2015,Florida,SEC,1730,1
2015,Florida Atlantic,Conference USA,1310,1
2015,Florida International,Conference USA,1338,1
2015,Florida State,ACC,1852,1
2015,Georgia,SEC,1894,1
2015,Georgia Southern,Sun Belt,1374,1
2015,Georgia State,Sun Belt,1110,1
2015,Hawai'i,Mountain West,1360,1
2015,Idaho,Sun Belt,1142,1
2015,Illinois,Big Ten,1537,1
2015,Kent State,Mid-American,1142,1
2015,Kentucky,SEC,1414,1
2015,Louisiana,Sun Belt,1440,1
2015,Louisville,ACC,1670,1
2015,Marshall,Conference USA,1740,1
2015,Michigan,Big Ten,1546,1
2015,Michigan State,Big Ten,1843,1
2015,Minnesota,Big Ten,1645,1
2015,Mississippi State,SEC,1748,1
2015,NC State,ACC,1579,1
2015,Nebraska,Big Ten,1657,1
2015,New Mexico State,Sun Belt,1031,1
2015,North Carolina,ACC,1477,1
2015,Northern Illinois,Mid-American,1509,1
2015,Northwestern,Big Ten,1520,1
2015,Notre Dame,FBS Independents,1689,1
2015,Ohio,Mid-American,1346,1
2015,Ohio State,Big Ten,2032,1
2015,Oklahoma,Big 12,1728,1
2015,Oklahoma State,Big 12,1577,1
2015,Old Dominion,Conference USA,1285,1
2015,Penn State,Big Ten,1512,1
2015,Purdue,Big Ten,1359,1
2015,SMU,American Athletic,1132,1
2015,South Carolina,SEC,1646,1
2015,Southern Miss,Conference USA,1188,1
2015,Stanford,Pac-12,1709,1
2015,TCU,Big 12,1951,1
2015,Temple,American Athletic,1533,1
2015,Tennessee,SEC,1670,1
2015,Texas,Big 12,1470,1
2015,Texas A&M,SEC,1692,1
2015,Texas State,Sun Belt,1306,1
2015,Troy,Sun Belt,1174,1
2015,Tulane,American Athletic,1259,1
2015,Tulsa,American Athletic,1286,1
2015,UCF,American Athletic,1609,1
2015,UCLA,Pac-12,1712,1
2015,UL Monroe,Sun Belt,1274,1
2015,UNLV,Mountain West,1237,1
2015,USC,Pac-12,1857,1
2015,Utah,Pac-12,1610,1
2015,UTEP,Conference USA,1308,1
2015,UTSA,Conference USA,1301,1
2015,Vanderbilt,SEC,1371,1
2015,Virginia,ACC,1472,1
2015,Virginia Tech,ACC,1575,1
2015,Washington,Pac-12,1625,1
2015,Western Kentucky,Conference USA,1515,1
2015,Western Michigan,Mid-American,1451,1
2015,West Virginia,Big 12,1707,1
2015,Wisconsin,Big Ten,1702,1
2015,Air Force,Mountain West,1487,2
2015,Akron,Mid-American,1237,2
2015,Alabama,SEC,1958,2
2015,App State,Sun Belt,1433,2
2015,Arizona,Pac-12,1683,2
2015,Arizona State,Pac-12,1619,2
2015,Arkansas,SEC,1766,2
2015,Arkansas State,Sun Belt,1374,2
2015,Army,FBS Independents,1284,2
2015,Auburn,SEC,1744,2
2015,Ball State,Mid-American,1383,2
2015,Baylor,Big 12,1889,2
2015,Boise State,Mountain West,1686,2
2015,Bowling Green,Mid-American,1397,2
2015,Buffalo,Mid-American,1386,2
2015,BYU,FBS Independents,1615,2
2015,California,Pac-12,1502,2
2015,Central Michigan,Mid-American,1407,2
2015,Charlotte,Conference USA,1482,2
2015,Cincinnati,American Athletic,1563,2
2015,Clemson,ACC,1818,2
2015,Colorado,Pac-12,1425,2
2015,Colorado State,Mountain West,1537,2
2015,Duke,ACC,1624,2
2015,East Carolina,American Athletic,1592,2
2015,Eastern Michigan,Mid-American,1115,2
2015,Florida,SEC,1732,2
2015,Florida Atlantic,Conference USA,1278,2
2015,Florida International,Conference USA,1316,2
2015,Florida State,ACC,1851,2
2015,Fresno State,Mountain West,1270,2
2015,Georgia,SEC,1886,2
2015,Georgia Southern,Sun Belt,1450,2
2015,Georgia State,Sun Belt,1108,2
2015,Georgia Tech,ACC,1877,2
2015,Hawai'i,Mountain West,1333,2
2015,Houston,American Athletic,1574,2
2015,Idaho,Sun Belt,1086,2
2015,Illinois,Big Ten,1537,2
2015,Indiana,Big Ten,1435,2
2015,Iowa,Big Ten,1576,2
2015,Iowa State,Big 12,1327,2
2015,Kansas,Big 12,1256,2
2015,Kansas State,Big 12,1771,2
2015,Kent State,Mid-American,1142,2
2015,Kentucky,SEC,1437,2
2015,Liberty,Big South,1419,2
2015,Louisiana,Sun Belt,1440,2
2015,Louisiana Tech,Conference USA,1697,2
2015,Louisville,ACC,1659,2
2015,LSU,SEC,1716,2
2015,Marshall,Conference USA,1687,2
2015,Maryland,Big Ten,1420,2
2015,Massachusetts,Mid-American,1159,2
2015,Memphis,American Athletic,1657,2
