year,team,conference,elo,week
2011,Akron,Mid-American,1110,1
2011,Alabama,SEC,2001,1
2011,App State,Southern,1322,1
2011,Arkansas State,Sun Belt,1397,1
2011,Army,FBS Independents,1397,1
2011,Auburn,SEC,1819,1
2011,Ball State,Mid-American,1298,1
2011,Baylor,Big 12,1507,1
2011,Boise State,Mountain West,1952,1
2011,Boston College,ACC,1475,1
2011,Bowling Green,Mid-American,1311,1
2011,Buffalo,Mid-American,1197,1
2011,BYU,FBS Independents,1624,1
2011,California,Pac-12,1538,1
2011,Clemson,ACC,1653,1
2011,Colorado,Pac-12,1406,1
2011,Colorado State,Mountain West,1187,1
2011,East Carolina,Conference USA,1329,1
2011,Florida,SEC,1769,1
2011,Florida Atlantic,Sun Belt,1156,1
2011,Florida International,Sun Belt,1458,1
2011,Florida State,ACC,1775,1
2011,Fresno State,Western Athletic,1393,1
2011,Georgia,SEC,1672,1
2011,Hawai'i,Western Athletic,1576,1
2011,Houston,Conference USA,1545,1
2011,Idaho,Western Athletic,1289,1
2011,Illinois,Big Ten,1658,1
2011,Indiana,Big Ten,1300,1
2011,James Madison,CAA,1407,1
2011,Kent State,Mid-American,1333,1
2011,Kentucky,SEC,1534,1
2011,Liberty,Big South,1428,1
2011,Louisiana,Sun Belt,1198,1
2011,Louisiana Tech,Western Athletic,1418,1
2011,LSU,SEC,1786,1
2011,Marshall,Conference USA,1324,1
2011,Maryland,ACC,1605,1
2011,Memphis,Conference USA,1054,1
2011,Miami,ACC,1616,1
2011,Miami (OH),Mid-American,1414,1
2011,Michigan,Big Ten,1542,1
2011,Middle Tennessee,Sun Belt,1376,1
2011,Minnesota,Big Ten,1417,1
2011,Mississippi State,SEC,1731,1
2011,Missouri,Big 12,1681,1
2011,NC State,ACC,1672,1
2011,New Mexico,Mountain West,1130,1
2011,New Mexico State,Western Athletic,1070,1
2011,North Carolina,ACC,1672,1
2011,Northern Illinois,Mid-American,1736,1
2011,North Texas,Sun Belt,1250,1
2011,Northwestern,Big Ten,1445,1
2011,Notre Dame,FBS Independents,1658,1
2011,Ohio,Mid-American,1416,1
2011,Ohio State,Big Ten,1915,1
2011,Oklahoma,Big 12,1936,1
2011,Oklahoma State,Big 12,1798,1
2011,Ole Miss,SEC,1492,1
2011,Oregon,Pac-12,1842,1
2011,Pittsburgh,Big East,1651,1
2011,Purdue,Big Ten,1372,1
2011,Rice,Conference USA,1264,1
2011,San José State,Western Athletic,1121,1
2011,SMU,Conference USA,1395,1
2011,South Carolina,SEC,1697,1
2011,Southern Miss,Conference USA,1565,1
2011,South Florida,Big East,1562,1
2011,Stanford,Pac-12,1971,1
2011,Syracuse,Big East,1464,1
2011,TCU,Mountain West,1924,1
2011,Texas,Big 12,1638,1
2011,Texas A&M,Big 12,1709,1
2011,Texas State,FCS Independents,1289,1
2011,Texas Tech,Big 12,1667,1
2011,Troy,Sun Belt,1455,1
2011,Tulsa,Conference USA,1576,1
2011,UCLA,Pac-12,1411,1
2011,UL Monroe,Sun Belt,1224,1
2011,UNLV,Mountain West,1168,1
2011,USC,Pac-12,1608,1
2011,Utah State,Western Athletic,1278,1
2011,Virginia Tech,ACC,1890,1
2011,Wake Forest,ACC,1318,1
2011,Western Kentucky,Sun Belt,1249,1
2011,Western Michigan,Mid-American,1466,1
2011,West Virginia,Big East,1686,1
2011,Wisconsin,Big Ten,1846,1
2011,Air Force,Mountain West,1600,2
2011,Akron,Mid-American,1050,2
2011,Alabama,SEC,2000,2
2011,App State,Southern,1322,2
2011,Arizona,Pac-12,1555,2
2011,Arizona State,Pac-12,1583,2
2011,Arkansas,SEC,1816,2
2011,Arkansas State,Sun Belt,1481,2
2011,Army,FBS Independents,1402,2
2011,Auburn,SEC,1824,2
2011,Ball State,Mid-American,1249,2
2011,Baylor,Big 12,1507,2
2011,Boise State,Mountain West,1952,2
2011,Boston College,ACC,1423,2
2011,Bowling Green,Mid-American,1311,2
2011,Buffalo,Mid-American,1197,2
2011,BYU,FBS Independents,1624,2
2011,California,Pac-12,1535,2
2011,Central Michigan,Mid-American,1419,2
2011,Cincinnati,Big East,1456,2
2011,Clemson,ACC,1653,2
2011,Colorado,Pac-12,1409,2
2011,Colorado State,Mountain West,1187,2
2011,Duke,ACC,1370,2
2011,East Carolina,Conference USA,1354,2
2011,Florida,SEC,1827,2
2011,Florida Atlantic,Sun Belt,1082,2
2011,Florida International,Sun Belt,1482,2
2011,Florida State,ACC,1775,2
2011,Fresno State,Western Athletic,1393,2
2011,Georgia,SEC,1669,2
2011,Georgia Tech,ACC,1608,2
2011,Hawai'i,Western Athletic,1558,2
2011,Houston,Conference USA,1578,2
