year,team,conference,elo,week
2018,Alabama,SEC,2062,1
2018,App State,Sun Belt,1657,1
2018,Arizona,Pac-12,1496,1
2018,Arizona State,Pac-12,1612,1
2018,Army,FBS Independents,1483,1
2018,Auburn,SEC,1840,1
2018,Boise State,Mountain West,1746,1
2018,Boston College,ACC,1675,1
2018,Bowling Green,Mid-American,1215,1
2018,BYU,FBS Independents,1412,1
2018,California,Pac-12,1560,1
2018,Central Michigan,Mid-American,1395,1
2018,Cincinnati,American Athletic,1323,1
2018,Coastal Carolina,Sun Belt,1253,1
2018,Colorado,Pac-12,1576,1
2018,Colorado State,Mountain West,1401,1
2018,Duke,ACC,1633,1
2018,Florida Atlantic,Conference USA,1526,1
2018,Florida International,Conference USA,1372,1
2018,Florida State,ACC,1604,1
2018,Hawai'i,Mountain West,1345,1
2018,Houston,American Athletic,1577,1
2018,Illinois,Big Ten,1305,1
2018,Indiana,Big Ten,1564,1
2018,Iowa,Big Ten,1756,1
2018,James Madison,CAA,1466,1
2018,Kent State,Mid-American,1129,1
2018,Kentucky,SEC,1482,1
2018,Liberty,FBS Independents,1541,1
2018,Louisiana Tech,Conference USA,1525,1
2018,Louisville,ACC,1625,1
2018,LSU,SEC,1774,1
2018,Marshall,Conference USA,1482,1
2018,Maryland,Big Ten,1336,1
2018,Massachusetts,FBS Independents,1313,1
2018,Miami,ACC,1658,1
2018,Miami (OH),Mid-American,1379,1
2018,Michigan,Big Ten,1693,1
2018,Michigan State,Big Ten,1624,1
2018,Middle Tennessee,Conference USA,1347,1
2018,Minnesota,Big Ten,1582,1
2018,Navy,American Athletic,1552,1
2018,NC State,ACC,1640,1
2018,New Mexico State,FBS Independents,1221,1
2018,North Carolina,ACC,1457,1
2018,Northern Illinois,Mid-American,1471,1
2018,North Texas,Conference USA,1397,1
2018,Northwestern,Big Ten,1689,1
2018,Notre Dame,FBS Independents,1731,1
2018,Ohio State,Big Ten,1963,1
2018,Oklahoma,Big 12,1991,1
2018,Old Dominion,Conference USA,1154,1
2018,Ole Miss,SEC,1574,1
2018,Oregon,Pac-12,1665,1
2018,Oregon State,Pac-12,1181,1
2018,Penn State,Big Ten,1918,1
2018,Purdue,Big Ten,1557,1
2018,Rice,Conference USA,1160,1
2018,Rutgers,Big Ten,1292,1
2018,San Diego State,Mountain West,1552,1
2018,SMU,American Athletic,1326,1
2018,South Alabama,Sun Belt,1245,1
2018,South Carolina,SEC,1634,1
2018,Stanford,Pac-12,1789,1
2018,Syracuse,ACC,1392,1
2018,Tennessee,SEC,1367,1
2018,Texas,Big 12,1623,1
2018,Texas State,Sun Belt,1070,1
2018,Texas Tech,Big 12,1477,1
2018,Troy,Sun Belt,1496,1
2018,Tulane,American Athletic,1393,1
2018,UCF,American Athletic,1780,1
2018,UCLA,Pac-12,1437,1
2018,UConn,American Athletic,1189,1
2018,UNLV,Mountain West,1333,1
2018,USC,Pac-12,1730,1
2018,Utah State,Mountain West,1474,1
2018,UTSA,Conference USA,1315,1
2018,Vanderbilt,SEC,1488,1
2018,Virginia Tech,ACC,1775,1
2018,Wake Forest,ACC,1588,1
2018,Washington,Pac-12,1828,1
2018,Washington State,Pac-12,1611,1
2018,Western Kentucky,Conference USA,1401,1
