year,team,conference,elo,week
2016,Alabama,SEC,2074,1
2016,App State,Sun Belt,1589,1
2016,Arizona,Pac-12,1501,1
2016,Arkansas,SEC,1738,1
2016,Arkansas State,Sun Belt,1472,1
2016,Army,FBS Independents,1380,1
2016,Auburn,SEC,1660,1
2016,Ball State,Mid-American,1282,1
2016,Boise State,Mountain West,1774,1
2016,Boston College,ACC,1483,1
2016,Bowling Green,Mid-American,1437,1
2016,BYU,FBS Independents,1615,1
2016,California,Pac-12,1582,1
2016,Charlotte,Conference USA,1029,1
2016,Clemson,ACC,1861,1
2016,Colorado,Pac-12,1533,1
2016,Colorado State,Mountain West,1335,1
2016,Florida,SEC,1637,1
2016,Florida International,Conference USA,1240,1
2016,Florida State,ACC,1801,1
2016,Fresno State,Mountain West,1183,1
2016,Georgia,SEC,1712,1
2016,Georgia State,Sun Belt,1362,1
2016,Georgia Tech,ACC,1584,1
2016,Hawai'i,Mountain West,1024,1
2016,Houston,American Athletic,1813,1
2016,Indiana,Big Ten,1522,1
2016,Iowa,Big Ten,1655,1
2016,Kansas State,Big 12,1521,1
2016,Kent State,Mid-American,1165,1
2016,Kentucky,SEC,1467,1
2016,Liberty,Big South,1401,1
2016,Louisiana,Sun Belt,1252,1
2016,Louisiana Tech,Conference USA,1612,1
2016,Louisville,ACC,1719,1
2016,LSU,SEC,1707,1
2016,Massachusetts,FBS Independents,1257,1
2016,Miami (OH),Mid-American,1181,1
2016,Michigan,Big Ten,1851,1
2016,Minnesota,Big Ten,1555,1
2016,Mississippi State,SEC,1699,1
2016,Missouri,SEC,1519,1
2016,Nebraska,Big Ten,1677,1
2016,New Mexico State,Sun Belt,1098,1
2016,North Carolina,ACC,1706,1
2016,Northern Illinois,Mid-American,1437,1
2016,North Texas,Conference USA,1147,1
2016,Northwestern,Big Ten,1469,1
2016,Notre Dame,FBS Independents,1686,1
2016,Ohio,Mid-American,1375,1
2016,Ohio State,Big Ten,2083,1
2016,Oklahoma,Big 12,1852,1
2016,Ole Miss,SEC,1763,1
2016,Oregon State,Pac-12,1270,1
2016,Penn State,Big Ten,1567,1
2016,Rice,Conference USA,1224,1
2016,Rutgers,Big Ten,1321,1
2016,San José State,Mountain West,1285,1
2016,SMU,American Athletic,1219,1
2016,South Alabama,Sun Belt,1271,1
2016,South Carolina,SEC,1548,1
2016,Southern Miss,Conference USA,1630,1
2016,Stanford,Pac-12,1843,1
2016,Temple,American Athletic,1525,1
2016,Tennessee,SEC,1741,1
2016,Texas,Big 12,1524,1
2016,Texas A&M,SEC,1627,1
2016,Texas State,Sun Belt,1193,1
2016,Toledo,Mid-American,1691,1
2016,Tulane,American Athletic,1207,1
2016,Tulsa,American Athletic,1486,1
2016,UCLA,Pac-12,1637,1
2016,USC,Pac-12,1587,1
2016,UTEP,Conference USA,1240,1
2016,Vanderbilt,SEC,1396,1
2016,Virginia Tech,ACC,1635,1
2016,Wake Forest,ACC,1371,1
2016,Washington,Pac-12,1800,1
2016,Western Kentucky,Conference USA,1777,1
2016,Western Michigan,Mid-American,1589,1
2016,West Virginia,Big 12,1695,1
