year,team,conference,elo,week
2019,Akron,Mid-American,1148,1
2019,Alabama,SEC,2064,1
2019,Arizona,Pac-12,1446,1
2019,Arizona State,Pac-12,1610,1
2019,Arkansas State,Sun Belt,1502,1
2019,Army,FBS Independents,1727,1
2019,Auburn,SEC,1805,1
2019,Ball State,Mid-American,1204,1
2019,Boise State,Mountain West,1694,1
2019,Boston College,ACC,1597,1
2019,BYU,FBS Independents,1520,1
2019,Cincinnati,American Athletic,1629,1
2019,Clemson,ACC,2136,1
2019,Coastal Carolina,Sun Belt,1259,1
2019,Colorado,Pac-12,1492,1
2019,Colorado State,Mountain West,1264,1
2019,Duke,ACC,1467,1
2019,East Carolina,American Athletic,1188,1
2019,Eastern Michigan,Mid-American,1463,1
2019,Florida,SEC,1688,1
2019,Florida Atlantic,Conference USA,1495,1
2019,Florida International,Conference USA,1395,1
2019,Florida State,ACC,1451,1
2019,Fresno State,Mountain West,1675,1
2019,Georgia,SEC,1866,1
2019,Georgia Southern,Sun Belt,1361,1
2019,Georgia State,Sun Belt,1292,1
2019,Georgia Tech,ACC,1527,1
2019,Hawai'i,Mountain West,1302,1
2019,Houston,American Athletic,1455,1
2019,Illinois,Big Ten,1376,1
2019,Indiana,Big Ten,1500,1
2019,Iowa,Big Ten,1816,1
2019,James Madison,CAA,1479,1
2019,Kent State,Mid-American,1152,1
2019,Kentucky,SEC,1636,1
2019,Liberty,FBS Independents,1283,1
2019,Louisiana,Sun Belt,1378,1
2019,Louisiana Tech,Conference USA,1370,1
2019,Louisville,ACC,1232,1
2019,LSU,SEC,1857,1
2019,Massachusetts,FBS Independents,1192,1
2019,Memphis,American Athletic,1621,1
2019,Miami,ACC,1606,1
2019,Miami (OH),Mid-American,1434,1
2019,Michigan,Big Ten,1760,1
2019,Michigan State,Big Ten,1641,1
2019,Middle Tennessee,Conference USA,1445,1
2019,Mississippi State,SEC,1774,1
2019,Missouri,SEC,1714,1
2019,NC State,ACC,1641,1
2019,Nebraska,Big Ten,1478,1
2019,Nevada,Mountain West,1464,1
2019,New Mexico State,FBS Independents,1086,1
2019,North Carolina,ACC,1424,1
2019,Northwestern,Big Ten,1597,1
2019,Notre Dame,FBS Independents,1766,1
2019,Ohio State,Big Ten,1872,1
2019,Oklahoma,Big 12,1854,1
2019,Oklahoma State,Big 12,1634,1
2019,Ole Miss,SEC,1478,1
2019,Oregon,Pac-12,1593,1
2019,Oregon State,Pac-12,1210,1
2019,Pittsburgh,ACC,1529,1
2019,Purdue,Big Ten,1505,1
2019,Rice,Conference USA,1203,1
2019,Rutgers,Big Ten,1334,1
2019,SMU,American Athletic,1425,1
2019,South Alabama,Sun Belt,1165,1
2019,South Carolina,SEC,1517,1
2019,South Florida,American Athletic,1307,1
2019,Stanford,Pac-12,1653,1
2019,Syracuse,ACC,1657,1
2019,Tennessee,SEC,1372,1
2019,Texas,Big 12,1734,1
2019,Texas A&M,SEC,1771,1
2019,Texas State,Sun Belt,1185,1
2019,Toledo,Mid-American,1512,1
2019,Tulane,American Athletic,1527,1
