season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2010,postseason,1,,Coaches Poll,209,Northern Iowa,MVC,13.0,344,0
2010,regular,1,,Coaches Poll,343,Washington,Pac-12,13.0,364,0
2010,postseason,1,,Coaches Poll,359,Xavier,A-10,14.0,271,0
2010,regular,1,,Coaches Poll,314,UConn,Big East,14.0,361,0
2010,regular,1,,Coaches Poll,170,Michigan,Big Ten,15.0,279,0
2010,postseason,1,,Coaches Poll,338,Villanova,Big East,15.0,267,0
2010,regular,1,,Coaches Poll,217,Oklahoma,Big 12,16.0,244,0
2010,postseason,1,,Coaches Poll,191,New Mexico,Mountain West,16.0,229,0
2010,postseason,1,,Coaches Poll,60,Cornell,Ivy,17.0,225,0
2010,regular,1,,Coaches Poll,216,Ohio State,Big Ten,17.0,241,0
2010,regular,1,,Coaches Poll,173,Minnesota,Big Ten,18.0,151,0
2010,postseason,1,,Coaches Poll,160,Maryland,ACC,18.0,201,0
2010,regular,1,,Coaches Poll,174,Mississippi State,SEC,19.0,149,0
2010,postseason,1,,Coaches Poll,253,Saint Mary's,WCC,19.0,198,0
2010,postseason,1,,Coaches Poll,229,Pittsburgh,Big East,20.0,182,0
2010,regular,1,,Coaches Poll,101,Georgia Tech,ACC,20.0,136,0
2010,postseason,1,,Coaches Poll,343,Washington,Pac-12,21.0,163,0
2010,regular,1,,Coaches Poll,97,Georgetown,Big East,21.0,134,0
2010,postseason,1,,Coaches Poll,18,BYU,Mountain West,22.0,161,0
2010,regular,1,,Coaches Poll,64,Dayton,A-10,22.0,130,0
2010,postseason,1,,Coaches Poll,102,Gonzaga,WCC,23.0,141,0
2010,regular,1,,Coaches Poll,150,Louisville,Big East,23.0,123,0
2010,postseason,1,,Coaches Poll,355,Wisconsin,Big Ten,24.0,140,0
2010,regular,1,,Coaches Poll,52,Clemson,ACC,24.0,114,0
2010,postseason,1,,Coaches Poll,293,Texas A&M,Big 12,25.0,136,0
2010,regular,1,,Coaches Poll,286,Syracuse,Big East,25.0,111,0
2010,regular,1,,Coaches Poll,90,Florida State,ACC,,15,0
2010,regular,1,,Coaches Poll,220,Ole Miss,SEC,,3,0
2010,postseason,1,,Coaches Poll,101,Georgia Tech,ACC,,29,0
2010,regular,1,,Coaches Poll,266,South Carolina,SEC,,1,0
2010,regular,1,,Coaches Poll,160,Maryland,ACC,,100,0
2010,postseason,1,,Coaches Poll,219,Old Dominion,Sun Belt,,1,0
2010,regular,1,,Coaches Poll,329,Utah State,WAC,,3,0
2010,regular,1,,Coaches Poll,342,Wake Forest,ACC,,13,0
2010,regular,1,,Coaches Poll,102,Gonzaga,WCC,,24,0
2010,regular,1,,Coaches Poll,359,Xavier,A-10,,25,0
2010,postseason,1,,Coaches Poll,40,California,Pac-12,,14,0
2010,postseason,1,,Coaches Poll,64,Dayton,A-10,,3,0
2010,regular,1,,Coaches Poll,313,UCLA,Pac-12,,59,0
2010,postseason,1,,Coaches Poll,289,Temple,A-10,,83,0
2010,regular,1,,Coaches Poll,118,Illinois,Big Ten,,83,0
