season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2011,postseason,1,,Coaches Poll,314,UConn,Big East,1.0,773,30
2011,regular,1,,Coaches Poll,72,Duke,ACC,1.0,772,29
2011,postseason,1,,Coaches Poll,34,Butler,Horizon,2.0,704,0
2011,regular,1,,Coaches Poll,169,Michigan State,Big Ten,2.0,737,2
2011,regular,1,,Coaches Poll,132,Kansas State,Big 12,3.0,656,0
2011,postseason,1,,Coaches Poll,135,Kentucky,SEC,3.0,676,0
2011,postseason,1,,Coaches Poll,131,Kansas,Big 12,4.0,659,0
2011,regular,1,,Coaches Poll,229,Pittsburgh,Big East,4.0,621,0
2011,regular,1,,Coaches Poll,216,Ohio State,Big Ten,5.0,615,0
2011,postseason,1,,Coaches Poll,216,Ohio State,Big Ten,5.0,630,1
2011,postseason,1,,Coaches Poll,333,VCU,CAA,6.0,555,0
2011,regular,1,,Coaches Poll,338,Villanova,Big East,6.0,552,0
2011,postseason,1,,Coaches Poll,72,Duke,ACC,7.0,554,0
2011,regular,1,,Coaches Poll,131,Kansas,Big 12,7.0,538,0
2011,postseason,1,,Coaches Poll,200,North Carolina,ACC,8.0,532,0
2011,regular,1,,Coaches Poll,236,Purdue,Big Ten,8.0,521,0
2011,postseason,1,,Coaches Poll,11,Arizona,Pac-12,9.0,531,0
2011,regular,1,,Coaches Poll,200,North Carolina,ACC,9.0,467,0
2011,postseason,1,,Coaches Poll,87,Florida,SEC,10.0,503,0
2011,regular,1,,Coaches Poll,135,Kentucky,SEC,10.0,449,0
2011,postseason,1,,Coaches Poll,257,San Diego State,Mountain West,11.0,479,0
2011,regular,1,,Coaches Poll,87,Florida,SEC,11.0,424,0
2011,regular,1,,Coaches Poll,102,Gonzaga,WCC,12.0,423,0
2011,postseason,1,,Coaches Poll,229,Pittsburgh,Big East,12.0,448,0
2011,regular,1,,Coaches Poll,286,Syracuse,Big East,13.0,422,0
2011,postseason,1,,Coaches Poll,18,BYU,Mountain West,13.0,376,0
2011,regular,1,,Coaches Poll,20,Baylor,Big 12,14.0,362,0
2011,postseason,1,,Coaches Poll,213,Notre Dame,Big East,14.0,336,0
2011,regular,1,,Coaches Poll,177,Missouri,Big 12,15.0,354,0
2011,postseason,1,,Coaches Poll,355,Wisconsin,Big Ten,15.0,311,0
2011,postseason,1,,Coaches Poll,295,Texas,Big 12,16.0,290,0
2011,regular,1,,Coaches Poll,118,Illinois,Big Ten,16.0,329,0
2011,regular,1,,Coaches Poll,343,Washington,Pac-12,17.0,307,0
2011,postseason,1,,Coaches Poll,236,Purdue,Big Ten,17.0,276,0
2011,postseason,1,,Coaches Poll,286,Syracuse,Big East,18.0,250,0
2011,regular,1,,Coaches Poll,34,Butler,Horizon,18.0,245,0
2011,regular,1,,Coaches Poll,163,Memphis,CUSA,19.0,212,0
2011,postseason,1,,Coaches Poll,90,Florida State,ACC,19.0,197,0
2011,regular,1,,Coaches Poll,292,Tennessee,SEC,20.0,158,0
2011,postseason,1,,Coaches Poll,157,Marquette,Big East,20.0,159,0
2011,postseason,1,,Coaches Poll,242,Richmond,A-10,21.0,152,0
2011,regular,1,,Coaches Poll,97,Georgetown,Big East,21.0,129,0
2011,regular,1,,Coaches Poll,289,Temple,A-10,22.0,120,0
2011,postseason,1,,Coaches Poll,150,Louisville,Big East,22.0,147,0
2011,postseason,1,,Coaches Poll,343,Washington,Pac-12,23.0,108,0
2011,regular,1,,Coaches Poll,340,Virginia Tech,ACC,23.0,97,0
2011,postseason,1,,Coaches Poll,132,Kansas State,Big 12,24.0,73,0
2011,regular,1,,Coaches Poll,355,Wisconsin,Big Ten,24.0,91,0
2011,postseason,1,,Coaches Poll,329,Utah State,WAC,25.0,51,0
2011,regular,1,,Coaches Poll,295,Texas,Big 12,25.0,89,0
2011,regular,1,,Coaches Poll,11,Arizona,Pac-12,,2,0
2011,regular,1,,Coaches Poll,64,Dayton,A-10,,2,0
2011,regular,1,,Coaches Poll,242,Richmond,A-10,,9,0
2011,postseason,1,,Coaches Poll,359,Xavier,A-10,,31,0
2011,regular,1,,Coaches Poll,359,Xavier,A-10,,8,0
2011,regular,1,,Coaches Poll,185,NC State,ACC,,10,0
2011,regular,1,,Coaches Poll,160,Maryland,ACC,,2,0
2011,regular,1,,Coaches Poll,90,Florida State,ACC,,31,0
2011,postseason,1,,Coaches Poll,177,Missouri,Big 12,,2,0
2011,postseason,1,,Coaches Poll,293,Texas A&M,Big 12,,31,0
2011,regular,1,,Coaches Poll,293,Texas A&M,Big 12,,5,0
2011,postseason,1,,Coaches Poll,97,Georgetown,Big East,,5,0
2011,postseason,1,,Coaches Poll,279,St. John's,Big East,,33,0
2011,regular,1,,Coaches Poll,157,Marquette,Big East,,2,0
2011,postseason,1,,Coaches Poll,347,West Virginia,Big East,,34,0
2011,regular,1,,Coaches Poll,347,West Virginia,Big East,,49,0
2011,regular,1,,Coaches Poll,150,Louisville,Big East,,3,0
2011,postseason,1,,Coaches Poll,51,Cincinnati,Big East,,24,0
2011,postseason,1,,Coaches Poll,118,Illinois,Big Ten,,1,0
2011,regular,1,,Coaches Poll,173,Minnesota,Big Ten,,41,0
2011,postseason,1,,Coaches Poll,170,Michigan,Big Ten,,9,0
2011,regular,1,,Coaches Poll,212,Northwestern,Big Ten,,1,0
2011,postseason,1,,Coaches Poll,95,George Mason,CAA,,9,0
2011,postseason,1,,Coaches Poll,219,Old Dominion,CAA,,9,0
2011,postseason,1,,Coaches Poll,352,Wichita State,MVC,,20,0
2011,regular,1,,Coaches Poll,352,Wichita State,MVC,,13,0
2011,regular,1,,Coaches Poll,257,San Diego State,Mountain West,,73,0
2011,regular,1,,Coaches Poll,322,UNLV,Mountain West,,19,0
2011,regular,1,,Coaches Poll,191,New Mexico,Mountain West,,4,0
2011,regular,1,,Coaches Poll,18,BYU,Mountain West,,55,0
2011,regular,1,,Coaches Poll,184,Murray State,OVC,,4,0
2011,postseason,1,,Coaches Poll,336,Vanderbilt,SEC,,24,0
2011,regular,1,,Coaches Poll,336,Vanderbilt,SEC,,11,0
2011,regular,1,,Coaches Poll,174,Mississippi State,SEC,,7,0
2011,regular,1,,Coaches Poll,98,Georgia,SEC,,9,0
2011,postseason,1,,Coaches Poll,219,Old Dominion,Sun Belt,,9,0
2011,regular,1,,Coaches Poll,329,Utah State,WAC,,6,0
2011,regular,1,,Coaches Poll,253,Saint Mary's,WCC,,2,0
