season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,292,Tennessee,SEC,17.0,292,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,125,Iowa State,Big 12,18.0,289,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,131,Kansas,Big 12,19.0,235,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,102,Gonzaga,WCC,20.0,185,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,169,Michigan State,Big Ten,21.0,144,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,16,Auburn,SEC,22.0,114,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,61,Creighton,Big East,23.0,103,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,355,Wisconsin,Big Ten,24.0,62,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,200,North Carolina,ACC,25.0,37,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,185,NC State,ACC,,33,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,223,Oregon,Big Ten,,26,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,216,Ohio State,Big Ten,,15,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,257,San Diego State,Mountain West,,15,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,20,Baylor,Big 12,,13,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,339,Virginia,ACC,,11,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,336,Vanderbilt,SEC,,10,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,323,USC,Big Ten,,7,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,295,Texas,SEC,,6,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,338,Villanova,Big East,,5,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,177,Missouri,SEC,,5,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,220,Ole Miss,SEC,,4,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,253,Saint Mary's,WCC,,3,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,124,Iowa,Big Ten,,3,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,51,Cincinnati,Big 12,,3,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,343,Washington,Big Ten,,3,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,333,VCU,A-10,,2,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,132,Kansas State,Big 12,,1,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,218,Oklahoma State,Big 12,,1,0
2026,regular,1,2025-10-22T00:00:00.000Z,Coaches Poll,25,Boise State,Mountain West,,1,0
