season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2014,regular,1,,AP Top 25,135,Kentucky,SEC,1.0,1546,27
2014,regular,1,,AP Top 25,169,Michigan State,Big Ten,2.0,1543,22
2014,regular,1,,AP Top 25,150,Louisville,American,3.0,1501,14
2014,regular,1,,AP Top 25,72,Duke,ACC,4.0,1435,2
2014,regular,1,,AP Top 25,131,Kansas,Big 12,5.0,1357,0
2014,regular,1,,AP Top 25,11,Arizona,Pac-12,6.0,1311,0
2014,regular,1,,AP Top 25,170,Michigan,Big Ten,7.0,1120,0
2014,regular,1,,AP Top 25,218,Oklahoma State,Big 12,8.0,1093,0
2014,regular,1,,AP Top 25,286,Syracuse,ACC,8.0,1093,0
2014,regular,1,,AP Top 25,87,Florida,SEC,10.0,1048,0
2014,regular,1,,AP Top 25,216,Ohio State,Big Ten,11.0,1036,0
2014,regular,1,,AP Top 25,200,North Carolina,ACC,12.0,954,0
2014,regular,1,,AP Top 25,163,Memphis,American,13.0,741,0
2014,regular,1,,AP Top 25,333,VCU,A-10,14.0,680,0
2014,regular,1,,AP Top 25,102,Gonzaga,WCC,15.0,538,0
2014,regular,1,,AP Top 25,352,Wichita State,MVC,16.0,512,0
2014,regular,1,,AP Top 25,157,Marquette,Big East,17.0,510,0
2014,regular,1,,AP Top 25,314,UConn,American,18.0,448,0
2014,regular,1,,AP Top 25,314,UConn,Big East,18.0,448,0
2014,regular,1,,AP Top 25,223,Oregon,Pac-12,19.0,408,0
2014,regular,1,,AP Top 25,355,Wisconsin,Big Ten,20.0,338,0
2014,regular,1,,AP Top 25,213,Notre Dame,ACC,21.0,332,0
2014,regular,1,,AP Top 25,313,UCLA,Pac-12,22.0,244,0
2014,regular,1,,AP Top 25,191,New Mexico,Mountain West,23.0,213,0
2014,regular,1,,AP Top 25,339,Virginia,ACC,24.0,189,0
2014,regular,1,,AP Top 25,20,Baylor,Big 12,25.0,180,0
2014,regular,1,,AP Top 25,56,Colorado,Pac-12,,83,0
2014,regular,1,,AP Top 25,137,La Salle,A-10,,4,0
2014,regular,1,,AP Top 25,252,Saint Louis,A-10,,3,0
2014,regular,1,,AP Top 25,26,Boston College,ACC,,5,0
2014,regular,1,,AP Top 25,229,Pittsburgh,ACC,,6,0
2014,regular,1,,AP Top 25,51,Cincinnati,American,,1,0
2014,regular,1,,AP Top 25,338,Villanova,Big East,,14,0
2014,regular,1,,AP Top 25,97,Georgetown,Big East,,11,0
2014,regular,1,,AP Top 25,279,St. John's,Big East,,3,0
2014,regular,1,,AP Top 25,61,Creighton,Big East,,145,0
2014,regular,1,,AP Top 25,121,Indiana,Big Ten,,111,0
2014,regular,1,,AP Top 25,124,Iowa,Big Ten,,83,0
2014,regular,1,,AP Top 25,107,Harvard,Ivy,,46,0
2014,regular,1,,AP Top 25,322,UNLV,Mountain West,,8,0
2014,regular,1,,AP Top 25,25,Boise State,Mountain West,,22,0
2014,regular,1,,AP Top 25,292,Tennessee,SEC,,176,0
2014,regular,1,,AP Top 25,136,LSU,SEC,,6,0
2014,regular,1,,AP Top 25,177,Missouri,SEC,,3,0
2014,regular,1,,AP Top 25,343,Washington,Pac-12,,8,0
2014,regular,1,,AP Top 25,281,Stanford,Pac-12,,6,0
2014,regular,1,,AP Top 25,10,Arizona State,Pac-12,,11,0
2014,postseason,1,,Coaches Poll,314,UConn,American,1.0,791,30
2014,postseason,1,,Coaches Poll,314,UConn,Big East,1.0,791,30
2014,regular,1,,Coaches Poll,135,Kentucky,SEC,1.0,767,16
2014,regular,1,,Coaches Poll,169,Michigan State,Big Ten,2.0,749,3
2014,postseason,1,,Coaches Poll,135,Kentucky,SEC,2.0,759,1
2014,regular,1,,Coaches Poll,150,Louisville,American,3.0,741,10
2014,postseason,1,,Coaches Poll,87,Florida,SEC,3.0,735,0
2014,regular,1,,Coaches Poll,72,Duke,ACC,4.0,710,3
2014,postseason,1,,Coaches Poll,355,Wisconsin,Big Ten,4.0,704,0
2014,postseason,1,,Coaches Poll,11,Arizona,Pac-12,5.0,637,0
2014,regular,1,,Coaches Poll,11,Arizona,Pac-12,5.0,637,0
2014,postseason,1,,Coaches Poll,170,Michigan,Big Ten,6.0,594,0
2014,regular,1,,Coaches Poll,131,Kansas,Big 12,6.0,623,0
2014,postseason,1,,Coaches Poll,352,Wichita State,MVC,7.0,583,1
2014,regular,1,,Coaches Poll,286,Syracuse,ACC,7.0,551,0
2014,postseason,1,,Coaches Poll,169,Michigan State,Big Ten,8.0,553,0
2014,regular,1,,Coaches Poll,87,Florida,SEC,8.0,550,0
2014,postseason,1,,Coaches Poll,150,Louisville,American,9.0,545,0
2014,regular,1,,Coaches Poll,170,Michigan,Big Ten,9.0,548,0
2014,regular,1,,Coaches Poll,216,Ohio State,Big Ten,10.0,533,0
2014,postseason,1,,Coaches Poll,339,Virginia,ACC,10.0,539,0
2014,postseason,1,,Coaches Poll,125,Iowa State,Big 12,11.0,457,0
2014,regular,1,,Coaches Poll,200,North Carolina,ACC,11.0,494,0
2014,postseason,1,,Coaches Poll,257,San Diego State,Mountain West,12.0,453,0
2014,regular,1,,Coaches Poll,218,Oklahoma State,Big 12,12.0,462,0
2014,regular,1,,Coaches Poll,163,Memphis,American,13.0,334,0
2014,postseason,1,,Coaches Poll,338,Villanova,Big East,13.0,367,0
2014,postseason,1,,Coaches Poll,131,Kansas,Big 12,14.0,341,0
2014,regular,1,,Coaches Poll,102,Gonzaga,WCC,14.0,270,0
2014,postseason,1,,Coaches Poll,313,UCLA,Pac-12,15.0,297,0
2014,regular,1,,Coaches Poll,333,VCU,A-10,15.0,258,0
2014,postseason,1,,Coaches Poll,72,Duke,ACC,16.0,276,0
2014,regular,1,,Coaches Poll,352,Wichita State,MVC,16.0,233,0
2014,regular,1,,Coaches Poll,157,Marquette,Big East,17.0,230,0
2014,postseason,1,,Coaches Poll,286,Syracuse,ACC,17.0,263,0
2014,regular,1,,Coaches Poll,223,Oregon,Pac-12,18.0,175,0
2014,postseason,1,,Coaches Poll,64,Dayton,A-10,18.0,246,0
2014,postseason,1,,Coaches Poll,20,Baylor,Big 12,18.0,246,0
2014,regular,1,,Coaches Poll,314,UConn,Big East,19.0,167,0
2014,regular,1,,Coaches Poll,314,UConn,American,19.0,167,0
2014,regular,1,,Coaches Poll,191,New Mexico,Mountain West,20.0,153,0
2014,postseason,1,,Coaches Poll,61,Creighton,Big East,20.0,190,0
2014,regular,1,,Coaches Poll,355,Wisconsin,Big Ten,21.0,148,0
2014,postseason,1,,Coaches Poll,200,North Carolina,ACC,21.0,156,0
2014,regular,1,,Coaches Poll,213,Notre Dame,ACC,22.0,128,0
2014,postseason,1,,Coaches Poll,51,Cincinnati,American,22.0,126,0
2014,regular,1,,Coaches Poll,313,UCLA,Pac-12,23.0,121,0
2014,postseason,1,,Coaches Poll,292,Tennessee,SEC,23.0,122,0
2014,postseason,1,,Coaches Poll,281,Stanford,Pac-12,24.0,104,0
2014,regular,1,,Coaches Poll,121,Indiana,Big Ten,24.0,118,0
2014,postseason,1,,Coaches Poll,252,Saint Louis,A-10,25.0,75,0
2014,regular,1,,Coaches Poll,339,Virginia,ACC,25.0,103,0
2014,postseason,1,,Coaches Poll,191,New Mexico,Mountain West,,50,0
2014,regular,1,,Coaches Poll,25,Boise State,Mountain West,,11,0
2014,regular,1,,Coaches Poll,56,Colorado,Pac-12,,93,0
2014,regular,1,,Coaches Poll,322,UNLV,Mountain West,,1,0
2014,regular,1,,Coaches Poll,107,Harvard,Ivy,,28,0
2014,postseason,1,,Coaches Poll,107,Harvard,Ivy,,21,0
2014,postseason,1,,Coaches Poll,173,Minnesota,Big Ten,,7,0
2014,regular,1,,Coaches Poll,292,Tennessee,SEC,,73,0
2014,regular,1,,Coaches Poll,40,California,Pac-12,,16,0
2014,regular,1,,Coaches Poll,124,Iowa,Big Ten,,86,0
2014,postseason,1,,Coaches Poll,216,Ohio State,Big Ten,,21,0
2014,postseason,1,,Coaches Poll,333,VCU,A-10,,11,0
2014,regular,1,,Coaches Poll,136,LSU,SEC,,2,0
2014,regular,1,,Coaches Poll,118,Illinois,Big Ten,,2,0
2014,regular,1,,Coaches Poll,98,Georgia,SEC,,1,0
2014,regular,1,,Coaches Poll,177,Missouri,SEC,,4,0
2014,regular,1,,Coaches Poll,10,Arizona State,Pac-12,,2,0
2014,postseason,1,,Coaches Poll,282,Stephen F. Austin,Southland,,7,0
2014,postseason,1,,Coaches Poll,202,North Dakota State,Summit,,1,0
2014,postseason,1,,Coaches Poll,102,Gonzaga,WCC,,10,0
2014,regular,1,,Coaches Poll,137,La Salle,A-10,,7,0
2014,regular,1,,Coaches Poll,252,Saint Louis,A-10,,8,0
2014,regular,1,,Coaches Poll,61,Creighton,Big East,,87,0
2014,postseason,1,,Coaches Poll,52,Clemson,ACC,,1,0
2014,postseason,1,,Coaches Poll,163,Memphis,American,,23,0
2014,postseason,1,,Coaches Poll,223,Oregon,Pac-12,,14,0
2014,postseason,1,,Coaches Poll,90,Florida State,ACC,,4,0
2014,postseason,1,,Coaches Poll,248,SMU,American,,7,0
2014,regular,1,,Coaches Poll,289,Temple,American,,4,0
2014,postseason,1,,Coaches Poll,251,Saint Joseph's,A-10,,9,0
2014,regular,1,,Coaches Poll,97,Georgetown,Big East,,38,0
2014,regular,1,,Coaches Poll,229,Pittsburgh,ACC,,23,0
2014,postseason,1,,Coaches Poll,217,Oklahoma,Big 12,,33,0
2014,regular,1,,Coaches Poll,338,Villanova,Big East,,4,0
2014,postseason,1,,Coaches Poll,229,Pittsburgh,ACC,,10,0
2014,regular,1,,Coaches Poll,132,Kansas State,Big 12,,3,0
2014,regular,1,,Coaches Poll,125,Iowa State,Big 12,,2,0
2014,regular,1,,Coaches Poll,20,Baylor,Big 12,,102,0
