season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,102,Gonzaga,WCC,1.0,1541,28
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,20,Baylor,Big 12,2.0,1540,24
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,338,Villanova,Big East,3.0,1501,11
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,339,Virginia,ACC,4.0,1364,1
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,124,Iowa,Big Ten,5.0,1273,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,131,Kansas,Big 12,6.0,1221,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,355,Wisconsin,Big Ten,7.0,1150,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,118,Illinois,Big Ten,8.0,1105,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,72,Duke,ACC,9.0,1073,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,135,Kentucky,SEC,10.0,1038,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,61,Creighton,Big East,11.0,922,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,292,Tennessee,SEC,12.0,919,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,169,Michigan State,Big Ten,13.0,820,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,298,Texas Tech,Big 12,14.0,790,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,347,West Virginia,Big 12,15.0,651,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,200,North Carolina,ACC,16.0,465,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,113,Houston,American,17.0,438,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,10,Arizona State,Pac-12,18.0,402,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,295,Texas,Big 12,19.0,380,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,223,Oregon,Pac-12,20.0,375,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,90,Florida State,ACC,21.0,351,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,313,UCLA,Pac-12,22.0,336,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,216,Ohio State,Big Ten,23.0,270,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,245,Rutgers,Big Ten,24.0,190,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,170,Michigan,Big Ten,25.0,160,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,151,Loyola Chicago,MVC,,3,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,209,Northern Iowa,MVC,,1,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,242,Richmond,A-10,,40,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,252,Saint Louis,A-10,,8,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,281,Stanford,Pac-12,,14,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,150,Louisville,ACC,,41,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,163,Memphis,American,,69,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,18,BYU,WCC,,4,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,314,UConn,Big East,,6,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,320,UNC Greensboro,SoCon,,1,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,235,Providence,Big East,,9,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,263,Seton Hall,Big East,,2,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,16,Auburn,SEC,,8,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,136,LSU,SEC,,146,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,87,Florida,SEC,,69,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,121,Indiana,Big Ten,,48,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,5,Alabama,SEC,,50,0
2021,regular,1,2020-11-09T00:00:00.000Z,AP Top 25,257,San Diego State,Mountain West,,6,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,20,Baylor,Big 12,1.0,764,12
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,20,Baylor,Big 12,1.0,800,32
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,102,Gonzaga,WCC,2.0,762,10
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,102,Gonzaga,WCC,2.0,768,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,338,Villanova,Big East,3.0,755,8
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,113,Houston,American,3.0,714,0
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,170,Michigan,Big Ten,4.0,655,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,339,Virginia,ACC,4.0,666,0
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,5,Alabama,SEC,5.0,623,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,131,Kansas,Big 12,5.0,612,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,124,Iowa,Big Ten,6.0,587,1
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,12,Arkansas,SEC,6.0,599,0
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,313,UCLA,Pac-12,7.0,590,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,355,Wisconsin,Big Ten,7.0,579,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,72,Duke,ACC,8.0,555,1
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,118,Illinois,Big Ten,8.0,527,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,135,Kentucky,SEC,9.0,541,0
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,323,USC,Pac-12,9.0,467,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,118,Illinois,Big Ten,10.0,523,0
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,90,Florida State,ACC,10.0,451,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,61,Creighton,Big East,11.0,458,0
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,338,Villanova,Big East,11.0,409,0
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,151,Loyola Chicago,MVC,12.0,407,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,169,Michigan State,Big Ten,12.0,437,0
2021,regular,1,2020-11-12T00:00:00.000Z,Coaches Poll,298,Texas Tech,Big 12,13.0,420,0
2021,postseason,1,2021-04-05T00:00:00.000Z,Coaches Poll,124,Iowa,Big Ten,13.0,404,0
