season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2013,regular,1,,AP Top 25,121,Indiana,Big Ten,1.0,1592,43
2013,regular,1,,AP Top 25,150,Louisville,Big East,2.0,1568,20
2013,regular,1,,AP Top 25,135,Kentucky,SEC,3.0,1453,2
2013,regular,1,,AP Top 25,216,Ohio State,Big Ten,4.0,1292,0
2013,regular,1,,AP Top 25,170,Michigan,Big Ten,5.0,1290,0
2013,regular,1,,AP Top 25,185,NC State,ACC,6.0,1270,0
2013,regular,1,,AP Top 25,131,Kansas,Big 12,7.0,1210,0
2013,regular,1,,AP Top 25,72,Duke,ACC,8.0,1094,0
2013,regular,1,,AP Top 25,286,Syracuse,Big East,9.0,1062,0
2013,regular,1,,AP Top 25,87,Florida,SEC,10.0,936,0
2013,regular,1,,AP Top 25,200,North Carolina,ACC,11.0,904,0
2013,regular,1,,AP Top 25,11,Arizona,Pac-12,12.0,902,0
2013,regular,1,,AP Top 25,313,UCLA,Pac-12,13.0,840,0
2013,regular,1,,AP Top 25,169,Michigan State,Big Ten,14.0,789,0
2013,regular,1,,AP Top 25,177,Missouri,SEC,15.0,664,0
2013,regular,1,,AP Top 25,61,Creighton,MVC,16.0,622,0
2013,regular,1,,AP Top 25,163,Memphis,CUSA,17.0,539,0
2013,regular,1,,AP Top 25,322,UNLV,Mountain West,18.0,488,0
2013,regular,1,,AP Top 25,20,Baylor,Big 12,19.0,486,0
2013,regular,1,,AP Top 25,257,San Diego State,Mountain West,20.0,463,0
2013,regular,1,,AP Top 25,102,Gonzaga,WCC,21.0,384,0
2013,regular,1,,AP Top 25,213,Notre Dame,Big East,22.0,297,0
2013,regular,1,,AP Top 25,355,Wisconsin,Big Ten,23.0,285,0
2013,regular,1,,AP Top 25,314,UConn,Big East,23.0,262,0
2013,regular,1,,AP Top 25,51,Cincinnati,Big East,24.0,120,0
2013,regular,1,,AP Top 25,90,Florida State,ACC,25.0,101,0
2013,regular,1,,AP Top 25,251,Saint Joseph's,A-10,,25,0
2013,regular,1,,AP Top 25,191,New Mexico,Mountain West,,9,0
2013,regular,1,,AP Top 25,57,Colorado State,Mountain West,,1,0
2013,regular,1,,AP Top 25,184,Murray State,OVC,,59,0
2013,regular,1,,AP Top 25,295,Texas,Big 12,,46,0
2013,regular,1,,AP Top 25,32,Bucknell,Patriot,,1,0
2013,regular,1,,AP Top 25,141,Lehigh,Patriot,,2,0
2013,regular,1,,AP Top 25,5,Alabama,SEC,,5,0
2013,regular,1,,AP Top 25,333,VCU,A-10,,58,0
2013,regular,1,,AP Top 25,292,Tennessee,SEC,,15,0
2013,regular,1,,AP Top 25,218,Oklahoma State,Big 12,,14,0
2013,regular,1,,AP Top 25,63,Davidson,SoCon,,5,0
2013,regular,1,,AP Top 25,222,Oral Roberts,Southland,,1,0
2013,regular,1,,AP Top 25,222,Oral Roberts,Summit,,1,0
