season,week,home_team,home_id,home_conference,home_points,home_pregame_elo,home_postgame_elo,away_team,away_id,away_conference,away_points,away_pregame_elo,away_postgame_elo,conference_game,margin
2019,11,Toledo,2649,Mid-American,35,1293.0,1293.0,Kent State,2309,Mid-American,33,1225.0,1225.0,1,2
2019,11,Western Michigan,2711,Mid-American,35,1472.0,1472.0,Ball State,2050,Mid-American,31,1374.0,1374.0,1,4
2019,11,Ohio,195,Mid-American,21,1574.0,1549.0,Miami (OH),193,Mid-American,24,1270.0,1295.0,1,-3
2019,11,Coastal Carolina,324,Sun Belt,7,1310.0,1222.0,Louisiana,309,Sun Belt,48,1564.0,1652.0,1,-41
2019,11,South Florida,58,American Athletic,7,1311.0,1299.0,Temple,218,American Athletic,17,1413.0,1425.0,1,-10
2019,11,Tulsa,202,American Athletic,34,1322.0,1332.0,UCF,2116,American Athletic,31,1898.0,1888.0,1,3
2019,11,Oregon State,204,Pac-12,7,1307.0,1323.0,Washington,264,Pac-12,19,1811.0,1795.0,1,-12
2019,11,Florida,57,SEC,56,1782.0,1889.0,Vanderbilt,238,SEC,0,1313.0,1206.0,1,56
2019,11,TCU,2628,Big 12,23,1640.0,1631.0,Baylor,239,Big 12,29,1664.0,1673.0,1,-6
2019,11,West Virginia,277,Big 12,17,1529.0,1476.0,Texas Tech,2641,Big 12,38,1532.0,1585.0,1,-21
2019,11,Army,349,FBS Independents,63,1566.0,1630.0,Massachusetts,113,FBS Independents,7,765.0,701.0,0,56
2019,11,Sacred Heart,2529,NEC,41,,,Wagner,2681,NEC,7,,,1,34
2019,11,Northwestern,77,Big Ten,22,1414.0,1415.0,Purdue,2509,Big Ten,24,1490.0,1489.0,1,-2
2019,11,Minnesota,135,Big Ten,31,1808.0,1822.0,Penn State,213,Big Ten,26,2019.0,2005.0,1,5
2019,11,Central Connecticut,2115,NEC,38,,,St. Francis (PA),2598,NEC,31,,,1,7
